compartment,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,sd_delta,mean_delta_95ci_low,mean_delta_95ci_high,paired_t_statistic,paired_t_p,paired_wilcoxon_statistic,paired_wilcoxon_p,direction,paired_t_BH_FDR,paired_wilcoxon_BH_FDR
epithelial,36,0.04138993088362221,0.04109745192450715,0.055187230395278675,0.022717258556349956,0.06006260321089446,4.499946518841413,7.190831750816714e-05,91.0,5.596954724751413e-05,up,0.00028763327003266856,0.00011193909449502826
myeloid,36,0.05169865524600045,0.05713470547117079,0.0794836203262861,0.024805267280928203,0.0785920432110727,3.902589366244794,0.00041343010491161174,73.0,1.0947667760774493e-05,up,0.0008268602098232235,4.379067104309797e-05
fibroblast,32,0.0036812064062914304,0.02404833508405422,0.11560172453781521,-0.037997659836840905,0.045360072649423766,0.18013613712031057,0.8582180979143877,256.0,0.8900027303025126,up,0.8582180979143877,0.8900027303025126
endothelial,34,0.010887723818972354,0.010426988297699214,0.0755268377726403,-0.015464835692323,0.03724028333026771,0.8405726454998885,0.40663683231108094,245.0,0.3786884272703901,up,0.5421824430814413,0.5049179030271868
