donor_id,group,compartment,mean_program_score_within_compartment_z,sd_cell_program_score,n_cells
C130,colon adenocarcinoma,fibroblast,-0.05890606343746185,0.1668925277507382,13
C130,colon adenocarcinoma,myeloid,-0.024726972862116763,0.12061146114219001,783
C130,normal,endothelial,0.022361549220578227,0.15154644882082707,108
C130,normal,epithelial,-0.06905985077145142,0.1166746014203898,2065
C130,normal,fibroblast,-0.019909112855954016,0.13407275731352042,69
C130,normal,myeloid,-0.03360342408945016,0.13714698732996025,114
C132,colon adenocarcinoma,endothelial,-0.02460850329281619,0.07192953189613957,13
C132,colon adenocarcinoma,epithelial,0.07509950376589236,0.16175966894504967,1367
C132,colon adenocarcinoma,myeloid,0.05741997188412347,0.16098650407118775,522
C132,normal,endothelial,-0.1286446899175644,,1
C132,normal,epithelial,-0.1336043369285807,0.1339541379492075,975
C132,normal,myeloid,-0.18796403147280216,0.14259837671638148,8
C133,colon adenocarcinoma,endothelial,0.05614414996173429,0.18397288082360297,19
C133,colon adenocarcinoma,epithelial,0.12790708400453013,0.18355672230753461,1005
C133,colon adenocarcinoma,fibroblast,-0.02411525136170288,0.20466062245913727,45
C133,colon adenocarcinoma,myeloid,0.04219410848589232,0.12288854782842284,536
C133,normal,endothelial,-0.034753702167007655,0.26472027166969925,9
C133,normal,epithelial,0.015241491608896084,0.1733456375205561,608
C133,normal,fibroblast,0.0780731556346597,0.21699952001014275,19
C133,normal,myeloid,0.07953436975367367,0.1178726340787591,16
C134,colon adenocarcinoma,endothelial,-0.01194339833177981,0.1443205133489495,21
C134,colon adenocarcinoma,epithelial,-0.024791219921444164,0.1731331157635703,1232
C134,colon adenocarcinoma,myeloid,-0.020093715508461833,0.13524550157565673,739
C134,normal,endothelial,0.0073626807228583,0.14940779068534285,265
C134,normal,epithelial,0.03841406224406259,0.12300572165648618,1601
C134,normal,fibroblast,0.013485810442550763,0.1228003345155172,74
C134,normal,myeloid,-0.04289030950235352,0.10360439121744303,299
C135,colon adenocarcinoma,endothelial,-0.010148134333842502,0.15286465477834968,82
C135,colon adenocarcinoma,epithelial,-0.05138997415206245,0.1542328880707373,1069
C135,colon adenocarcinoma,fibroblast,-0.015712788722549494,0.11523090001629378,13
C135,colon adenocarcinoma,myeloid,-0.03783475038284239,0.15230782850170937,1091
C135,normal,endothelial,-0.028195205920686323,0.11387928710757525,18
C135,normal,epithelial,-0.05926750176842602,0.18108891070531463,672
C135,normal,fibroblast,-0.0445626492301623,0.14613562951758233,15
C135,normal,myeloid,-0.04038238357752562,0.1564671173337589,10
C136,colon adenocarcinoma,endothelial,0.04239163428012814,0.1468005028319267,21
C136,colon adenocarcinoma,epithelial,-0.007887175331216379,0.12214321932751893,1431
C136,colon adenocarcinoma,fibroblast,0.09821482002735138,0.05882807746785308,5
C136,colon adenocarcinoma,myeloid,-0.003233751602581452,0.1270821761051672,339
C136,normal,endothelial,0.0038606335408985617,0.12570613512042816,140
C136,normal,epithelial,-0.06856828920278157,0.12401839209325471,2393
C136,normal,fibroblast,-0.010223774123005569,0.14506107049520772,16
C136,normal,myeloid,-0.03317148885980714,0.09241492112823543,32
C137,colon adenocarcinoma,endothelial,0.0065268756545804165,0.20535299916556088,27
C137,colon adenocarcinoma,epithelial,-0.006368132229899012,0.12207725204652127,732
C137,colon adenocarcinoma,myeloid,-0.015255126328464636,0.10489187556985546,750
C137,normal,endothelial,-0.04756124734381415,0.12040401714779292,74
C137,normal,epithelial,-0.03709580938074307,0.16224343623385715,829
C137,normal,fibroblast,-0.08459259033331583,0.10834168909803454,29
C137,normal,myeloid,-0.07143260657994688,0.10390071554563937,112
C138,colon adenocarcinoma,endothelial,-0.1982647255063057,0.03463962988918015,2
C138,colon adenocarcinoma,epithelial,-0.04856546693283748,0.14340202862360166,468
C138,colon adenocarcinoma,fibroblast,-0.1562119647860527,0.14410642910972707,4
C138,colon adenocarcinoma,myeloid,-0.042449480968627454,0.11315775063164799,420
C138,normal,endothelial,-0.05195166915655136,0.19017449271013204,4
C138,normal,epithelial,-0.01935769464911666,0.15960820502971895,624
C138,normal,fibroblast,-0.05532798181391425,0.1389054220818646,18
C138,normal,myeloid,-0.07612511945910104,0.10784051296401798,118
C139,colon adenocarcinoma,endothelial,-0.06358722233076927,0.13192943739642782,164
C139,colon adenocarcinoma,epithelial,0.03702052838459494,0.17539280118788408,3125
C139,colon adenocarcinoma,fibroblast,-0.08270979307126254,0.16595986626431486,50
C139,colon adenocarcinoma,myeloid,-0.06604377739461924,0.12186201756481947,524
C139,normal,endothelial,-0.05325419079655638,0.12799570120810091,52
C139,normal,epithelial,-0.058727167683488575,0.12091378103013056,1454
C139,normal,fibroblast,0.01753372559323907,0.14257341472010476,4
C139,normal,myeloid,-0.0872738393891816,0.09229333775594414,83
C140,colon adenocarcinoma,endothelial,-0.0467634730808579,0.10260350880082193,177
C140,colon adenocarcinoma,epithelial,-0.032259630598818104,0.1252210044470611,2397
C140,colon adenocarcinoma,fibroblast,-0.0021823793063554652,0.12262494171774607,72
C140,colon adenocarcinoma,myeloid,-0.024105863383336076,0.11756029729138377,615
C140,normal,endothelial,-0.19120033936841146,0.07597187404235727,14
C140,normal,epithelial,-0.11902069852333964,0.1297722923856243,1162
C140,normal,fibroblast,-0.029715869945231014,0.17643218558059043,23
C140,normal,myeloid,-0.17799710063263774,0.09151238827344108,14
C142,colon adenocarcinoma,endothelial,-0.050999520605546425,0.0916885094735032,40
C142,colon adenocarcinoma,epithelial,-0.005453369646908164,0.1438545821128874,1383
C142,colon adenocarcinoma,fibroblast,-0.1859246648848057,0.1305631600473459,5
C142,colon adenocarcinoma,myeloid,-0.06642785905092963,0.11470315183023458,223
C142,normal,endothelial,-0.05006948374061575,0.12604195616628894,31
C142,normal,epithelial,-0.04995994364976184,0.15663348456015289,1393
C142,normal,fibroblast,-0.013482249714434147,0.11850622742909558,15
C142,normal,myeloid,-0.14861295404485786,0.10902691664623487,13
C143,colon adenocarcinoma,endothelial,-0.053825459176080365,0.13210879370478726,58
C143,colon adenocarcinoma,epithelial,-0.04775604984669583,0.1338753552065162,1278
C143,colon adenocarcinoma,fibroblast,-0.04124904205937954,0.1580532424006221,22
C143,colon adenocarcinoma,myeloid,-0.03925871658724103,0.11743290308187865,564
C143,normal,endothelial,-0.07080046410879327,0.11236783486246715,9
C143,normal,epithelial,-0.07161527293753106,0.13468716518797613,2104
C143,normal,fibroblast,-0.018293453846126795,0.17088942075501215,8
C143,normal,myeloid,-0.12960235302781928,0.1017078322163759,23
C144,colon adenocarcinoma,endothelial,-0.07142982550230327,0.09547603052673145,29
C144,colon adenocarcinoma,epithelial,-0.006206981456243088,0.16324448200123173,922
C144,colon adenocarcinoma,fibroblast,-0.08494258938091141,0.1714663078031702,7
C144,colon adenocarcinoma,myeloid,-0.07605380857842758,0.12921817121877335,442
C145,colon adenocarcinoma,endothelial,-0.09779575011746672,0.10222171149791524,156
C145,colon adenocarcinoma,epithelial,-0.04904593253871138,0.10330494421733573,2142
C145,colon adenocarcinoma,fibroblast,-0.05593229430141272,0.11633658984246208,27
C145,colon adenocarcinoma,myeloid,-0.049757875785783535,0.1394093694544169,453
C146,colon adenocarcinoma,endothelial,-0.04968114121081193,0.1056250916312808,81
C146,colon adenocarcinoma,epithelial,0.025558768420112673,0.12750734875025932,1889
C146,colon adenocarcinoma,fibroblast,0.042334754640857376,0.2203442575397098,12
C146,colon adenocarcinoma,myeloid,-0.030974995270868902,0.10806190584682572,571
C147,colon adenocarcinoma,endothelial,-0.054560167294419426,0.12904704808257395,89
C147,colon adenocarcinoma,epithelial,0.04882102154443386,0.167058935347657,2096
C147,colon adenocarcinoma,fibroblast,-0.030523618480757526,0.1561043124613239,23
C147,colon adenocarcinoma,myeloid,-0.03358702966140519,0.11902000890127522,725
C149,colon adenocarcinoma,endothelial,-0.05426158606792645,0.11086704722868877,150
C149,colon adenocarcinoma,epithelial,-0.05914206945443712,0.12439316300574234,1302
C149,colon adenocarcinoma,fibroblast,-0.03274022925363265,0.14232055639205538,19
C149,colon adenocarcinoma,myeloid,-0.03138659426240538,0.11104623944181663,364
C150,colon adenocarcinoma,endothelial,-0.04201493455626655,0.0960650825245046,51
C150,colon adenocarcinoma,epithelial,-0.05100870260862534,0.11213399470203322,1775
C150,colon adenocarcinoma,fibroblast,-0.12026796862483025,0.1062099869304697,5
C150,colon adenocarcinoma,myeloid,-0.011843289604243884,0.11537157889954429,197
C151,colon adenocarcinoma,epithelial,0.053098386584209296,0.14450973795211336,329
C151,colon adenocarcinoma,myeloid,-0.013835498742992058,0.14338773613680095,44
C151,normal,endothelial,0.009269029733591847,0.13330988613533,35
C151,normal,epithelial,0.013620489115308462,0.15010570660193326,2616
C151,normal,fibroblast,0.028852425179987526,0.13810979335664225,30
C151,normal,myeloid,-0.03363231222191062,0.17261545567082456,61
C152,colon adenocarcinoma,endothelial,-0.021524829044938087,0.16019351833750975,35
C152,colon adenocarcinoma,epithelial,-0.013201592451015192,0.12113864530340149,1077
C152,colon adenocarcinoma,fibroblast,-0.16853815105197759,0.14956276965647067,29
C152,colon adenocarcinoma,myeloid,-0.04755899072430717,0.09188010434794328,144
C152,normal,endothelial,-0.0009630665881559253,0.1845192426140952,22
C152,normal,epithelial,-0.033302259973240975,0.16443567458169864,1226
C152,normal,fibroblast,0.002545356788390944,0.11224719655891391,43
C152,normal,myeloid,0.21020236300925413,0.2743741912489384,3
C153,colon adenocarcinoma,endothelial,-0.08678973187534211,0.1142147778386026,128
C153,colon adenocarcinoma,epithelial,-0.048098370956677065,0.15058977978865334,2614
C153,colon adenocarcinoma,fibroblast,-0.1133401164914802,0.11568031297501993,61
C153,colon adenocarcinoma,myeloid,-0.04625534069962659,0.1161227561956955,796
C154,colon adenocarcinoma,endothelial,0.0703062891512744,0.09342220930673657,51
C154,colon adenocarcinoma,epithelial,0.0327987306531749,0.12994095536242276,1911
C154,colon adenocarcinoma,fibroblast,0.1304944209754467,0.20385563050458164,5
C154,colon adenocarcinoma,myeloid,0.07713355692025461,0.11200057466204845,179
C155,colon adenocarcinoma,endothelial,0.09147646980626242,0.15901378402099464,70
C155,colon adenocarcinoma,epithelial,0.0384161261125028,0.15713198777374116,1454
C155,colon adenocarcinoma,fibroblast,0.04335636589206567,0.13834715069047585,119
C155,colon adenocarcinoma,myeloid,0.09435276861506608,0.13814761189782068,356
C155,normal,endothelial,-0.026808461330610475,0.09767917506534085,19
C155,normal,epithelial,0.008772042452528642,0.21793108474338302,1719
C155,normal,fibroblast,0.022793186362832785,0.1333570840440324,110
C155,normal,myeloid,0.09550812812239835,0.49711708045426867,33
C156,colon adenocarcinoma,endothelial,0.02480612035169331,0.12137814499131949,43
C156,colon adenocarcinoma,epithelial,0.04335998506080614,0.1536672631624803,640
C156,colon adenocarcinoma,fibroblast,0.03877155637989441,0.16805292313958511,6
C156,colon adenocarcinoma,myeloid,-0.0028030351754119646,0.16214609918944728,353
C157,colon adenocarcinoma,endothelial,0.09449308001471272,0.11772875633416845,213
C157,colon adenocarcinoma,epithelial,0.07217091878944694,0.17901990235510779,2530
C157,colon adenocarcinoma,fibroblast,0.07070913590179932,0.12137751072979362,551
C157,colon adenocarcinoma,myeloid,0.1693689304317588,0.16863226955396876,775
C157,normal,endothelial,-0.02465083832639527,0.1979039684851758,94
C157,normal,epithelial,0.07705814924830977,0.1837720103916177,2024
C157,normal,fibroblast,-0.021177332361342033,0.15260020446242958,386
C157,normal,myeloid,0.05684990724143774,0.26382025974953976,115
C158,colon adenocarcinoma,endothelial,0.027815062158248003,0.13492414579547463,85
C158,colon adenocarcinoma,epithelial,0.1006807595328727,0.1465750585358004,815
C158,colon adenocarcinoma,fibroblast,0.04052596817760227,0.17738360256435248,13
C158,colon adenocarcinoma,myeloid,0.08515036979609165,0.13150247828149206,1135
C159,colon adenocarcinoma,endothelial,0.05429835902759805,0.1252098422128975,48
C159,colon adenocarcinoma,epithelial,0.07499726225258319,0.14096593807329985,984
C159,colon adenocarcinoma,fibroblast,0.030589077000816662,0.1370341910032309,9
C159,colon adenocarcinoma,myeloid,0.10093004370525972,0.14899047787243552,425
C160,colon adenocarcinoma,endothelial,0.05860164956766707,0.1273666826530064,115
C160,colon adenocarcinoma,epithelial,0.148564338642571,0.1608653010103432,2273
C160,colon adenocarcinoma,fibroblast,0.03686162072086805,0.10726483349424391,38
C160,colon adenocarcinoma,myeloid,0.09977956968290147,0.15325008709897417,536
C161,colon adenocarcinoma,endothelial,0.05556006781988302,0.09602491032334862,97
C161,colon adenocarcinoma,epithelial,0.05965900365337724,0.11939027931279565,2424
C161,colon adenocarcinoma,fibroblast,0.008335100224039988,0.10932381982339033,97
C161,colon adenocarcinoma,myeloid,0.08153654531250479,0.15770475201190629,393
C162,colon adenocarcinoma,endothelial,0.040922876513719134,0.17229336513147156,667
C162,colon adenocarcinoma,epithelial,0.015044294504969283,0.11806053978954341,8406
C162,colon adenocarcinoma,fibroblast,0.016187475148641776,0.1394635418675032,540
C162,colon adenocarcinoma,myeloid,0.03261517614665087,0.1360342772631339,2448
C162,normal,endothelial,-0.03472100580436608,0.15112561147464634,93
C162,normal,epithelial,-0.02767271187514419,0.13197732461113118,973
C162,normal,fibroblast,-0.05339407916148452,0.16557924405242108,288
C162,normal,myeloid,-0.03749078429251186,0.1443388296399728,273
C163,colon adenocarcinoma,endothelial,0.08292732624395285,0.13028426454389266,80
C163,colon adenocarcinoma,epithelial,0.06246218175325252,0.13891375987970095,2216
C163,colon adenocarcinoma,fibroblast,0.014983852772274986,0.11821806348947239,32
C163,colon adenocarcinoma,myeloid,0.057651259652972804,0.13936599821101225,191
C164,colon adenocarcinoma,endothelial,0.09964839883113283,0.12061103036167606,44
C164,colon adenocarcinoma,epithelial,0.1664128781848638,0.24247219342263063,1573
C164,colon adenocarcinoma,fibroblast,0.0720732644200325,0.24071380086809716,15
C164,colon adenocarcinoma,myeloid,0.10261749807146511,0.15165676103527662,231
C165,colon adenocarcinoma,endothelial,0.057975875835109034,0.10700485816303622,160
C165,colon adenocarcinoma,epithelial,0.06818752486137038,0.08410514980858372,1100
C165,colon adenocarcinoma,fibroblast,0.06879823176811138,0.11462161684212457,15
C165,colon adenocarcinoma,myeloid,0.028861165924301626,0.12561941390913056,1520
C165,normal,endothelial,-0.03828234761022031,0.1967790046433082,8
C165,normal,epithelial,0.008921707187148105,0.16901302989193948,390
C165,normal,fibroblast,0.006419562274027321,0.16828766729211778,139
C165,normal,myeloid,-0.04291731949317558,0.1541753947688586,116
C166,colon adenocarcinoma,endothelial,0.10881978806256401,0.17281790577899203,77
C166,colon adenocarcinoma,epithelial,0.07378785854682145,0.11524203990189932,4730
C166,colon adenocarcinoma,fibroblast,0.08831210248172283,0.19186786379202386,7
C166,colon adenocarcinoma,myeloid,0.08437662944321941,0.12438307383188403,281
C167,colon adenocarcinoma,endothelial,0.021194274158915505,0.11765188687778587,16
C167,colon adenocarcinoma,epithelial,0.06311479310766975,0.19528991488176983,286
C167,colon adenocarcinoma,fibroblast,-0.03154045393069585,0.1715501343526537,30
C167,colon adenocarcinoma,myeloid,-0.023639401168186115,0.18139105819569296,292
C168,colon adenocarcinoma,endothelial,0.038049868526286446,0.10419373388881405,40
C168,colon adenocarcinoma,epithelial,0.05410338109436274,0.13074841572087895,766
C168,colon adenocarcinoma,fibroblast,0.08615138948274155,0.128360608537747,78
C168,colon adenocarcinoma,myeloid,0.11246618040704875,0.1061348654483931,696
C169,colon adenocarcinoma,endothelial,0.01812652433428037,0.13344728559003732,85
C169,colon adenocarcinoma,epithelial,0.029766475895700795,0.17542481706767674,637
C169,colon adenocarcinoma,fibroblast,0.006652909104660567,0.20637430540091606,27
C169,colon adenocarcinoma,myeloid,0.05542625644192541,0.14406470198869278,466
C170,colon adenocarcinoma,endothelial,0.049347417052243596,0.11825292904993517,329
C170,colon adenocarcinoma,epithelial,0.010551986437525446,0.14417589751091545,3724
C170,colon adenocarcinoma,fibroblast,0.006833750002003987,0.1360469767874684,170
C170,colon adenocarcinoma,myeloid,0.01810530787136434,0.14018675713561146,3194
C170,normal,endothelial,-0.10548622145627935,0.07709645777519353,6
C170,normal,epithelial,-0.04448720815484054,0.11560882777012381,208
C170,normal,fibroblast,-0.12155807855176842,0.13773085457810563,36
C170,normal,myeloid,-0.048133306942128744,0.11159152931525305,44
C171,colon adenocarcinoma,endothelial,0.035853135193278436,0.10877142096584648,162
C171,colon adenocarcinoma,epithelial,0.03210961749952075,0.11476008767261028,4865
C171,colon adenocarcinoma,fibroblast,0.006326729080025503,0.10197170460396945,47
C171,colon adenocarcinoma,myeloid,0.04220041932748687,0.14027958683019284,622
