donor_id,group,compartment,mean_program_score_within_compartment_z,sd_cell_program_score,n_cells
C103,colon adenocarcinoma,endothelial,-0.03444373722613594,0.13941667670128818,81
C103,colon adenocarcinoma,epithelial,-0.014805443787150787,0.15728916044759708,4608
C103,colon adenocarcinoma,fibroblast,-0.048052287173219195,0.1184867198120112,43
C103,colon adenocarcinoma,myeloid,-0.057043350296350256,0.11603379961759692,322
C104,colon adenocarcinoma,endothelial,-0.06294966321438551,0.10393324524322076,20
C104,colon adenocarcinoma,epithelial,-0.0916769656476533,0.1415307412802276,1883
C104,colon adenocarcinoma,fibroblast,-0.14437228751679262,0.2009798719492314,6
C104,colon adenocarcinoma,myeloid,-0.13801246463539607,0.1158213639400895,162
C105,colon adenocarcinoma,endothelial,-0.1195030290982686,0.0973310989946315,12
C105,colon adenocarcinoma,epithelial,-0.05679797278749933,0.13379796624721582,1412
C105,colon adenocarcinoma,fibroblast,-0.1491986982524395,0.1216123513636536,10
C105,colon adenocarcinoma,myeloid,-0.10170810354880419,0.15612678001167465,203
C106,colon adenocarcinoma,endothelial,-0.13750138878822327,0.08690480984427035,2
C106,colon adenocarcinoma,epithelial,-0.024667229320663297,0.14064362836831404,1123
C106,colon adenocarcinoma,fibroblast,-0.22635439038276672,,1
C106,colon adenocarcinoma,myeloid,-0.03596752346419623,0.12950417009983822,158
C106,normal,endothelial,-0.03273878654223294,0.12661435812629393,26
C106,normal,epithelial,-0.014166783307096208,0.21663796615673334,1062
C106,normal,fibroblast,0.011376214939324806,0.1487377359409361,60
C106,normal,myeloid,-0.12031367979772553,0.16050033614779,68
C107,colon adenocarcinoma,endothelial,-0.03184235229208651,0.1570445000586574,72
C107,colon adenocarcinoma,epithelial,0.052041096145594115,0.1381397635735466,2259
C107,colon adenocarcinoma,fibroblast,0.059968960285186765,0.14197803474039034,10
C107,colon adenocarcinoma,myeloid,0.007329786943652911,0.12679108579606324,799
C107,normal,endothelial,0.027059025100280285,0.13184393106210565,49
C107,normal,epithelial,-0.08037606101874296,0.15774380209872418,1156
C107,normal,fibroblast,0.02631977522139286,0.11220222266215064,43
C107,normal,myeloid,-0.06645714468322694,0.09113098788263053,8
C109,colon adenocarcinoma,endothelial,-0.006626062824026398,0.12932270514245853,23
C109,colon adenocarcinoma,epithelial,-0.06384595439204788,0.12641987383345274,1521
C109,colon adenocarcinoma,fibroblast,0.10269744561186858,0.12974853897669283,49
C109,colon adenocarcinoma,myeloid,-0.0555493376752759,0.12825999403196048,357
C109,normal,endothelial,0.00916721018427235,0.15785573257485613,127
C109,normal,epithelial,-0.02853973512979014,0.1428072598407559,1555
C109,normal,fibroblast,0.00473732010207393,0.12744751487594708,77
C109,normal,myeloid,-0.08948122505615982,0.10661335319684466,9
C110,colon adenocarcinoma,endothelial,-0.08259108709171414,0.12478728421050932,16
C110,colon adenocarcinoma,epithelial,0.0432516897786965,0.15062112275446946,791
C110,colon adenocarcinoma,fibroblast,-0.013224954530596734,0.10877456229312786,5
C110,colon adenocarcinoma,myeloid,-0.009313172434395667,0.13581910306690226,1050
C110,normal,endothelial,-0.08840874098241329,0.16686906384210562,10
C110,normal,epithelial,-0.051868112604372706,0.12475116948697286,631
C110,normal,fibroblast,-0.11264123172441032,0.11154838491787442,16
C110,normal,myeloid,-0.179311473546973,0.08985934055966494,66
C111,colon adenocarcinoma,endothelial,0.010365954159121765,0.14067513463843884,19
C111,colon adenocarcinoma,epithelial,0.04146661163496433,0.15736625396583798,653
C111,colon adenocarcinoma,fibroblast,0.027764928626049668,0.16408326969101522,73
C111,colon adenocarcinoma,myeloid,-0.0072134302807630914,0.12484283143499257,776
C111,normal,endothelial,-0.014294886013182502,0.11249113379055242,150
C111,normal,epithelial,0.009419824151600137,0.14313541811088876,746
C111,normal,fibroblast,-0.01926948348144916,0.11241409735685727,22
C111,normal,myeloid,-0.06530536097162243,0.14072483329590127,255
C112,colon adenocarcinoma,endothelial,-0.017420726050523683,0.10949717847037116,94
C112,colon adenocarcinoma,epithelial,-0.04443397285420131,0.162269440194397,1776
C112,colon adenocarcinoma,fibroblast,-0.004376440270182987,0.16156150382451634,48
C112,colon adenocarcinoma,myeloid,-0.004894776277880428,0.133482269393965,1283
C112,normal,endothelial,-0.026539938826549876,0.11877778971524046,141
C112,normal,epithelial,0.004723496456043907,0.184516091793796,743
C112,normal,fibroblast,-0.004954544048563674,0.11604367580877548,58
C112,normal,myeloid,-0.06367122731874054,0.23348970383492804,116
C113,colon adenocarcinoma,endothelial,-0.1004806791565248,0.15029246356094553,14
C113,colon adenocarcinoma,epithelial,-0.015940361866614756,0.16082390858281043,2926
C113,colon adenocarcinoma,fibroblast,-0.11044941749423742,0.15682138813713115,12
C113,colon adenocarcinoma,myeloid,-0.07238833755285382,0.1385305077410312,209
C113,normal,endothelial,0.024902104089657467,0.16648365077825378,6
C113,normal,epithelial,-0.08012346966654021,0.1345948050968339,371
C113,normal,fibroblast,0.017600032410794688,0.15302385328180465,31
C113,normal,myeloid,-0.15317246337820375,0.11348163933344721,28
C114,colon adenocarcinoma,endothelial,-0.0186378684427057,0.13910348128833053,21
C114,colon adenocarcinoma,epithelial,-0.0006465458666616213,0.13643065684569738,1523
C114,colon adenocarcinoma,fibroblast,-0.04068533818309124,0.16001753632644164,13
C114,colon adenocarcinoma,myeloid,-0.06762320899678285,0.12119994467741875,188
C114,normal,endothelial,0.013407057320759834,0.13039419321609497,46
C114,normal,epithelial,-0.0236376761919088,0.13522641361212157,497
C114,normal,fibroblast,0.04685269730786482,0.20060237122441665,9
C114,normal,myeloid,-0.11129519780714452,0.13411964167249021,82
C115,colon adenocarcinoma,endothelial,-0.116506720893085,0.09673282226331589,6
C115,colon adenocarcinoma,epithelial,-0.01601742786331288,0.1418080014069505,562
C115,colon adenocarcinoma,fibroblast,0.08821342140436172,,1
C115,colon adenocarcinoma,myeloid,-0.03063746125209084,0.13162975138523658,304
C115,normal,endothelial,-0.028692861398061115,0.1913611221910589,3
C115,normal,epithelial,-0.05204218219856179,0.13838089926941596,308
C115,normal,fibroblast,-0.03221581729927233,0.16619441732285198,21
C115,normal,myeloid,-0.0832980230074138,0.1202433681826373,47
C116,colon adenocarcinoma,endothelial,-0.07702139138968454,0.10174839570693348,9
C116,colon adenocarcinoma,epithelial,-0.04210677899153168,0.12284520331110217,921
C116,colon adenocarcinoma,fibroblast,0.06043915753252804,0.09191000793436763,2
C116,colon adenocarcinoma,myeloid,-0.05847413029751876,0.10630717895962036,427
C116,normal,endothelial,0.006626853206263924,0.13901553999357671,27
C116,normal,epithelial,-0.03661498404756588,0.13979896353349863,1225
C116,normal,fibroblast,-0.0552651828953198,0.17395367347322774,28
C116,normal,myeloid,-0.040768800769001245,0.11121771935047284,32
C118,colon adenocarcinoma,endothelial,-0.017181081983905572,0.12942475877566997,13
C118,colon adenocarcinoma,epithelial,0.012568152250702649,0.1367902947193592,1200
C118,colon adenocarcinoma,fibroblast,-0.08205609768629074,0.11862872077883685,7
C118,colon adenocarcinoma,myeloid,-0.027757895202418358,0.16223022133779902,549
C119,colon adenocarcinoma,epithelial,-0.010450384328708545,0.1309475089809272,1034
C119,colon adenocarcinoma,fibroblast,0.07141395285725594,0.04566254185649561,2
C119,colon adenocarcinoma,myeloid,-0.040660921705705,0.11285117741503896,41
C119,normal,epithelial,0.013579481620002876,0.1630658031848329,22
C119,normal,fibroblast,-0.27332741022109985,0.033605437865576626,2
C119,normal,myeloid,-0.20042382180690765,,1
C122,colon adenocarcinoma,endothelial,0.017018965627180367,0.12782188089943095,41
C122,colon adenocarcinoma,epithelial,-0.0054615663417085444,0.15068469509706606,2119
C122,colon adenocarcinoma,fibroblast,-0.02884981134951475,0.14363846764253693,31
C122,colon adenocarcinoma,myeloid,-0.038993944347535746,0.1463215228547221,263
C122,normal,endothelial,0.005284201807808131,0.1297858150958414,100
C122,normal,epithelial,-0.04985185402107022,0.15032786506351412,2561
C122,normal,fibroblast,-0.007391269439675356,0.16395971250436167,97
C122,normal,myeloid,-0.12052650394718767,0.11528811621273197,114
C123,colon adenocarcinoma,endothelial,-0.03577955521046697,0.15414934271446848,89
C123,colon adenocarcinoma,epithelial,-0.0030750475436386363,0.1494835356815507,4119
C123,colon adenocarcinoma,fibroblast,-0.00349129892885685,0.1529855263901016,25
C123,colon adenocarcinoma,myeloid,-0.03313940892077841,0.12916978271780372,1329
C123,normal,endothelial,-0.042687062616198417,0.11411696378331367,89
C123,normal,epithelial,-0.0695106116162807,0.13109502473683954,2337
C123,normal,fibroblast,-0.05433559409544073,0.13665098284216404,37
C123,normal,myeloid,-0.1277786804455514,0.21404667300889454,132
C124,colon adenocarcinoma,endothelial,-0.01284190741510732,0.14527078178437505,240
C124,colon adenocarcinoma,epithelial,-0.014382554617140409,0.1514179419102048,1022
C124,colon adenocarcinoma,fibroblast,-0.034241972854804424,0.147789778836583,105
C124,colon adenocarcinoma,myeloid,-0.01780630495337418,0.12484333715028115,2015
C124,normal,endothelial,-0.0027587843044465966,0.13096309848979432,234
C124,normal,epithelial,0.006729772347203574,0.13927703801328867,7812
C124,normal,fibroblast,0.027755649693386807,0.12989742154915637,146
C124,normal,myeloid,0.04504795557477337,0.27591912365124105,140
C125,colon adenocarcinoma,endothelial,-0.013084510451836093,0.12693626147295783,129
C125,colon adenocarcinoma,epithelial,0.005784241845023726,0.14395915111625215,2114
C125,colon adenocarcinoma,fibroblast,0.0369318184867942,0.11437977328672026,112
C125,colon adenocarcinoma,myeloid,-0.018759007053148216,0.11058162928218196,1296
C125,normal,endothelial,-0.026208235264547748,0.11087687456352505,270
C125,normal,epithelial,-0.06347064725399472,0.118186340066417,3957
C125,normal,fibroblast,-0.03385392559624939,0.13348261349410123,83
C125,normal,myeloid,-0.055902952300606386,0.10705256251498294,126
C126,colon adenocarcinoma,endothelial,0.01800478193099084,0.12092408768485047,46
C126,colon adenocarcinoma,epithelial,0.030237658244910395,0.1766141925921838,956
C126,colon adenocarcinoma,fibroblast,-0.11240225448273122,0.20234029184301197,12
C126,colon adenocarcinoma,myeloid,-0.02124006255012014,0.1405830358648983,1061
C126,normal,endothelial,0.0021705301625843275,0.14450133883199942,320
C126,normal,epithelial,-0.026690574198113902,0.15421776183633515,4054
C126,normal,fibroblast,-0.0078376120190892,0.1399032664778855,138
C126,normal,myeloid,-0.04907204751473139,0.18251474994515293,170
C129,colon adenocarcinoma,endothelial,-0.03839352283616523,0.1301432657827726,119
C129,colon adenocarcinoma,epithelial,0.0015553147365788026,0.14087069601266985,3125
C129,colon adenocarcinoma,fibroblast,-0.037724209687439725,0.11544826054758889,48
C129,colon adenocarcinoma,myeloid,-0.024024509425933573,0.11518014045024194,577
C129,normal,endothelial,-0.09200089646037668,0.07813241943208966,8
C129,normal,epithelial,-0.10381506018903686,0.1281207585122175,1006
C129,normal,fibroblast,0.01311064779292792,0.283813721786949,10
C129,normal,myeloid,-0.11754920104320979,0.12198989117962923,66
C130,colon adenocarcinoma,endothelial,-0.06356371313371267,0.14266587818669663,37
C130,colon adenocarcinoma,epithelial,0.020939000566299066,0.15056582467826402,3229
