compartment,donor_id,tumor_score,normal_score,tumor_minus_normal
epithelial,C106,-0.0536821534019641,-0.04542220078811782,-0.00825995261384628
epithelial,C107,0.015191484425964238,-0.10537450670244151,0.12056599112840576
epithelial,C109,-0.09299131131762808,-0.05792081846254537,-0.035070492855082715
epithelial,C110,-0.010166212379243148,-0.07757084044192866,0.06740462806268552
epithelial,C111,0.0011787316923823517,-0.022260260205172397,0.02343899189755475
epithelial,C112,-0.07197365446946886,-0.02391454782127217,-0.048059106648196695
epithelial,C113,-0.04740109434413304,-0.10331633876668375,0.05591524442255071
epithelial,C114,-0.04376601745052125,-0.04999973040255551,0.006233712952034259
epithelial,C115,-0.04938793399476823,-0.07381123983223445,0.02442330583746622
epithelial,C116,-0.06773720061560563,-0.06276233364386467,-0.00497486697174096
epithelial,C119,-0.037393660689757975,-0.019044234498290794,-0.01834942619146718
epithelial,C122,-0.03970540771534783,-0.07573750384207428,0.036032096126726455
epithelial,C123,-0.044110943434214143,-0.09157681823089542,0.047465874796681275
epithelial,C124,-0.0573467302286476,-0.028158923274521533,-0.029187806954126067
epithelial,C125,-0.026708960927080413,-0.09029382186841163,0.06358486094133121
epithelial,C126,-0.0037215831300464776,-0.051250506411897864,0.04752892328185139
epithelial,C129,-0.043313957023677664,-0.12740380980398514,0.08408985278030748
epithelial,C130,-0.019475927207772793,-0.09298645317898444,0.07351052597121165
epithelial,C132,0.0351514438705559,-0.15382794324627277,0.18897938711682868
epithelial,C133,0.057226915643036703,-0.022430570751091197,0.0796574863941279
epithelial,C134,-0.0528450962060125,0.0014313320858272821,-0.05427642829183978
epithelial,C135,-0.07146316009487934,-0.08857239900300894,0.017109238908129598
epithelial,C136,-0.03362137630622089,-0.09345386875986803,0.059832492453647135
epithelial,C137,-0.030454949847812815,-0.06575913645274943,0.035304186604936616
epithelial,C138,-0.07998117160105744,-0.04694041052230036,-0.033040761078757086
epithelial,C139,0.0032043758820000496,-0.08011533878776157,0.08331971466976162
epithelial,C140,-0.05729822331793623,-0.14566479304937577,0.08836656973143954
epithelial,C142,-0.035290146952548444,-0.07093785107586423,0.035647704123315783
epithelial,C143,-0.0737263645562604,-0.09432426015297361,0.02059789559671321
epithelial,C151,0.023395960836746676,-0.019156236092275417,0.042552196929022096
epithelial,C152,-0.04355407428015558,-0.0697405371034778,0.026186462823322224
epithelial,C155,-0.01256881948348748,-0.03819868688917219,0.02562986740568471
epithelial,C157,0.01238761277613339,0.027176877074061898,-0.014789264297928508
epithelial,C162,-0.026098471539165422,-0.0634360705318015,0.037337598992636084
epithelial,C165,0.015357721259139496,-0.025372209951505707,0.04072993121064521
epithelial,C170,-0.029835565645150053,-0.07121673305022312,0.04138116740507307
myeloid,C106,0.006623179317484874,-0.1082840446317417,0.11490722394922658
myeloid,C107,0.06621143616385891,-0.030627406772278456,0.09683884293613737
myeloid,C109,-0.0021371878144978962,-0.06194545955000218,0.05980827173550428
myeloid,C110,0.0609218351414589,-0.16404253057284146,0.22496436571430037
