pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
HALLMARK_INTERFERON_ALPHA_RESPONSE,8.231292676738734,1.852038441412647e-16,87,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,7.728738680816571e-15
HALLMARK_INTERFERON_GAMMA_RESPONSE,8.169703012597077,3.091495472326628e-16,177,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,7.728738680816571e-15
HALLMARK_E2F_TARGETS,-6.022833460359247,1.7138977370563373e-09,191,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,2.856496228427229e-08
HALLMARK_HYPOXIA,-5.342128518735758,9.186148709481665e-08,180,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,1.0706809462224195e-06
HALLMARK_G2M_CHECKPOINT,-5.314300013886738,1.0706809462224196e-07,186,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,1.0706809462224195e-06
HALLMARK_ALLOGRAFT_REJECTION,4.719316359375216,2.3663856134767077e-06,166,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,1.97198801123059e-05
HALLMARK_INFLAMMATORY_RESPONSE,3.113739340456163,0.0018473261238078572,173,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.013195186598627551
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.968961673879676,0.0029880786266682224,181,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.01867549141667639
HALLMARK_P53_PATHWAY,-2.728994419764928,0.006352777891782149,183,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.035293210509900835
HALLMARK_ADIPOGENESIS,2.6286516640723425,0.008572412028140715,195,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.04286206014070358
HALLMARK_PROTEIN_SECRETION,2.590260534988673,0.009590331897507328,93,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.043592417715942404
HALLMARK_SPERMATOGENESIS,-2.482622013402858,0.01304193948198204,98,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Hallmark,0.0543414145082585
