pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_NUCLEOTIDE_CATABOLISM,1.6708609433594332,0.09474914756825087,30,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4139979739843349
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,-1.6702862775714282,0.09486273685687566,38,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4139979739843349
REACTOME_HEMOSTASIS,-1.6686229035946296,0.09519213687510844,513,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.41419911937919207
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,-1.6664754991347959,0.09561874420323331,23,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.41460329649424793
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,1.6653036108960222,0.09585219850551012,35,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.41460329649424793
REACTOME_DIGESTION_AND_ABSORPTION,-1.6591816997555937,0.09707918407335718,7,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4186718793960124
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,-1.6534166829567565,0.09824608986551625,8,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4224581864217199
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,1.6480855692760248,0.09933511313552892,152,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4258883736191886
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,1.6455791402650586,0.09985043671214168,24,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4259415236403479
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,1.6451921429806051,0.09993019330276288,20,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4259415236403479
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,-1.6307449752504912,0.10294414228557204,20,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4375126047136812
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,-1.6285543021747524,0.1034074049125071,19,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4379807453423001
REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,1.6273760587233155,0.10365725308824954,15,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4379807453423001
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,1.6250096477810596,0.10416050313078266,14,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4379807453423001
REACTOME_METABOLISM_OF_STEROIDS,1.6245775741980226,0.10425259875452834,126,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4379807453423001
REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS,-1.6185568405323771,0.10554264765855587,30,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4406809983426495
