pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.991020325672338,1.6685530625219134e-23,181,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,8.3427653126095665e-22
HALLMARK_INTERFERON_GAMMA_RESPONSE,6.364860547500711,1.9546724642175468e-10,177,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,4.59567763293277e-09
HALLMARK_MTORC1_SIGNALING,6.296131211435073,3.0516608577935476e-10,185,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,4.59567763293277e-09
HALLMARK_G2M_CHECKPOINT,-6.267176138623686,3.676542106346216e-10,186,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,4.59567763293277e-09
HALLMARK_MYC_TARGETS_V1,6.108891616315037,1.0032542700343969e-09,184,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,8.402434998384736e-09
HALLMARK_DNA_REPAIR,6.108092016635868,1.0082921998061683e-09,142,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,8.402434998384736e-09
HALLMARK_INTERFERON_ALPHA_RESPONSE,6.0444713785960085,1.4990066015038397e-09,87,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,1.0707190010741712e-08
HALLMARK_ALLOGRAFT_REJECTION,5.471510857437283,4.462150002843415e-08,166,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,2.7888437517771345e-07
HALLMARK_E2F_TARGETS,-5.038600581088906,4.6894796326040307e-07,191,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,2.4804177590940445e-06
HALLMARK_FATTY_ACID_METABOLISM,5.027821411201628,4.960835518188089e-07,143,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,2.4804177590940445e-06
HALLMARK_ADIPOGENESIS,4.850851146221515,1.2293278315392098e-06,195,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,5.587853779723682e-06
HALLMARK_MITOTIC_SPINDLE,-4.769781313676215,1.8442602460950245e-06,196,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,7.684417692062602e-06
HALLMARK_UV_RESPONSE_DN,-4.046302620294748,5.2032958787451064e-05,140,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.00020012676456711948
HALLMARK_UV_RESPONSE_UP,3.851667135288727,0.00011731641860034949,136,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.00041898720928696244
HALLMARK_XENOBIOTIC_METABOLISM,3.7847232739114176,0.00015387970503773105,165,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.0005129323501257701
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3.729659286823466,0.00019173886440127083,104,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.0005991839512539713
HALLMARK_MYC_TARGETS_V2,3.5592351676051397,0.0003719363782399169,57,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.0010939305242350496
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3.421812914609291,0.0006220510008246313,71,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.001727919446735087
HALLMARK_ESTROGEN_RESPONSE_EARLY,-3.0680108036262452,0.0021548882731292456,182,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.005670758613498015
HALLMARK_COAGULATION,2.985453982944389,0.00283157738043635,111,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.007078943451090875
HALLMARK_PEROXISOME,2.800261115925358,0.0051061284707303685,96,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.012157448739834213
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2.753425700561808,0.005897515498610945,46,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.013403444315024875
HALLMARK_HEDGEHOG_SIGNALING,-2.7095516480047337,0.006737421454059326,31,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.014646568378389839
HALLMARK_P53_PATHWAY,2.6816373933888866,0.007326282311819278,183,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.015263088149623495
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-2.6025130913841688,0.009254328189010206,39,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.018508656378020412
HALLMARK_MYOGENESIS,2.4545752014143676,0.014105115873888642,171,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.027125222834401233
HALLMARK_SPERMATOGENESIS,-2.2885330925412197,0.022106495234620605,98,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.0409379541381863
HALLMARK_GLYCOLYSIS,2.186823917723965,0.028755380734379495,185,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.05134889416853482
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.7291771860066292,0.0837773881563844,94,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.1404111680964303
HALLMARK_PROTEIN_SECRETION,1.7265600782479347,0.08424670085785818,93,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.1404111680964303
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.6844308803443944,0.09209842705066537,74,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.14854585008171833
HALLMARK_HYPOXIA,1.4508817220497532,0.1468127983516196,180,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.2293949974244056
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.109798632770456,0.2670858086094504,182,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.4046754675900764
HALLMARK_COMPLEMENT,1.0780974086867297,0.28099028793823966,171,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.41322101167388187
HALLMARK_APOPTOSIS,0.9291425975701554,0.3528151910940036,148,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.5040217015628623
HALLMARK_INFLAMMATORY_RESPONSE,0.8578456109448422,0.3909777202906207,173,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.543024611514751
HALLMARK_PANCREAS_BETA_CELLS,-0.8189110046998982,0.4128371908235722,24,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.55788809570753
HALLMARK_BILE_ACID_METABOLISM,0.767817196244159,0.44259579669299376,99,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.5823628903855181
HALLMARK_KRAS_SIGNALING_DN,-0.7421419370390503,0.45800134330924347,134,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.587181209370825
HALLMARK_KRAS_SIGNALING_UP,-0.6653341925834295,0.5058367654475765,186,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.6322959568094706
HALLMARK_IL2_STAT5_SIGNALING,0.6346506384015512,0.5256562939411344,184,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Hallmark,0.6410442609038225
