pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_CO_STIMULATION_BY_ICOS,-1.2643061339965422,0.20612016879316608,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37249405040248307
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,-1.2626045430735986,0.20673133439253133,22,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37313729738503804
REACTOME_DUAL_INCISION_IN_GG_NER,1.261451446867686,0.2071462425990207,38,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37342516236716183
REACTOME_IRS_MEDIATED_SIGNALLING,-1.2556471378945284,0.2092439328826936,37,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3767421550178548
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,-1.2538522410683517,0.2098957168402984,83,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37724820549500426
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,1.2534525243796397,0.21004106653415422,275,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37724820549500426
REACTOME_STRIATED_MUSCLE_CONTRACTION,1.249328840305262,0.21154482359691518,29,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37948286147078525
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,-1.247641244849689,0.21216246698581975,86,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37967210877065544
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING,-1.2473960525898098,0.21225231323763194,16,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37967210877065544
REACTOME_RA_BIOSYNTHESIS_PATHWAY,-1.2469129945827022,0.21242940148727507,14,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.37967210877065544
