pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_PI_3K_CASCADE_FGFR2,0.7139538884762757,0.4752556933064851,9,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7475699576629243
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,-0.7100952675329336,0.4776450608212188,79,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7504954113439833
REACTOME_SIGNALING_BY_ACTIVIN,-0.7092731756008437,0.4781549712163883,15,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7504954113439833
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-0.7023787778416032,0.4824429765244983,134,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7564035375693545
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS,-0.7013398313308318,0.48309096174688937,37,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7565979921502258
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES,-0.6974601794318644,0.485514851476447,7,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7582995214953483
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER,0.697235757168095,0.48565526487737154,73,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7582995214953483
REACTOME_REGULATED_NECROSIS,-0.6970798720822858,0.48575280982215874,48,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7582995214953483
REACTOME_CHROMOSOME_MAINTENANCE,-0.6958213094196498,0.48654074238461154,96,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.758709321817904
REACTOME_PHASE_2_PLATEAU_PHASE,0.6937243415417369,0.48785509777333236,7,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7599382537051692
REACTOME_STIMULI_SENSING_CHANNELS,-0.6898013492563476,0.49031912007479717,55,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7625557438901234
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-0.6893681665023833,0.4905916108545184,145,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7625557438901234
REACTOME_RHOBTB3_ATPASE_CYCLE,-0.6856819127504902,0.49291371493915925,7,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7639081631532325
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE,0.6856302805534764,0.49294628169331667,28,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7639081631532325
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,-0.6850089250862567,0.49333828900386334,20,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7639081631532325
REACTOME_MEMBRANE_TRAFFICKING,-0.6846294452983809,0.4935777813171509,537,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7639081631532325
REACTOME_GASTRULATION,0.678612090861793,0.4973836798329151,78,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7689743401271193
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,-0.6771871660376912,0.4982872095357572,25,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7695473054220678
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,-0.668616395196589,0.5037402113264979,16,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7771376764481444
REACTOME_COMPLEX_IV_ASSEMBLY,0.6661807688976541,0.5052955635138554,46,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,0.6657076954030564,0.5055979538051006,53,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,-0.6651348043547888,0.5059642753463907,7,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_THYROXINE_BIOSYNTHESIS,-0.6628618450288952,0.5074190402214294,6,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_CO_STIMULATION_BY_ICOS,-0.6624701294521228,0.5076699721108522,9,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_PYROPTOSIS,-0.6621896266940809,0.5078497013999428,20,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_PURINE_CATABOLISM,0.6621513974378002,0.5078741989924449,15,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_PEXOPHAGY,0.6614090788325162,0.508350005193573,10,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7776031859105078
REACTOME_SIGNALING_BY_LEPTIN,-0.6584567473791479,0.5102446812905217,10,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,0.6575623781100927,0.5108193760683252,11,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,-0.6572464439223363,0.5110224666897693,26,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,0.6568450391625548,0.511280560825241,55,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_DISORDERS_OF_DEVELOPMENTAL_BIOLOGY,-0.6566395957483181,0.5114126826022101,17,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_SLC_MEDIATED_TRANSPORT_OF_ORGANIC_ANIONS,0.6559213143341794,0.5118747533676218,23,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7780496251187851
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS,-0.6537293312533554,0.5132862027141106,9,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.779374633774107
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,-0.6516377134635535,0.5146349125807691,14,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7806016951330152
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,0.6507980686699123,0.5151768471088838,16,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7806037431534399
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,0.6491942130803252,0.5162128516921639,47,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_SIGNALING_BY_NOTCH3,0.6469112239658267,0.5176894012084029,43,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_EICOSANOIDS,0.6468648300501351,0.5177194296477503,9,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,-0.6461635674412564,0.5181734312685554,28,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,0.645547935741004,0.5185721645427974,17,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_RHOG_GTPASE_CYCLE,0.6451018736334176,0.5188611697549892,70,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,-0.6424209255517266,0.5205999165065203,88,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7830690410785576
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,-0.6405968890025628,0.5217846213378671,27,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7836052479966736
