pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_INNATE_IMMUNE_SYSTEM,8.50283027515393,1.8502332351609736e-17,825,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,2.7050409898053436e-14
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,8.059531283261737,7.6587541312471815e-16,623,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,5.59854926994169e-13
REACTOME_INFECTIOUS_DISEASE,7.6468668006334966,2.0593544851205232e-14,1064,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.0035920857487349e-11
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,7.129731709651071,1.0056475228503507e-12,722,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.5917783448891376e-10
REACTOME_SIGNALING_BY_INTERLEUKINS,7.102142091076074,1.2283783669251496e-12,374,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.5917783448891376e-10
REACTOME_VESICLE_MEDIATED_TRANSPORT,6.936741028732602,4.012483916619856e-12,608,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,9.777085810163715e-10
REACTOME_VIRAL_INFECTION_PATHWAYS,6.825299328936727,8.774217214209398e-12,869,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.8325579381677344e-09
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,-6.5827367891273365,4.6186638726216494e-11,139,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,8.440608227216064e-09
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-6.523644264988973,6.861934792222786e-11,214,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.1146831851366348e-08
REACTOME_MEMBRANE_TRAFFICKING,6.4276430335729895,1.2959763325531658e-10,572,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.8947173981927285e-08
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,5.974626078646452,2.3061852300656073e-09,413,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.0651298239599254e-07
REACTOME_INTERLEUKIN_10_SIGNALING,5.859950189966675,4.630060285081803e-09,32,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,5.640956780657997e-07
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,5.732595495334473,9.890531532809236e-09,192,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.1123043923820849e-06
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,5.697419161618526,1.2163462281406111e-08,627,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,1.2702129896725526e-06
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,5.528694879520986,3.2262190375576674e-08,86,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.144488155272873e-06
REACTOME_RHO_GTPASE_CYCLE,5.505284105603279,3.685733915416096e-08,430,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.3678393652114577e-06
REACTOME_HEMOSTASIS,5.467495645739427,4.564384174065958e-08,513,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,3.6920522368656572e-06
