"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.63560651943431,-1.42796143748241,0.906887057552303,818.505904475623,714.703934997856,1873.45250824976
2,0.929755056899316,-1.58435414361961,0.962416917876746,169.213447445175,101.528686924143,822.233017423624
3,0.921256002531559,-1.46401786236193,0.943886674748307,54.9668515242315,18.6165244015811,466.468874973308
4,0.903314412754388,-1.37679975147452,0.937054087525174,23.8760839163991,4.15059071825415,300.390917612072
5,0.905016525657621,-1.32046360050116,0.946850808191919,12.4419667889885,1.05074325870391,208.751533985492
6,0.898983996715749,-1.2954048478384,0.950330276064137,7.29439863825702,0.308694660352343,152.686110907493
7,0.908289021069611,-1.26459624209955,0.960276793948093,4.63694825937551,0.0983634213199681,115.858628066973
8,0.910948549244459,-1.2563753507317,0.962791515234819,3.12619132924894,0.0336832919272144,90.3764170526138
9,0.914681798237602,-1.24621372415255,0.962875024126854,2.20405881520117,0.0119896898169167,72.0332683945418
10,0.921632464754977,-1.2207892573891,0.966004072892582,1.60963590161954,0.00444137694065816,58.4142655704923
12,0.940757761430337,-1.18920873733286,0.984586407387928,0.930520250635097,0.000662575541516497,39.9973283343759
14,0.946856458568743,-1.17568379648815,0.987747748067294,0.582848996405467,0.000110897709044044,28.8260497757186
16,0.954354227678964,-1.16589346551882,0.988813157204054,0.387350229823698,1.9390904420824e-05,21.5047676878677
18,0.965465993150606,-1.14449090917302,0.991026781754171,0.26951494670911,3.42975080425134e-06,16.4578255195504
20,0.95779222339587,-1.14067594539194,0.979196990514177,0.19459246380542,6.1637712556184e-07,12.920084058512
22,0.973541582113794,-1.11679388289428,0.988267190351096,0.144892630066555,1.14518936999985e-07,10.3043682664057
24,0.973507807273806,-1.08739647731302,0.979636380848568,0.110768654916635,2.2086656503717e-08,8.32640819709228
26,0.974688938939628,-1.07357569829686,0.972907293795444,0.0866597736005288,4.24143664634613e-09,6.85600320004928
28,0.970106457582305,-1.12586206895865,0.976638736964951,0.0692107699575706,8.41999581169262e-10,6.65566280285033
30,0.350668837320613,-1.61604870293556,0.304581183551902,0.0563183141108855,1.72182601509974e-10,6.63219909384244
