"gene_symbol","module","network_input","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","max_abs_kME","best_kME_module"
"PRAC1","grey",TRUE,0.238095958195376,0.00819719480446063,0.144334222381213,0.0769353739704268,0.0616185548300609,0.238095958195376,"blue"
"RNVU1-7","grey",TRUE,-0.0202904422963734,0.201164068705456,-0.0178270726491183,0.0805884238088321,0.0323658130716396,0.201164068705456,"grey"
"IGKV2-29","brown",TRUE,-0.0646802136818777,0.0756987483050366,0.23692584492893,0.375643714175264,0.536153906072623,0.536153906072623,"brown"
"XIST","grey",TRUE,0.0265172330341328,0.0690179454043525,-0.0260057154791769,0.00623831290656845,-0.0244901060331614,0.0690179454043525,"grey"
"RP11-11N5.3","blue",TRUE,0.335503065140075,0.105139337713106,-0.0810976698899442,-0.0866672116280696,-0.101795476839055,0.335503065140075,"blue"
"CH17-262H11.1","grey",TRUE,-0.074081104542792,-0.013330604337458,0.147370599672372,0.232198044620389,0.30250488258085,0.30250488258085,"brown"
"RP11-256P1.1","turquoise",TRUE,-0.0521334931330683,-0.0413774960879083,-0.177795885614389,-0.361347336669825,-0.327635106514074,0.361347336669825,"turquoise"
"RP11-498C9.13","turquoise",TRUE,-0.0671051399402531,0.0565754622578679,-0.20517373852863,-0.345836773349238,-0.307924506150832,0.345836773349238,"turquoise"
"HIST2H2AB","grey",TRUE,-0.103226960393728,0.222813327776355,-0.0727746051877453,-0.0694934388274542,-0.0745043516545774,0.222813327776355,"grey"
"NPSR1","grey",TRUE,-0.256699172961929,0.0213518653827721,0.186276478508663,0.0161184120896187,0.108381207222012,0.256699172961929,"blue"
"CTD-2377D24.4","grey",TRUE,0.254224895092728,0.0910353667288482,0.10181300599191,0.115531625176778,0.103277114078595,0.254224895092728,"blue"
"PI4K2B","turquoise",TRUE,-0.0326443555166152,0.149779354168864,0.129143212890616,0.388627627404649,0.290491600917423,0.388627627404649,"turquoise"
"AC104534.3","grey",TRUE,-0.0155039074890652,0.00769128974912807,-0.14569749835202,-0.242112235100267,-0.260641235370535,0.260641235370535,"brown"
"CTD-2659N19.2","grey",TRUE,-0.0984760442423964,-0.0853081959341307,-0.0577670449824571,-0.212531975355463,-0.195053410374824,0.212531975355463,"turquoise"
"DPP10-AS1","grey",TRUE,0.350797052740143,0.183634400821944,0.10885896827981,0.185012882390924,0.154969984701224,0.350797052740143,"blue"
"TMSB4Y","grey",TRUE,0.0119708648024001,-0.0422117397754047,0.0598728842480606,-0.0115829292180997,0.0346414976276415,0.0598728842480606,"yellow"
"TTTY14","grey",TRUE,0.0677800912210296,0.0763918115289993,0.0284361586028247,0.118720769191394,0.082316412037062,0.118720769191394,"turquoise"
"HULC","blue",TRUE,0.404158295710101,0.118039459585484,-0.115943415300997,-0.0329929750915068,-0.00750360201514343,0.404158295710101,"blue"
"S100A7","grey",TRUE,0.015408337595723,-0.0547179004764198,-0.00883469054194737,-0.0370210447052385,0.0419474226586972,0.0547179004764198,"grey"
"LINC00278","grey",TRUE,0.00607311376302857,-0.0146410603885766,0.065126822433895,0.0511921155771825,0.0804332288297093,0.0804332288297093,"brown"
"MORN5","turquoise",TRUE,0.142775160213603,0.0726355971594617,-0.152947964653093,0.431439288414773,0.0928944753661598,0.431439288414773,"turquoise"
"IGKV1-37","brown",TRUE,-0.0259105377356268,0.0865650217664849,0.252852937818085,0.408628377439502,0.680529094232144,0.680529094232144,"brown"
"RP11-388M20.2","turquoise",TRUE,-0.0217986258161606,-0.0908188835546653,-0.150387981301728,-0.351802886437397,-0.301338245628638,0.351802886437397,"turquoise"
"IGLV3-16","brown",TRUE,-0.0155474883951829,0.0272128978256021,0.240463513186522,0.420732634046794,0.63792968629232,0.63792968629232,"brown"
"CTD-2021H9.3","grey",TRUE,-0.111069809900818,0.147617791873689,0.131648613774789,0.0942432675733951,0.0663859150687888,0.147617791873689,"grey"
"RPL23AP25","grey",TRUE,0.00922444624609489,-0.0150723248805343,-0.0679157877203028,0.114868063024629,0.03332200318872,0.114868063024629,"turquoise"
"RP11-11N5.1","blue",TRUE,0.343714479974165,0.0836555626908256,-0.050846574909568,-0.0308510589735915,-0.0547862380504482,0.343714479974165,"blue"
"IGLV1-41","brown",TRUE,0.0395274373461698,0.121545619951941,0.221209477243148,0.35250187645639,0.566117867809104,0.566117867809104,"brown"
"AC008440.10","grey",TRUE,-0.0162393984276904,0.158479615422096,0.0109248027442383,0.201321553522588,0.114590822107114,0.201321553522588,"turquoise"
"RP11-95I16.6","yellow",TRUE,-0.386226546609241,0.0254262265342142,0.531127743218031,0.0514131088011115,0.184625058787634,0.531127743218031,"yellow"
"RP11-442H21.2","grey",TRUE,-0.000474069492956108,0.116973262393579,-0.091443487756692,-0.14321056074402,-0.13776928668129,0.14321056074402,"turquoise"
"PYY","yellow",TRUE,0.111882024830021,0.00884511258351695,0.547715377160847,0.152410673731035,0.321264871135525,0.547715377160847,"yellow"
"CTD-2587H19.3","grey",TRUE,-0.0416179026503228,0.350813210578458,-0.188376615134064,0.0518965520467418,-0.0832674556513099,0.350813210578458,"grey"
"ANXA10","blue",TRUE,-0.601764511157534,-0.0502854129192564,0.423467930039966,0.0982887226334961,0.158591742031051,0.601764511157534,"blue"
"RP3-446N13.5","yellow",TRUE,-0.288456058294944,-0.0443382484369628,0.351714255141117,-0.0409347210100858,0.0775211379742757,0.351714255141117,"yellow"
"SPRR3","grey",TRUE,-0.357657835066696,-0.0726170924155698,0.252001462089114,0.120067789368469,0.129019379378615,0.357657835066696,"blue"
"RP11-197K6.1","grey",TRUE,0.283858044455457,0.0910237749403148,-0.101838046606929,-0.0535509866914762,-0.0643523865546965,0.283858044455457,"blue"
"LDHC","grey",TRUE,0.102344252883693,0.0812305580804676,-0.0836090210170015,-0.00634398866530946,-0.0203935798852646,0.102344252883693,"blue"
"PGM5-AS1","turquoise",TRUE,0.165356734708618,0.102728427129061,-0.089724821125615,0.46645352380845,0.177317837020477,0.46645352380845,"turquoise"
"AL109927.1","grey",TRUE,0.0160945076859074,0.070378038725401,-0.000322936837569219,-0.0101394438130079,0.027686386297398,0.070378038725401,"grey"
"RP11-397P13.7","grey",TRUE,0.0656337332814316,0.428693048114899,0.0476122353058584,0.128010389782323,0.0827487457985015,0.428693048114899,"grey"
"NOP56P1","grey",TRUE,-0.0319197524971067,0.0297316892232919,0.0288403731151779,0.0767805206331233,0.103578198966096,0.103578198966096,"brown"
"RP13-204A15.5","grey",TRUE,0.187092617013077,0.493436271953268,-0.148909078963324,-0.0288994143339969,-0.124582674304943,0.493436271953268,"grey"
"AC019330.1","blue",TRUE,0.534078384878433,0.275036802104695,-0.226405621846315,-0.00989174384420611,-0.0529268539391795,0.534078384878433,"blue"
"RPS4Y1","grey",TRUE,0.045255511329078,-0.0237391942642143,0.0524128861448948,0.0738080937754705,0.0727398371673694,0.0738080937754705,"turquoise"
"RP11-245G13.2","grey",TRUE,0.250257239627586,0.10719464074848,0.0240704447569441,0.0743977879936135,0.0493992973772021,0.250257239627586,"blue"
