"module","module_size","target_genes_in_network","target_overlap","non_target_in_module","odds_ratio","p_value","BH_FDR_across_WGCNA_modules"
"blue",679,16,1,678,0.718385288458031,0.758408467901802,1
"brown",296,16,0,296,0,1,1
"grey",4124,16,5,4119,0.426557546216736,0.97098339846734,1
"turquoise",2620,16,8,2612,2.05651497428838,0.115839238233611,0.289598095584028
"yellow",281,16,2,279,3.94405515240411,0.106811837988451,0.289598095584028
