comparison,gene,paired_n,tumor_median,normal_median,median_delta_tumor_minus_normal,wilcoxon_statistic,p_value,BH_FDR_within_41_gene_family,DINP_evidence_profile,DINP_source_family_count,DINP_multi_family_support,pathway_anchor_class,original_biological_priority_rank
READ_patient_paired_primary_tumor_vs_solid_normal,AKR1C3,6,5.673500000000001,6.6045,-0.5434999999999999,0.0,0.03125,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,8
READ_patient_paired_primary_tumor_vs_solid_normal,ATG5,6,4.5515,4.883,-0.48299999999999965,1.0,0.0625,0.15073529411764705,CTD,1,0,single-resource_or_nonconcordant_pathway_context,37
READ_patient_paired_primary_tumor_vs_solid_normal,BECN1,6,6.213,6.2585,0.09600000000000053,9.0,0.84375,0.9883928571428572,CTD,1,0,cross-resource_pathway_supported,28
READ_patient_paired_primary_tumor_vs_solid_normal,CA9,6,4.144,-1.552,5.9464999999999995,0.0,0.03125,0.15073529411764705,CTD,1,0,single-resource_or_nonconcordant_pathway_context,36
READ_patient_paired_primary_tumor_vs_solid_normal,CCL20,6,7.198499999999999,4.463,2.792,1.0,0.0625,0.15073529411764705,CTD,1,0,cross-resource_pathway_supported,25
READ_patient_paired_primary_tumor_vs_solid_normal,CRP,6,-9.966,-9.966,0.0,2.0,0.75,0.9883928571428572,CTD,1,0,single-resource_or_nonconcordant_pathway_context,38
READ_patient_paired_primary_tumor_vs_solid_normal,CXCR4,6,4.8870000000000005,4.035,-0.11499999999999977,10.0,1.0,1.0,CTD,1,0,cross-resource_pathway_supported,31
READ_patient_paired_primary_tumor_vs_solid_normal,CYP1A2,6,-9.966,-9.966,0.0,,1.0,1.0,CompTox,1,0,strong_cross-resource_pathway_anchor,4
READ_patient_paired_primary_tumor_vs_solid_normal,CYP2C9,6,-3.9255,-4.035,-0.20100000000000007,7.0,1.0,1.0,CompTox,1,0,strong_cross-resource_pathway_anchor,2
READ_patient_paired_primary_tumor_vs_solid_normal,CYP3A4,6,-3.12,1.774,-5.0235,1.0,0.0625,0.15073529411764705,CompTox,1,0,strong_cross-resource_pathway_anchor,5
READ_patient_paired_primary_tumor_vs_solid_normal,DKK1,6,2.23815,-2.0915,3.80745,3.0,0.15625,0.30505952380952384,CTD,1,0,cross-resource_pathway_supported,30
READ_patient_paired_primary_tumor_vs_solid_normal,DUSP1,6,5.207,7.2615,-0.4394999999999998,1.0,0.0625,0.15073529411764705,CTD,1,0,cross-resource_pathway_supported,32
READ_patient_paired_primary_tumor_vs_solid_normal,ESR1,6,-4.0545,-1.4915,-1.654,0.0,0.03125,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,15
READ_patient_paired_primary_tumor_vs_solid_normal,F3,6,4.648,4.170999999999999,0.14849999999999985,4.0,0.21875,0.389945652173913,CompTox,1,0,cross-resource_pathway_supported,29
READ_patient_paired_primary_tumor_vs_solid_normal,HPGD,6,2.5805000000000002,6.916,-4.414,0.0,0.03125,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,10
READ_patient_paired_primary_tumor_vs_solid_normal,HSPA1A,6,6.5425,6.322,-0.26900000000000013,8.0,0.6875,0.9395833333333333,CTD,1,0,strong_cross-resource_pathway_anchor,20
READ_patient_paired_primary_tumor_vs_solid_normal,IGFBP1,6,-2.6125,-4.117,2.0353499999999998,3.0,0.625,0.8836206896551724,CTD,1,0,single-resource_or_nonconcordant_pathway_context,34
READ_patient_paired_primary_tumor_vs_solid_normal,IL1A,6,0.07010000000000001,-2.4965,2.6639,1.0,0.0625,0.15073529411764705,CompTox,1,0,cross-resource_pathway_supported,26
READ_patient_paired_primary_tumor_vs_solid_normal,MIR675,6,-9.966,-9.966,0.0,,1.0,1.0,CTD,1,0,single-resource_or_nonconcordant_pathway_context,41
READ_patient_paired_primary_tumor_vs_solid_normal,MMP2,6,4.8545,6.0455,-0.1970000000000005,9.0,0.84375,0.9883928571428572,CTD,1,0,cross-resource_pathway_supported,18
READ_patient_paired_primary_tumor_vs_solid_normal,MMP9,6,3.4045,2.1405000000000003,1.1495,4.0,0.21875,0.389945652173913,CTD,1,0,strong_cross-resource_pathway_anchor,16
READ_patient_paired_primary_tumor_vs_solid_normal,NEAT1,6,7.2265,6.5395,0.6040000000000001,7.0,0.5625,0.8236607142857143,CTD,1,0,single-resource_or_nonconcordant_pathway_context,40
READ_patient_paired_primary_tumor_vs_solid_normal,NR1I2,6,4.451499999999999,3.6105,0.024499999999999744,10.0,1.0,1.0,CTD; CompTox; T3DB,3,1,single-resource_or_nonconcordant_pathway_context,39
READ_patient_paired_primary_tumor_vs_solid_normal,NR3C1,6,0.9582999999999999,3.7405,-2.75145,0.0,0.03125,0.15073529411764705,CTD,1,0,cross-resource_pathway_supported,21
READ_patient_paired_primary_tumor_vs_solid_normal,PGR,6,-3.8305,-0.4868,-3.2085999999999997,0.0,0.03125,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,19
READ_patient_paired_primary_tumor_vs_solid_normal,PPARA,6,3.1035000000000004,3.4375,-0.28049999999999997,10.0,1.0,1.0,CTD,1,0,strong_cross-resource_pathway_anchor,6
READ_patient_paired_primary_tumor_vs_solid_normal,PPARD,6,4.0775,4.4535,-0.4365000000000001,9.0,0.84375,0.9883928571428572,CTD,1,0,strong_cross-resource_pathway_anchor,9
READ_patient_paired_primary_tumor_vs_solid_normal,PPARG,6,5.0969999999999995,5.314500000000001,-0.17100000000000026,6.0,0.4375,0.6899038461538461,CTD,1,0,strong_cross-resource_pathway_anchor,3
READ_patient_paired_primary_tumor_vs_solid_normal,PTGER2,6,-0.27665,1.9315000000000002,-1.9451500000000002,1.0,0.0625,0.15073529411764705,CTD,1,0,cross-resource_pathway_supported,24
READ_patient_paired_primary_tumor_vs_solid_normal,PTGER4,6,2.802,4.4895,-1.1369999999999998,1.0,0.0625,0.15073529411764705,CTD,1,0,cross-resource_pathway_supported,23
READ_patient_paired_primary_tumor_vs_solid_normal,PTGES2,6,6.432,5.651,0.6325000000000003,0.0,0.03125,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,12
READ_patient_paired_primary_tumor_vs_solid_normal,PTGS1,6,2.521,5.0275,-2.5999999999999996,1.0,0.0625,0.15073529411764705,CTD,1,0,strong_cross-resource_pathway_anchor,11
READ_patient_paired_primary_tumor_vs_solid_normal,PTGS2,6,1.8485,3.0839999999999996,-0.14400000000000013,9.0,0.84375,0.9883928571428572,CTD,1,0,strong_cross-resource_pathway_anchor,7
READ_patient_paired_primary_tumor_vs_solid_normal,RELA,6,5.669499999999999,5.333,0.21649999999999991,6.0,0.4375,0.6899038461538461,CTD,1,0,strong_cross-resource_pathway_anchor,13
READ_patient_paired_primary_tumor_vs_solid_normal,RXRA,6,4.711,5.078,-0.36700000000000044,7.0,0.5625,0.8236607142857143,CTD,1,0,strong_cross-resource_pathway_anchor,1
READ_patient_paired_primary_tumor_vs_solid_normal,SELE,6,0.40685,-2.6870000000000003,2.36785,1.0,0.0625,0.15073529411764705,CompTox,1,0,cross-resource_pathway_supported,33
READ_patient_paired_primary_tumor_vs_solid_normal,SIRT1,6,2.9545,3.426,-0.4750000000000001,3.0,0.15625,0.30505952380952384,CTD,1,0,cross-resource_pathway_supported,27
READ_patient_paired_primary_tumor_vs_solid_normal,SQSTM1,6,7.947,7.564,0.4325000000000001,3.0,0.15625,0.30505952380952384,CTD,1,0,cross-resource_pathway_supported,17
READ_patient_paired_primary_tumor_vs_solid_normal,STAT3,6,5.528499999999999,5.741,0.4085000000000001,5.0,0.3125,0.5338541666666666,CTD,1,0,strong_cross-resource_pathway_anchor,14
READ_patient_paired_primary_tumor_vs_solid_normal,TIMP1,6,8.378,6.804,1.5765000000000007,2.0,0.09375,0.21354166666666666,CTD,1,0,cross-resource_pathway_supported,22
READ_patient_paired_primary_tumor_vs_solid_normal,TIMP2,6,5.125,7.1005,-1.4455,1.0,0.0625,0.15073529411764705,CTD,1,0,single-resource_or_nonconcordant_pathway_context,35
