sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-DY-A1DD-01,6.908,3.269,5.728,1.938,4.133,-5.012,1.015,-9.966,-5.012,-2.727,-1.938,3.582,-5.012,2.614,2.322,4.971,-9.966,-5.012,-9.966,3.636,4.109,6.805,2.934,-0.394,-2.635,2.236,3.942,3.895,-2.114,1.385,6.279,0.4233,-2.932,5.251,3.642,-0.6873,2.131,7.302,3.948,8.403,5.116
TCGA-AF-A56K-01,2.997,3.952,6.198,1.892,7.435,-9.966,4.87,-9.966,-5.012,-4.035,-2.826,6.854,-2.388,5.138,3.284,6.285,-1.47,-1.51,-9.966,7.489,4.555,8.222,5.142,1.86,-2.053,2.422,3.47,5.241,1.202,2.359,5.953,2.401,3.162,5.448,3.815,1.779,2.678,7.683,5.948,8.689,6.27
TCGA-F5-6571-01,7.162,4.282,5.938,-0.5543,4.579,-9.966,4.896,-9.966,-4.035,-0.3383,-2.315,5.868,-1.318,3.259,4.446,5.342,-4.293,-3.047,-9.966,7.037,5.576,7.131,5.308,2.148,-2.053,4.259,4.081,4.778,0.7493,2.712,6.033,2.454,0.346,5.848,4.928,0.2522,2.984,8.733,5.666,8.334,6.97
TCGA-CI-6623-01,3.871,4.552,6.123,2.368,7.395,-6.506,2.899,-9.966,-5.574,-9.966,-2.727,3.97,-4.293,4.31,4.772,5.228,-9.966,-0.2498,-9.966,5.999,3.926,5.747,4.272,0.5666,-5.574,2.997,3.829,5.522,-0.8084,1.66,6.006,2.39,2.154,5.595,3.618,1.651,2.924,7.626,5.845,8.361,5.158
TCGA-AF-2690-01,4.377,3.776,5.919,4.335,6.918,-2.932,6.531,-6.506,-4.608,-4.035,2.196,8.123,-0.4521,3.941,3.271,5.461,-1.248,-1.086,-9.966,7.767,6.629,6.365,3.233,3.315,-2.548,2.242,3.328,5.135,1.486,2.808,5.813,3.634,2.854,5.532,4.043,3.162,2.932,7.883,5.69,10.21,7.491
TCGA-AG-3591-01,6.011,5.13,5.109,3.464,6.113,-6.506,4.277,-9.966,-3.171,-2.053,-0.8599,5.445,-3.626,5.399,3.688,3.453,-4.035,-0.9686,-9.966,4.196,2.793,5.388,3.057,0.3115,-4.293,2.095,3.115,5.312,2.325,2.814,5.894,2.412,2.826,4.868,3.157,-2.466,2.088,7.734,4.475,7.687,4.26
TCGA-AG-4022-01,6.873,4.739,6.098,1.373,5.322,-9.966,4.496,-9.966,-0.9686,0.1124,-0.5125,7.2,-2.114,4.322,5.583,6.059,-3.308,-0.7346,-9.966,7.521,5.312,8.446,4.934,2.354,-2.548,3.542,4.004,4.385,1.412,2.674,5.967,2.115,3.119,5.422,4.083,3.228,3.225,7.84,5.508,9.072,6.807
TCGA-AG-3731-01,4.707,4.936,6.368,1.561,7.483,-2.635,5.913,-9.966,-4.035,-5.012,3.753,8.101,-1.685,4.474,4.401,6.282,-2.178,3.891,-9.966,9.103,5.573,7.038,4.071,2.842,-3.047,2.501,3.873,5.218,1.551,3.634,6.188,3.057,4.233,5.866,4.614,5.122,3.175,8.27,7.614,9.25,7.497
TCGA-DY-A1DF-01,8.189,3.306,5.0,-1.086,4.194,-9.966,1.993,-9.966,-5.012,-4.293,-2.053,4.37,-6.506,0.8488,2.135,8.146,-5.012,-5.012,-9.966,3.449,0.7999,6.705,0.4657,1.112,-2.932,3.484,3.434,2.907,-3.816,0.6425,6.06,0.1388,-1.884,4.35,4.628,-0.7346,0.9419,7.683,3.521,8.416,4.768
TCGA-EI-6917-01,1.605,4.731,6.039,6.953,4.915,-9.966,6.151,-9.966,-1.149,-4.035,1.078,5.395,-1.51,6.783,2.922,5.839,-4.293,-1.994,-9.966,6.762,6.419,7.805,3.372,2.272,-2.548,2.692,4.645,5.493,1.196,2.905,6.502,2.978,3.387,5.574,3.942,-2.466,3.183,8.014,5.74,9.324,6.996
