cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160B,1999-2000_MCQ.XPT,9493,9493,4880,4856,167,4689
2001-2002,MCQ,MCQ160B,2001-2002_MCQ.XPT,10470,10470,5411,5387,187,5200
2003-2004,MCQ,MCQ160B,2003-2004_MCQ.XPT,9645,9645,5041,5019,197,4822
2005-2006,MCQ,MCQ160B,2005-2006_MCQ.XPT,9822,9822,4979,4962,180,4782
2007-2008,MCQ,MCQ160B,2007-2008_MCQ.XPT,9666,9666,5935,5910,217,5693
2009-2010,MCQ,MCQ160B,2009-2010_MCQ.XPT,10109,10109,6218,6199,174,6025
2011-2012,MCQ,MCQ160B,2011-2012_MCQ.XPT,9364,9364,5560,5544,187,5357
2013-2014,MCQ,MCQ160B,2013-2014_MCQ.XPT,9770,9770,5769,5761,182,5579
2015-2016,MCQ,MCQ160B,2015-2016_MCQ.XPT,9575,9575,5719,5708,214,5494
2017-2018,MCQ,MCQ160B,2017-2018_MCQ.XPT,8897,8897,5569,5552,201,5351
