randomization_order,disease_id,disease_name,outcome_definition,source_component,source_variable(s),cycles_available,n_cycles,adult_only,minimum_age,case_definition,control_definition,ambiguous_definition,case_count_pooled,control_count_pooled,missing_count,covariate_compatibility,core_complete_case_n,core_complete_case_count,core_complete_control_count,outcome_definition_reproducible,non_overlap_worked_examples,eligible_for_randomization,exclusion_reason,definition_provenance,source_files,random_seed,selection_status
1,NHANES_CORONARY_HEART_DISEASE,Physician-diagnosed coronary heart disease,Adult participants (age >=20) with MCQ160C=1 versus MCQ160C=2 in NHANES MCQ.,MCQ,MCQ160C,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10,True,20,MCQ160C=1 (yes/physician-diagnosed),MCQ160C=2 (no),"Adult responses other than MCQ160C=1 or 2, including missing/refused/don't know, are indeterminate.",2351,52463,267,age; sex; race/ethnicity; BMI; smoking; PIR; SDMVPSU; SDMVSTRA,46490,1908,44582,True,True,True,,NHANES questionnaire binary item; values 1/2 only; inventory fixed from module structure,1999-2000_BMX.XPT;1999-2000_DEMO.XPT;1999-2000_MCQ.XPT;1999-2000_SMQ.XPT;2001-2002_BMX.XPT;2001-2002_DEMO.XPT;2001-2002_MCQ.XPT;2001-2002_SMQ.XPT;2003-2004_BMX.XPT;2003-2004_DEMO.XPT;2003-2004_MCQ.XPT;2003-2004_SMQ.XPT;2005-2006_BMX.XPT;2005-2006_DEMO.XPT;2005-2006_MCQ.XPT;2005-2006_SMQ.XPT;2007-2008_BMX.XPT;2007-2008_DEMO.XPT;2007-2008_MCQ.XPT;2007-2008_SMQ.XPT;2009-2010_BMX.XPT;2009-2010_DEMO.XPT;2009-2010_MCQ.XPT;2009-2010_SMQ.XPT;2011-2012_BMX.XPT;2011-2012_DEMO.XPT;2011-2012_MCQ.XPT;2011-2012_SMQ.XPT;2013-2014_BMX.XPT;2013-2014_DEMO.XPT;2013-2014_MCQ.XPT;2013-2014_SMQ.XPT;2015-2016_BMX.XPT;2015-2016_DEMO.XPT;2015-2016_MCQ.XPT;2015-2016_SMQ.XPT;2017-2018_BMX.XPT;2017-2018_DEMO.XPT;2017-2018_MCQ.XPT;2017-2018_SMQ.XPT,20260828,frozen_step10r_primary_panel
2,NHANES_STROKE,Physician-diagnosed stroke,Adult participants (age >=20) with MCQ160F=1 versus MCQ160F=2 in NHANES MCQ.,MCQ,MCQ160F,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10,True,20,MCQ160F=1 (yes/physician-diagnosed),MCQ160F=2 (no),"Adult responses other than MCQ160F=1 or 2, including missing/refused/don't know, are indeterminate.",2197,52803,81,age; sex; race/ethnicity; BMI; smoking; PIR; SDMVPSU; SDMVSTRA,46612,1697,44915,True,True,True,,NHANES questionnaire binary item; values 1/2 only; inventory fixed from module structure,1999-2000_BMX.XPT;1999-2000_DEMO.XPT;1999-2000_MCQ.XPT;1999-2000_SMQ.XPT;2001-2002_BMX.XPT;2001-2002_DEMO.XPT;2001-2002_MCQ.XPT;2001-2002_SMQ.XPT;2003-2004_BMX.XPT;2003-2004_DEMO.XPT;2003-2004_MCQ.XPT;2003-2004_SMQ.XPT;2005-2006_BMX.XPT;2005-2006_DEMO.XPT;2005-2006_MCQ.XPT;2005-2006_SMQ.XPT;2007-2008_BMX.XPT;2007-2008_DEMO.XPT;2007-2008_MCQ.XPT;2007-2008_SMQ.XPT;2009-2010_BMX.XPT;2009-2010_DEMO.XPT;2009-2010_MCQ.XPT;2009-2010_SMQ.XPT;2011-2012_BMX.XPT;2011-2012_DEMO.XPT;2011-2012_MCQ.XPT;2011-2012_SMQ.XPT;2013-2014_BMX.XPT;2013-2014_DEMO.XPT;2013-2014_MCQ.XPT;2013-2014_SMQ.XPT;2015-2016_BMX.XPT;2015-2016_DEMO.XPT;2015-2016_MCQ.XPT;2015-2016_SMQ.XPT;2017-2018_BMX.XPT;2017-2018_DEMO.XPT;2017-2018_MCQ.XPT;2017-2018_SMQ.XPT,20260828,frozen_step10r_primary_panel
3,NHANES_CHRONIC_BRONCHITIS,Physician-diagnosed chronic bronchitis,Adult participants (age >=20) with MCQ160K=1 versus MCQ160K=2 in NHANES MCQ.,MCQ,MCQ160K,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10,True,20,MCQ160K=1 (yes/physician-diagnosed),MCQ160K=2 (no),"Adult responses other than MCQ160K=1 or 2, including missing/refused/don't know, are indeterminate.",3213,51754,114,age; sex; race/ethnicity; BMI; smoking; PIR; SDMVPSU; SDMVSTRA,46579,2748,43831,True,True,True,,NHANES questionnaire binary item; values 1/2 only; inventory fixed from module structure,1999-2000_BMX.XPT;1999-2000_DEMO.XPT;1999-2000_MCQ.XPT;1999-2000_SMQ.XPT;2001-2002_BMX.XPT;2001-2002_DEMO.XPT;2001-2002_MCQ.XPT;2001-2002_SMQ.XPT;2003-2004_BMX.XPT;2003-2004_DEMO.XPT;2003-2004_MCQ.XPT;2003-2004_SMQ.XPT;2005-2006_BMX.XPT;2005-2006_DEMO.XPT;2005-2006_MCQ.XPT;2005-2006_SMQ.XPT;2007-2008_BMX.XPT;2007-2008_DEMO.XPT;2007-2008_MCQ.XPT;2007-2008_SMQ.XPT;2009-2010_BMX.XPT;2009-2010_DEMO.XPT;2009-2010_MCQ.XPT;2009-2010_SMQ.XPT;2011-2012_BMX.XPT;2011-2012_DEMO.XPT;2011-2012_MCQ.XPT;2011-2012_SMQ.XPT;2013-2014_BMX.XPT;2013-2014_DEMO.XPT;2013-2014_MCQ.XPT;2013-2014_SMQ.XPT;2015-2016_BMX.XPT;2015-2016_DEMO.XPT;2015-2016_MCQ.XPT;2015-2016_SMQ.XPT;2017-2018_BMX.XPT;2017-2018_DEMO.XPT;2017-2018_MCQ.XPT;2017-2018_SMQ.XPT,20260828,frozen_step10r_primary_panel
4,NHANES_CONGESTIVE_HEART_FAILURE,Physician-diagnosed congestive heart failure,Adult participants (age >=20) with MCQ160B=1 versus MCQ160B=2 in NHANES MCQ.,MCQ,MCQ160B,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10,True,20,MCQ160B=1 (yes/physician-diagnosed),MCQ160B=2 (no),"Adult responses other than MCQ160B=1 or 2, including missing/refused/don't know, are indeterminate.",1906,52992,183,age; sex; race/ethnicity; BMI; smoking; PIR; SDMVPSU; SDMVSTRA,46545,1480,45065,True,True,True,,NHANES questionnaire binary item; values 1/2 only; inventory fixed from module structure,1999-2000_BMX.XPT;1999-2000_DEMO.XPT;1999-2000_MCQ.XPT;1999-2000_SMQ.XPT;2001-2002_BMX.XPT;2001-2002_DEMO.XPT;2001-2002_MCQ.XPT;2001-2002_SMQ.XPT;2003-2004_BMX.XPT;2003-2004_DEMO.XPT;2003-2004_MCQ.XPT;2003-2004_SMQ.XPT;2005-2006_BMX.XPT;2005-2006_DEMO.XPT;2005-2006_MCQ.XPT;2005-2006_SMQ.XPT;2007-2008_BMX.XPT;2007-2008_DEMO.XPT;2007-2008_MCQ.XPT;2007-2008_SMQ.XPT;2009-2010_BMX.XPT;2009-2010_DEMO.XPT;2009-2010_MCQ.XPT;2009-2010_SMQ.XPT;2011-2012_BMX.XPT;2011-2012_DEMO.XPT;2011-2012_MCQ.XPT;2011-2012_SMQ.XPT;2013-2014_BMX.XPT;2013-2014_DEMO.XPT;2013-2014_MCQ.XPT;2013-2014_SMQ.XPT;2015-2016_BMX.XPT;2015-2016_DEMO.XPT;2015-2016_MCQ.XPT;2015-2016_SMQ.XPT;2017-2018_BMX.XPT;2017-2018_DEMO.XPT;2017-2018_MCQ.XPT;2017-2018_SMQ.XPT,20260828,frozen_step10r_primary_panel
5,NHANES_HAY_FEVER,Physician-diagnosed hay fever,Adult participants (age >=20) with MCQ160J=1 versus MCQ160J=2 in NHANES MCQ.,MCQ,MCQ160J,1999-2000;2001-2002;2003-2004,3,True,20,MCQ160J=1 (yes/physician-diagnosed),MCQ160J=2 (no),"Adult responses other than MCQ160J=1 or 2, including missing/refused/don't know, are indeterminate.",4375,10944,13,age; sex; race/ethnicity; BMI; smoking; PIR; SDMVPSU; SDMVSTRA,12484,3625,8859,True,True,True,,NHANES questionnaire binary item; values 1/2 only; inventory fixed from module structure,1999-2000_BMX.XPT;1999-2000_DEMO.XPT;1999-2000_MCQ.XPT;1999-2000_SMQ.XPT;2001-2002_BMX.XPT;2001-2002_DEMO.XPT;2001-2002_MCQ.XPT;2001-2002_SMQ.XPT;2003-2004_BMX.XPT;2003-2004_DEMO.XPT;2003-2004_MCQ.XPT;2003-2004_SMQ.XPT,20260828,frozen_step10r_primary_panel
