cycle,cycle_index,source_component,source_variable,source_file,adult_rows,valid_binary_rows,cases,controls,ambiguous_or_missing,core_complete_rows,core_complete_cases,core_complete_controls,disease_id
1999-2000,0,MCQ,MCQ160D,1999-2000_MCQ.XPT,4880,4854,180,4674,26,3727,138,3589,NHANES_ANGINA
2001-2002,1,MCQ,MCQ160D,2001-2002_MCQ.XPT,5411,5379,199,5180,32,4348,150,4198,NHANES_ANGINA
2003-2004,2,MCQ,MCQ160D,2003-2004_MCQ.XPT,5041,5021,212,4809,20,4365,186,4179,NHANES_ANGINA
2005-2006,3,MCQ,MCQ160D,2005-2006_MCQ.XPT,4979,4962,155,4807,17,4449,132,4317,NHANES_ANGINA
2007-2008,4,MCQ,MCQ160D,2007-2008_MCQ.XPT,5935,5913,164,5749,22,5063,134,4929,NHANES_ANGINA
2009-2010,5,MCQ,MCQ160D,2009-2010_MCQ.XPT,6218,6200,155,6045,18,5395,134,5261,NHANES_ANGINA
2011-2012,6,MCQ,MCQ160D,2011-2012_MCQ.XPT,5560,5541,129,5412,19,4784,109,4675,NHANES_ANGINA
2013-2014,7,MCQ,MCQ160D,2013-2014_MCQ.XPT,5769,5761,136,5625,8,5090,119,4971,NHANES_ANGINA
2015-2016,8,MCQ,MCQ160D,2015-2016_MCQ.XPT,5719,5701,133,5568,18,4832,116,4716,NHANES_ANGINA
2017-2018,9,MCQ,MCQ160D,2017-2018_MCQ.XPT,5569,5539,161,5378,30,4471,120,4351,NHANES_ANGINA
1999-2000,0,MCQ,MCQ160A,1999-2000_MCQ.XPT,4880,4873,1239,3634,7,3738,918,2820,NHANES_ARTHRITIS
2001-2002,1,MCQ,MCQ160A,2001-2002_MCQ.XPT,5411,5405,1331,4074,6,4365,998,3367,NHANES_ARTHRITIS
2003-2004,2,MCQ,MCQ160A,2003-2004_MCQ.XPT,5041,5027,1408,3619,14,4369,1202,3167,NHANES_ARTHRITIS
2005-2006,3,MCQ,MCQ160A,2005-2006_MCQ.XPT,4979,4969,1247,3722,10,4451,1086,3365,NHANES_ARTHRITIS
2007-2008,4,MCQ,MCQ160A,2007-2008_MCQ.XPT,5935,5925,1755,4170,10,5075,1492,3583,NHANES_ARTHRITIS
2009-2010,5,MCQ,MCQ160A,2009-2010_MCQ.XPT,6218,6201,1674,4527,17,5395,1458,3937,NHANES_ARTHRITIS
2011-2012,6,MCQ,MCQ160A,2011-2012_MCQ.XPT,5560,5550,1365,4185,10,4787,1168,3619,NHANES_ARTHRITIS
2013-2014,7,MCQ,MCQ160A,2013-2014_MCQ.XPT,5769,5756,1508,4248,13,5084,1341,3743,NHANES_ARTHRITIS
2015-2016,8,MCQ,MCQ160A,2015-2016_MCQ.XPT,5719,5708,1470,4238,11,4833,1241,3592,NHANES_ARTHRITIS
2017-2018,9,MCQ,MCQ160A,2017-2018_MCQ.XPT,5569,5552,1695,3857,17,4483,1346,3137,NHANES_ARTHRITIS
1999-2000,0,MCQ,MCQ010,1999-2000_MCQ.XPT,4880,4875,514,4361,5,3739,406,3333,NHANES_ASTHMA
2001-2002,1,MCQ,MCQ010,2001-2002_MCQ.XPT,5411,5407,540,4867,4,4364,456,3908,NHANES_ASTHMA
2003-2004,2,MCQ,MCQ010,2003-2004_MCQ.XPT,5041,5034,602,4432,7,4374,525,3849,NHANES_ASTHMA
2005-2006,3,MCQ,MCQ010,2005-2006_MCQ.XPT,4979,4972,650,4322,7,4456,582,3874,NHANES_ASTHMA
2007-2008,4,MCQ,MCQ010,2007-2008_MCQ.XPT,5935,5929,774,5155,6,5079,674,4405,NHANES_ASTHMA
2009-2010,5,MCQ,MCQ010,2009-2010_MCQ.XPT,6218,6211,847,5364,7,5404,753,4651,NHANES_ASTHMA
2011-2012,6,MCQ,MCQ010,2011-2012_MCQ.XPT,5560,5556,810,4746,4,4792,701,4091,NHANES_ASTHMA
2013-2014,7,MCQ,MCQ010,2013-2014_MCQ.XPT,5769,5764,878,4886,5,5091,793,4298,NHANES_ASTHMA
2015-2016,8,MCQ,MCQ010,2015-2016_MCQ.XPT,5719,5715,842,4873,4,4839,721,4118,NHANES_ASTHMA
2017-2018,9,MCQ,MCQ010,2017-2018_MCQ.XPT,5569,5564,836,4728,5,4489,695,3794,NHANES_ASTHMA
1999-2000,0,MCQ,MCQ160K,1999-2000_MCQ.XPT,4880,4872,299,4573,8,3739,234,3505,NHANES_CHRONIC_BRONCHITIS
2001-2002,1,MCQ,MCQ160K,2001-2002_MCQ.XPT,5411,5394,291,5103,17,4353,241,4112,NHANES_CHRONIC_BRONCHITIS
2003-2004,2,MCQ,MCQ160K,2003-2004_MCQ.XPT,5041,5029,331,4698,12,4372,287,4085,NHANES_CHRONIC_BRONCHITIS
2005-2006,3,MCQ,MCQ160K,2005-2006_MCQ.XPT,4979,4966,290,4676,13,4451,261,4190,NHANES_CHRONIC_BRONCHITIS
2007-2008,4,MCQ,MCQ160K,2007-2008_MCQ.XPT,5935,5926,375,5551,9,5077,323,4754,NHANES_CHRONIC_BRONCHITIS
2009-2010,5,MCQ,MCQ160K,2009-2010_MCQ.XPT,6218,6202,311,5891,16,5395,272,5123,NHANES_CHRONIC_BRONCHITIS
2011-2012,6,MCQ,MCQ160K,2011-2012_MCQ.XPT,5560,5550,297,5253,10,4789,265,4524,NHANES_CHRONIC_BRONCHITIS
2013-2014,7,MCQ,MCQ160K,2013-2014_MCQ.XPT,5769,5761,320,5441,8,5088,290,4798,NHANES_CHRONIC_BRONCHITIS
2015-2016,8,MCQ,MCQ160K,2015-2016_MCQ.XPT,5719,5704,304,5400,15,4829,257,4572,NHANES_CHRONIC_BRONCHITIS
2017-2018,9,MCQ,MCQ160K,2017-2018_MCQ.XPT,5569,5563,395,5168,6,4486,318,4168,NHANES_CHRONIC_BRONCHITIS
1999-2000,0,MCQ,MCQ160B,1999-2000_MCQ.XPT,4880,4856,167,4689,24,3732,106,3626,NHANES_CONGESTIVE_HEART_FAILURE
2001-2002,1,MCQ,MCQ160B,2001-2002_MCQ.XPT,5411,5387,187,5200,24,4353,116,4237,NHANES_CONGESTIVE_HEART_FAILURE
