disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2003-2004,2368,2094,5041,1611,1354,414
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2005-2006,2323,2120,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2007-2008,2294,2100,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2009-2010,2432,2233,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2011-2012,2177,1904,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2013-2014,2339,2168,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2015-2016,2170,1993,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFDE,LBXPFDE,2017-2018,2133,1929,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2003-2004,2368,2094,5041,1611,1354,414
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2005-2006,2323,2120,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2007-2008,2294,2100,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2009-2010,2432,2233,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2011-2012,2177,1904,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2013-2014,2339,2168,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2015-2016,2170,1993,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFHS,LBXPFHS,2017-2018,2133,1929,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2003-2004,2368,2094,5041,1611,1354,414
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2005-2006,2323,2120,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2007-2008,2294,2100,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2009-2010,2432,2233,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2011-2012,2177,1904,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2013-2014,2339,2168,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2015-2016,2170,1993,0,0,0,0
NHANES_HAY_FEVER,NHANES_LBXPFNA,LBXPFNA,2017-2018,2133,1929,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXBPH,URXBPH,2003-2004,2612,2517,5041,1546,1383,404
NHANES_HAY_FEVER,NHANES_URXBPH,URXBPH,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXBPH,URXBPH,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXBPH,URXBPH,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXBPH,URXBPH,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXCOP,URXCOP,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXECP,URXECP,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,1999-2000,2648,2541,4880,1521,1259,402
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2001-2002,2901,2782,5411,1713,1481,387
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMBP,URXMBP,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,1999-2000,2648,2536,4880,1521,1255,402
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2001-2002,2901,2782,5411,1713,1481,387
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMEP,URXMEP,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2001-2002,2901,2782,5411,1713,1481,387
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHH,URXMHH,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,1999-2000,2648,2541,4880,1521,1259,402
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2001-2002,2901,2782,5411,1713,1481,387
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2009-2010,2819,2749,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2011-2012,2594,2489,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2013-2014,2777,2685,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2015-2016,3205,2975,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMHP,URXMHP,2017-2018,2986,2762,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMIB,URXMIB,2001-2002,2901,2782,5411,1713,1481,387
NHANES_HAY_FEVER,NHANES_URXMIB,URXMIB,2003-2004,2697,2605,5041,1585,1410,398
NHANES_HAY_FEVER,NHANES_URXMIB,URXMIB,2005-2006,2638,2548,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMIB,URXMIB,2007-2008,2718,2604,0,0,0,0
NHANES_HAY_FEVER,NHANES_URXMIB,URXMIB,2009-2010,2819,2749,0,0,0,0
