gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
PPARD,SQSTM1,0.36333328089039335,0.36333328089039335,2.65807210779694e-13,1.7436953027147927e-12
RELA,TIMP1,0.36327824742551174,0.36327824742551174,2.681708133495249e-13,1.7452386265604002e-12
CXCR4,PPARD,0.361565792030927,0.361565792030927,3.5292211356361137e-13,2.2787097096233174e-12
NR3C1,SIRT1,0.36031468598209726,0.36031468598209726,4.3088817425952346e-13,2.7603773663500723e-12
BECN1,PPARG,0.35992156141683335,0.35992156141683335,4.586958852682562e-13,2.9157412862013186e-12
ESR1,PTGER4,0.35985215415240807,0.35985215415240807,4.637844531447669e-13,2.9254096275285295e-12
DUSP1,F3,0.3592154694281971,0.3592154694281971,5.131137867430135e-13,3.211857291063138e-12
HPGD,NR3C1,0.3578597702704848,0.3578597702704848,6.35856816207322e-13,3.950019615833364e-12
PTGS2,TIMP2,0.35764377820248683,0.35764377820248683,6.578980081247817e-13,4.056213283175346e-12
PPARD,PTGES2,0.35629912152435494,0.35629912152435494,8.129036255093687e-13,4.974484872520018e-12
BECN1,PPARD,0.35196463397036654,0.35196463397036654,1.5968788876535998e-12,9.699560650932977e-12
PPARA,SIRT1,0.350500820223541,0.350500820223541,2.001204809202797e-12,1.2066087820193335e-11
F3,PTGS1,0.34918569817646794,0.34918569817646794,2.4486253474924044e-12,1.465600572951658e-11
PTGS1,RXRA,0.34533696167432953,0.34533696167432953,4.39580263262401e-12,2.611998665762093e-11
ATG5,PPARG,0.34198750662444877,0.34198750662444877,7.267263773103336e-12,4.2871628013990906e-11
SIRT1,TIMP2,0.34050455921842293,0.34050455921842293,9.061585906389867e-12,5.3075003165997794e-11
PTGS1,TIMP1,0.3403165366724987,0.3403165366724987,9.317910920176025e-12,5.418926918116554e-11
PPARD,TIMP1,0.33784139584469847,0.33784139584469847,1.3428655052107454e-11,7.754575452625431e-11
SQSTM1,STAT3,0.33620798467636187,0.33620798467636187,1.7060855306703985e-11,9.783147798249837e-11
DUSP1,PPARD,0.3359884760047281,0.3359884760047281,1.7616764779561792e-11,1.003176883280602e-10
CCL20,IL1A,0.3348947130458724,0.3348947130458724,2.0660884982398828e-11,1.1684086679701406e-10
F3,IL1A,0.33318930154257237,0.33318930154257237,2.6456819377081825e-11,1.4859309513155546e-10
NR3C1,PTGER4,0.33093682945372427,0.33093682945372427,3.658991694754202e-11,2.0410701970737725e-10
ESR1,SIRT1,0.32850551479070106,0.32850551479070106,5.1770038599381937e-11,2.868339976452243e-10
CXCR4,SIRT1,0.32713349469737335,0.32713349469737335,6.288432234271978e-11,3.4607479410087394e-10
HSPA1A,MMP2,0.32693206405782266,0.32693206405782266,6.470043734381243e-11,3.536957241461746e-10
MIR675,RXRA,-0.3266810368008093,0.3266810368008093,6.703533808014323e-11,3.640329617597182e-10
PPARD,SIRT1,0.3261939542757428,0.3261939542757428,7.180230736050165e-11,3.873545528658642e-10
CXCR4,PTGER4,0.32549045400337995,0.32549045400337995,7.927480607817759e-11,4.245916195699806e-10
PGR,SIRT1,0.3254487878026716,0.3254487878026716,7.974037733387441e-11,4.245916195699806e-10
MMP2,PPARD,0.32524084146241705,0.32524084146241705,8.210403450843014e-11,4.343568277220175e-10
CCL20,PPARG,0.3248675102412626,0.3248675102412626,8.651992402415243e-11,4.5478421602439093e-10
MMP9,PTGS2,0.3247425913169835,0.3247425913169835,8.80485110794682e-11,4.5987120436410136e-10
CYP3A4,PPARA,0.3241515352788483,0.3241515352788483,9.564498265050641e-11,4.963853529962992e-10
BECN1,PTGER4,0.3240995452155444,0.3240995452155444,9.634292116926011e-11,4.968628638917817e-10
PTGER4,SIRT1,0.3239410703556307,0.3239410703556307,9.850109702177265e-11,5.048181222365848e-10
DUSP1,RELA,0.31967300136302806,0.31967300136302806,1.7801792443421516e-10,9.06675143081096e-10
PTGER2,SIRT1,0.3181285172807899,0.3181285172807899,2.2002877852990024e-10,1.1080218849385129e-09
SELE,TIMP1,0.31812106682137803,0.31812106682137803,2.2025313078655803e-10,1.1080218849385129e-09
PTGER4,RELA,0.31782852914156284,0.31782852914156284,2.2924029233865665e-10,1.1462014616932833e-09
ESR1,PTGES2,-0.31736838535729733,0.31736838535729733,2.4410295118005697e-10,1.2131176967736165e-09
RXRA,TIMP2,0.3162565515010002,0.3162565515010002,2.839893955707801e-10,1.4028391829399982e-09
MMP9,PTGER2,0.3160283352393517,0.3160283352393517,2.929275469781716e-10,1.4383268773778485e-09
MIR675,RELA,-0.3145665248932107,0.3145665248932107,3.570211426330392e-10,1.7426031961850721e-09
DUSP1,PTGER4,0.31438541837654943,0.31438541837654943,3.658540858592953e-10,1.7751500023942141e-09
PTGS1,SIRT1,0.3140586698926571,0.3140586698926571,3.823308137016155e-10,1.8441839249136748e-09
IL1A,STAT3,0.31248790631535206,0.31248790631535206,4.721542964976539e-10,2.264131714199276e-09
SQSTM1,TIMP1,0.31111930908996005,0.31111930908996005,5.66886280431287e-10,2.7025973834514844e-09
CYP2C9,F3,0.30515377269731936,0.30515377269731936,1.2442682092614501e-09,5.87448206224954e-09
NR3C1,TIMP1,0.3051397951413328,0.3051397951413328,1.2465364375992925e-09,5.87448206224954e-09
