,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
AKR1C3,1.0,0.08592586211752531,0.11293412320950251,0.011153861396772905,0.015675538494520604,0.01994962133416824,-0.1825192103566354,0.0025002425866380066,0.14796221580454436,0.23815112998030377,0.13596876599835092,-0.04268589888842843,-0.17276915035276347,-0.15510596420448086,0.15718534936927095,0.12410479196752988,0.02506356894801166,-0.09753919755622113,-0.11538730099541203,-0.10801206636108168,-0.06644101536152486,-0.1650350030166916,0.25049774022338733,-0.08983416703572637,-0.052430426831782756,0.1501817789419109,0.10601095437573864,0.05623387984398354,-0.13521582272183813,-0.07886104241211388,0.1161890897165561,-0.08950828135475128,-0.17130391937315056,0.08812125480575668,0.1964257334450419,-0.044575472398801996,-0.022539483169777143,0.2724084156909202,-0.08797805753660345,0.025740514108740963,-0.0460928583936677
ATG5,0.08592586211752531,1.0,0.39578903358074635,-0.1040846352565922,0.2534109104801938,-0.04136357206323443,0.12685573263746155,-0.10883112773542064,0.007063906657055373,0.0024598025856336133,0.12828561801304356,0.2537733301094321,0.18661215865234596,0.12789083633727313,0.2363593932546236,0.04278740473432193,0.08185371857526554,0.22202766323260728,-0.12206927237076072,0.2009549741420926,0.18010727704164045,-0.08489673071804754,0.21837320621543468,0.24051862481640104,0.15692382107374803,0.2652770679872822,0.2388268828644332,0.34198750662444877,0.1637330880016377,0.2580050493153947,0.14430913931180148,0.2960276631946824,0.1860037761846867,0.37780957007990845,0.2540198751756462,0.27019930536558484,0.43364493528528303,0.23507388823013722,0.4000220303445532,-0.03968347713141038,0.19196071606567697
BECN1,0.11293412320950251,0.39578903358074635,1.0,-0.08046919004919796,0.18993407387116515,0.03292422874161376,0.04426336123550003,-0.09593411657703851,0.051653701849033895,0.1605751412711893,0.08686175447205709,0.14482813647746962,0.10262467369954495,0.021630986720753812,0.22565343425855192,0.08844072640196317,0.10967922352268546,0.038833109459146586,-0.20303268630480256,0.15610085773329468,0.17861967242334312,0.10344970948910043,0.3648988640230055,0.1373038097745777,0.15739494932483383,0.4472922972546988,0.35196463397036654,0.35992156141683335,0.10362692035290852,0.3240995452155444,0.23876427377130063,0.24834407948022344,-0.03728558269102935,0.5491211867641138,0.44912992842885435,0.1109321017687512,0.47032338862784395,0.4911883664692934,0.5789360277161674,0.11177834340604118,0.2166039680337999
CA9,0.011153861396772905,-0.1040846352565922,-0.08046919004919796,1.0,-0.07688474737100225,-0.050928300786863646,0.09012988322858687,-0.04884316410017467,0.11746143836181704,0.13143847369406278,-0.014401089804775136,0.03697581743316799,-0.13594349630955144,0.17517925837530857,-0.09646194731591899,0.0703153609300213,-0.12955523392623725,0.16786279373037016,-0.04631872018355278,0.03683783328393036,0.007227295411665765,-0.11705331784497992,-0.06289571892184562,-0.13961483230145402,-0.11680603145630508,-0.01700946672989888,0.2179469761319407,0.06976600923105811,0.15915550864348305,0.09853949302665109,0.22320344549957213,-0.09110766539520374,-0.02478491751364791,0.06036079200500275,0.017563139486023463,-0.19491924057393673,-0.05260556853545587,-0.03446793836661195,-0.06071851748422926,0.16838947705551877,-0.00819153673679675
CCL20,0.015675538494520604,0.2534109104801938,0.18993407387116515,-0.07688474737100225,1.0,-0.06709909228849932,-0.15464906858024433,-0.03937707158469707,0.03857442478966343,-0.02643702976186363,-0.04508499504976927,0.053641747483649985,-0.17718217432243122,0.0556071043466586,0.06890287860559226,-0.1066410613076059,0.15844513365085938,0.3348947130458724,-0.10876240052784128,-0.1418128870988199,-0.06241798136233325,0.02567995183176358,0.2179755482246721,-0.14918804143113373,-0.19945825100811804,0.00459466967915301,0.013827644429596931,0.3248675102412626,-0.1249104399411812,0.019258077221461455,0.1979144604900658,-0.027042539721415078,-0.006148878376512796,0.12518331000604296,-0.0056635457782280895,-0.054651139401824644,0.03242977328420885,0.09291558149767741,0.09380140616209025,-0.16030724612885444,-0.20060226843776738
CRP,0.01994962133416824,-0.04136357206323443,0.03292422874161376,-0.050928300786863646,-0.06709909228849932,1.0,0.08320368075328426,0.25016545419133873,0.04998645234239338,0.10626342861444253,0.062306972113030476,0.1433710584192405,0.2027780548833996,0.0010065941532091446,0.06233016820300239,-0.005822181490182433,0.07428247849018683,0.0011810399494232191,0.14407340600629465,0.07451280870305872,0.0616244712511954,-0.006590269086922631,-0.037605018049460176,0.161956219622848,0.1299261338700881,-0.03648770376035373,-0.0014639775661937926,-0.042684131956205865,0.07808541685447108,0.08172084404059818,-0.11548402727744578,0.16173461771720737,0.03397761982795999,-0.020428026330299887,0.0013884263251740445,0.14691946360038868,0.04272943396666127,0.05014939022498549,0.09268020191731118,0.18696330231650085,0.13113003925667593
CXCR4,-0.1825192103566354,0.12685573263746155,0.04426336123550003,0.09012988322858687,-0.15464906858024433,0.08320368075328426,1.0,0.09192277808824971,0.1832815258892591,0.06113002714345441,0.07736271289989177,0.5146692624719431,0.6160398233755373,0.41624111929400825,0.1433322345779609,0.11044741012545153,0.0476470494606764,0.15746887875048113,-0.05215326947336526,0.5736799073671273,0.5617924461292116,0.09590177947867089,-0.2962665985605577,0.6350822788134659,0.42520329452280686,0.07561006121508451,0.361565792030927,-0.1682504705961926,0.6403693379271859,0.32549045400337995,-0.07528288390971744,0.5454767561833245,0.46971472818077775,0.2802300945137988,0.19318192533759052,0.39671438420089195,0.32713349469737335,0.06637404824016079,0.4868511997822,0.45630786330501827,0.5940009644183988
CYP1A2,0.0025002425866380066,-0.10883112773542064,-0.09593411657703851,-0.04884316410017467,-0.03937707158469707,0.25016545419133873,0.09192277808824971,1.0,0.049920169079118365,0.08454594327585568,0.01831589114974386,0.11088317035263297,0.22410049796764303,0.004837403089548011,0.059879661039777814,-0.019020330282095235,-0.031988691040334034,0.0467963626129587,0.07023165859121111,0.029331265774530168,0.07375078151161168,0.10111538305721057,-0.053254965789453504,0.17901886774328218,0.11341646891463986,0.005658441910500346,-0.08814329290502544,-0.07085903055911189,0.028952142994506023,0.011863444598722638,-0.22560148835354718,0.07219676863723436,0.09317697061599835,-0.19088531171997403,-0.07587608303084163,0.09774439780723286,-0.03566516676676033,-0.13316690188822417,-0.014057531489554166,-0.029203495980967754,0.04725814715809095
CYP2C9,0.14796221580454436,0.007063906657055373,0.051653701849033895,0.11746143836181704,0.03857442478966343,0.04998645234239338,0.1832815258892591,0.049920169079118365,1.0,0.1581678917761404,0.015665297803001323,0.12812873846261819,0.0967589487929087,0.30515377269731936,0.1843897850037339,0.008636700620611157,-0.06947103308519938,0.08440553143949933,-0.05576462597132653,-0.010719222687171324,-0.006014455940216906,0.15753166868575963,-0.01801165152169872,0.12132450123407768,0.00974384221765286,0.14198032165613228,0.13037960808602383,0.04024603604295215,0.1873250269357204,0.15348170144450513,0.009452680547394631,0.013964852353917735,0.07195187064802562,-0.02204887091709309,0.0537795035700296,-0.02243475342409826,-0.0133746892532345,-0.12315974016792701,0.15731616352885144,0.014160839575137175,-0.018386786106868763
CYP3A4,0.23815112998030377,0.0024598025856336133,0.1605751412711893,0.13143847369406278,-0.02643702976186363,0.10626342861444253,0.06113002714345441,0.08454594327585568,0.1581678917761404,1.0,-0.09894613773025483,0.05154296952467069,0.058914763985575144,0.043720253175401895,0.3020694294326907,-0.02628974124082136,-0.0006797080011338011,-0.008999051087698998,-0.006190383998851416,-0.009976326451962106,0.07134230806065635,-0.11400017485004173,0.21729059702121403,0.08489675500968326,0.10223524103846822,0.3241515352788483,0.05962476057960588,0.02955864610694068,0.19567368956538178,0.2079044391369728,-0.12423749153599373,0.08851774852710392,0.019793678631762266,0.017408280113346917,0.17243337586087049,-0.08728568039630417,0.08017956341759223,0.09059106242933021,0.06029932169078803,0.09139376194718477,0.06360056802635758
