dataset,cell_line,gene,parental_n,resistant_n,mean_parental,mean_resistant,delta_resistant_minus_parental,p_value,direction
GSE119603,HCT116,ACADM,3,3,4.46362445326663,4.578758092452209,0.11513363918557928,0.28694194838611814,up
GSE119603,HCT116,ACADVL,3,3,7.700106434418469,7.647155135067717,-0.05295129935075238,0.28412760713719765,down
GSE119603,HCT116,BBOX1,3,3,0.0,0.0,0.0,,flat
GSE119603,HCT116,CPT1A,3,3,7.874869807911392,7.495470966283064,-0.37939884162832804,0.0006549174473091486,down
GSE119603,HCT116,CPT1B,3,3,2.8366934441059612,2.8666892781728115,0.029995834066850247,0.8291404598631382,up
GSE119603,HCT116,CPT2,3,3,4.465378750860325,4.944614054110935,0.4792353032506096,0.008203724429378051,up
GSE119603,HCT116,ECHS1,3,3,5.526718604507877,5.682909010091067,0.15619040558318975,0.06086474403116504,up
GSE119603,HCT116,ETFA,3,3,4.565699020563396,4.691807575024485,0.12610855446108893,0.2205518261216183,up
GSE119603,HCT116,ETFB,3,3,5.408243330098542,5.382107952974316,-0.02613537712422609,0.5963394699557485,down
GSE119603,HCT116,ETFDH,3,3,4.6274434564814095,4.249715564287963,-0.3777278921934464,0.0489861533217079,down
GSE119603,HCT116,FABP6,3,3,0.0,0.0,0.0,,flat
GSE119603,HCT116,HADHA,3,3,6.73935278959805,6.923300363361393,0.18394757376334248,0.059143315444525446,up
GSE119603,HCT116,HADHB,3,3,6.52406329659641,6.496503213040856,-0.027560083555553838,0.7190239697351418,down
GSE119603,HCT116,KLF5,3,3,6.862804524236282,5.826028901778421,-1.0367756224578608,3.7127462757114995e-05,down
GSE119603,HCT116,PPARGC1A,3,3,0.07187151274884206,0.0,-0.07187151274884206,0.42264973081037416,down
GSE119603,HCT116,SLC22A5,3,3,4.4812492693891075,4.491127447372848,0.009878177983740244,0.9260370928632023,up
GSE119603,HCT116,SLC25A20,3,3,3.5883134822133926,3.3500805432861545,-0.23823293892723818,0.16730835247774092,down
