cycle,universal_frame_rows,crc_vs_cancer_free_rows,crc_cases,cancer_free_controls,n_psu,n_strata
1999-2000,9493,4524,35,4489,27,13
2001-2002,10470,4930,47,4883,30,15
2003-2004,9645,4592,41,4551,30,15
2005-2006,9822,4587,26,4561,30,15
2007-2008,9666,5399,51,5348,32,16
2009-2010,10109,5644,53,5591,31,15
2011-2012,9364,5111,45,5066,31,14
2013-2014,9770,5251,29,5222,30,15
2015-2016,9575,5203,38,5165,30,15
2017-2018,8897,5034,55,4979,30,15
