source,background,term_id,term_name,adjusted_p,intersection_size,intersection_genes,go_ancestor_count,theme_id,theme_label,status,representative_term_id,fold_similarity,folded_term_count
GO:BP,gelsemium_crc1893,GO:0071380,cellular response to prostaglandin E stimulus,0.011842662689889519,3,PPARG;PTGER2;PTGER4,21,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0071380,,4
GO:BP,gelsemium_crc1893,GO:0071383,cellular response to steroid hormone stimulus,0.001098140849651034,9,AKR1C3;ESR1;HSPA1A;NR3C1;PGR;PPARA;PPARD;RXRA;SIRT1,13,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0071383,,5
GO:BP,gelsemium_crc1893,GO:0071492,cellular response to UV-A,0.00593336364543644,3,MMP2;MMP9;TIMP1,14,other,Other / mixed biological processes,retained_representative,GO:0071492,,1
GO:BP,gelsemium_crc1893,GO:0071560,cellular response to transforming growth factor beta stimulus,0.04242837810604546,7,HPGD;HSPA1A;NR3C1;PPARA;PPARG;SIRT1;STAT3,7,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0071560,,1
GO:BP,gelsemium_crc1893,GO:0090594,inflammatory response to wounding,0.010513692388108004,4,IL1A;PPARG;STAT3;TIMP1,6,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0090594,,0
GO:BP,gelsemium_crc1893,GO:0097009,energy homeostasis,0.026497676253663883,4,PPARD;SIRT1;SQSTM1;STAT3,4,other,Other / mixed biological processes,retained_representative,GO:0097009,,0
GO:BP,gelsemium_crc1893,GO:0097267,omega-hydroxylase P450 pathway,0.039231209706835315,2,CYP1A2;CYP2C9,15,other,Other / mixed biological processes,retained_representative,GO:0097267,,0
GO:BP,gelsemium_crc1893,GO:0097305,response to alcohol,0.041367924550066305,7,AKR1C3;HPGD;NR3C1;PPARA;PPARG;PTGER2;PTGER4,4,other,Other / mixed biological processes,retained_representative,GO:0097305,,0
GO:BP,gelsemium_crc1893,GO:0098780,response to mitochondrial depolarisation,0.011842662689889519,2,BECN1;SQSTM1,6,other,Other / mixed biological processes,retained_representative,GO:0098780,,0
GO:BP,gelsemium_crc1893,GO:1900016,negative regulation of cytokine production involved in inflammatory response,0.036361625012118495,3,PPARA;RELA;STAT3,21,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:1900016,,0
GO:BP,gelsemium_crc1893,GO:1901654,response to ketone,0.02212429372284692,7,AKR1C3;CA9;NR3C1;PPARG;PTGER2;PTGER4;SIRT1,4,other,Other / mixed biological processes,retained_representative,GO:1901654,,0
GO:BP,gelsemium_crc1893,GO:1901701,cellular response to oxygen-containing compound,0.03253500730312032,17,AKR1C3;BECN1;ESR1;IGFBP1;IL1A;MMP2;MMP9;NR3C1;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SIRT1;STAT3,7,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,retained_representative,GO:1901701,,2
GO:BP,gelsemium_crc1893,GO:1902532,negative regulation of intracellular signal transduction,0.020788198050142866,11,DKK1;DUSP1;ESR1;HSPA1A;MMP9;PPARA;PPARG;PTGS2;RELA;SIRT1;STAT3,15,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:1902532,,2
GO:BP,gelsemium_crc1893,GO:1902894,negative regulation of miRNA transcription,0.0025075075060019343,5,ESR1;PPARA;PPARD;PPARG;RELA,27,other,Other / mixed biological processes,retained_representative,GO:1902894,,3
GO:BP,gelsemium_crc1893,GO:1905049,negative regulation of metallopeptidase activity,0.011842662689889519,2,TIMP1;TIMP2,24,other,Other / mixed biological processes,retained_representative,GO:1905049,,2
GO:BP,gelsemium_crc1893,GO:2000630,positive regulation of miRNA metabolic process,0.044730051117227415,5,NEAT1;NR3C1;PPARG;RELA;STAT3,15,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:2000630,,0
GO:BP,gelsemium_crc1893,GO:2001242,regulation of intrinsic apoptotic signaling pathway,0.04603445597284999,6,BECN1;HSPA1A;MMP2;MMP9;PTGS2;SIRT1,12,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:2001242,,0
