"ArchiveRelativePath","Bytes","SHA256","GitHubDisposition"
"project_data\whynot17_data\mcop_phase2g\raw\GPL1355.annot.gz","5714896","959B0339252170160D81D1E4A218C706910D0DEEF9CAF0EF583E57291C316D08","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE144735_processed_KUL3_CRC_10X_natural_log_TPM_matrix.full.gz","268804848","390C1982BC517512E53BEE9EA1323EAE85AD40C29623FC2F9AFC48CAFE35214A","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE144735_processed_KUL3_CRC_10X_natural_log_TPM_matrix.txt.gz","239892371","6293CC6472A6341D40FAD110451FB85DC366DC4C3311FDFC4D4B56B1B1F3D1C9","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE158473_Flaws_gene_logCPMvalues_2019-02-19.txt.gz","4900719","A2E39C50D5A214B3BEF70231018F4BFBDEB95C11913C41B7A9995D9B137CB23F","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE158473_series_matrix.txt.gz","4495","603F14AAB5A305414C81E8DAC53DF0364A2FCA73AE6F83222D3F65F1D83C6589","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE313258_AllSamples_Countsmatrix_TPM.csv.gz","2583586","14B6F6DC2E3210255AD75013A6B1CE6AAB2C08AC29A62E90D622995CA7D442B3","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE313258_series_matrix.txt.gz","3719","DD25A5F31F30F8FB689BB7FA97F124FF875937F1DF45499A9F471A9C80263AD5","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE40342_series_matrix.txt.gz","3505537","36EBB7F126DF024D88BBC41BA1F51A5439579DDB31952590515F5E3658A8AFE3","local_raw_archive_only"
"project_data\whynot17_data\mcop_phase2g\raw\GSE69845_series_matrix.txt.gz","58316801","A557B10817676DBF2223CFE9C161C36E9924BE050981DB9A6C89A7782228D9DC","local_raw_archive_only"
"cellxgene_census\2025-11-08\16023185-de21-4c0d-a9c8-73abdd52d142.h5ad","3759324000","CB1ABF4E714EC4A0E633E46C420E16F0DF2047953B93A5162A516905D6C1E992","local_raw_archive_only"
