"RelativePath","Bytes","LastWriteTimeUtc"
"ARCHIVE_AUDIT.json","1226","2026-08-25T01:42:31.0421598Z"
"cellxgene_census\2025-11-08\16023185-de21-4c0d-a9c8-73abdd52d142.h5ad","3759324000","2026-08-24T10:34:18.8100075Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure3_human_mcop_v4.pdf","72075","2026-08-23T12:27:55.7767562Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure3_human_mcop_v4.png","347634","2026-08-23T12:27:56.0805503Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure3_human_mcop_v4.svg","82865","2026-08-23T12:27:56.2600950Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure4_mcop_robustness_v2.pdf","94845","2026-08-23T12:27:56.8501219Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure4_mcop_robustness_v2.png","355508","2026-08-23T12:27:57.1646171Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure4_mcop_robustness_v2.svg","175342","2026-08-23T12:27:57.3536768Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure5_ppar_convergence_v2.pdf","68566","2026-08-23T12:27:57.8718511Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure5_ppar_convergence_v2.png","331432","2026-08-23T12:27:58.1249320Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figure5_ppar_convergence_v2.svg","64005","2026-08-23T12:27:58.2400509Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figures3_5_redesign_v4_QA.md","1529","2026-08-23T12:27:58.2545639Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figures3_5_redesign_v4_source_manifest.csv","3598","2026-08-23T12:27:58.2535629Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\Figures3_5_redesign_v4_statistics.md","1087","2026-08-23T12:27:58.2545639Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\make_figures3_5_redesign_v4.py","30385","2026-08-23T12:27:48.1668865Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure2_cycle_interaction.csv","364","2026-08-22T11:36:16.9744761Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure2_loco.csv","1567","2026-08-22T09:36:44.3830463Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure2_per_cycle.csv","1656","2026-08-22T11:36:16.9074082Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure2_primary_python_vs_r.csv","842","2026-08-23T02:44:03.5376672Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure3_coexposure.csv","4888","2026-08-22T12:52:10.4100633Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure3_rcs_curve_with_ci_metadata.json","701","2026-08-23T08:32:42.5730107Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure3_rcs_curve_with_ci.csv","32175","2026-08-23T08:32:42.5720031Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure3_sensitivity.csv","12013","2026-08-23T02:44:03.5431932Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure3_weighted_quartiles.csv","2641","2026-08-23T02:44:03.5451947Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_bulk_sample_manifest.csv","90629","2026-08-22T13:36:02.5255645Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_bulk_scores.csv","150890","2026-08-22T13:36:02.5384207Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_census_donor_scores.csv","86135","2026-08-23T01:50:36.8443776Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_census_paired_summary.csv","1808","2026-08-23T01:50:36.8577295Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_gse144735_paired_summary.csv","871","2026-08-23T01:51:09.8328026Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_gse144735_scores.csv","2408","2026-08-23T01:51:09.8291066Z"
"figures\graphs\DINP_Figures3-5_redesign_v4\source_data\figure4_tcga_paired_summary.csv","661","2026-08-22T13:36:02.5441200Z"
"figures\graphs\figure1_panelA_workflow_nodes.csv","225","2026-08-23T09:35:33.1412496Z"
