cycle,cycle_index,source_variable,source_file,adult_rows,valid_binary_rows,cases,controls,ambiguous_or_missing,core_complete_rows,core_complete_cases,core_complete_controls,disease_id
1999-2000,0,MCQ160D,1999-2000_MCQ.XPT,4880,4854,180,4674,26,3727,138,3589,NHANES_ANGINA
2001-2002,1,MCQ160D,2001-2002_MCQ.XPT,5411,5379,199,5180,32,4348,150,4198,NHANES_ANGINA
2003-2004,2,MCQ160D,2003-2004_MCQ.XPT,5041,5021,212,4809,20,4365,186,4179,NHANES_ANGINA
2005-2006,3,MCQ160D,2005-2006_MCQ.XPT,4979,4962,155,4807,17,4449,132,4317,NHANES_ANGINA
2007-2008,4,MCQ160D,2007-2008_MCQ.XPT,5935,5913,164,5749,22,5063,134,4929,NHANES_ANGINA
2009-2010,5,MCQ160D,2009-2010_MCQ.XPT,6218,6200,155,6045,18,5395,134,5261,NHANES_ANGINA
2011-2012,6,MCQ160D,2011-2012_MCQ.XPT,5560,5541,129,5412,19,4784,109,4675,NHANES_ANGINA
2013-2014,7,MCQ160D,2013-2014_MCQ.XPT,5769,5761,136,5625,8,5090,119,4971,NHANES_ANGINA
2015-2016,8,MCQ160D,2015-2016_MCQ.XPT,5719,5701,133,5568,18,4832,116,4716,NHANES_ANGINA
2017-2018,9,MCQ160D,2017-2018_MCQ.XPT,5569,5539,161,5378,30,4471,120,4351,NHANES_ANGINA
1999-2000,0,MCQ160A,1999-2000_MCQ.XPT,4880,4873,1239,3634,7,3738,918,2820,NHANES_ARTHRITIS
2001-2002,1,MCQ160A,2001-2002_MCQ.XPT,5411,5405,1331,4074,6,4365,998,3367,NHANES_ARTHRITIS
2003-2004,2,MCQ160A,2003-2004_MCQ.XPT,5041,5027,1408,3619,14,4369,1202,3167,NHANES_ARTHRITIS
2005-2006,3,MCQ160A,2005-2006_MCQ.XPT,4979,4969,1247,3722,10,4451,1086,3365,NHANES_ARTHRITIS
2007-2008,4,MCQ160A,2007-2008_MCQ.XPT,5935,5925,1755,4170,10,5075,1492,3583,NHANES_ARTHRITIS
2009-2010,5,MCQ160A,2009-2010_MCQ.XPT,6218,6201,1674,4527,17,5395,1458,3937,NHANES_ARTHRITIS
2011-2012,6,MCQ160A,2011-2012_MCQ.XPT,5560,5550,1365,4185,10,4787,1168,3619,NHANES_ARTHRITIS
2013-2014,7,MCQ160A,2013-2014_MCQ.XPT,5769,5756,1508,4248,13,5084,1341,3743,NHANES_ARTHRITIS
2015-2016,8,MCQ160A,2015-2016_MCQ.XPT,5719,5708,1470,4238,11,4833,1241,3592,NHANES_ARTHRITIS
2017-2018,9,MCQ160A,2017-2018_MCQ.XPT,5569,5552,1695,3857,17,4483,1346,3137,NHANES_ARTHRITIS
1999-2000,0,MCQ160K,1999-2000_MCQ.XPT,4880,4872,299,4573,8,3739,234,3505,NHANES_CHRONIC_BRONCHITIS
2001-2002,1,MCQ160K,2001-2002_MCQ.XPT,5411,5394,291,5103,17,4353,241,4112,NHANES_CHRONIC_BRONCHITIS
2003-2004,2,MCQ160K,2003-2004_MCQ.XPT,5041,5029,331,4698,12,4372,287,4085,NHANES_CHRONIC_BRONCHITIS
2005-2006,3,MCQ160K,2005-2006_MCQ.XPT,4979,4966,290,4676,13,4451,261,4190,NHANES_CHRONIC_BRONCHITIS
2007-2008,4,MCQ160K,2007-2008_MCQ.XPT,5935,5926,375,5551,9,5077,323,4754,NHANES_CHRONIC_BRONCHITIS
2009-2010,5,MCQ160K,2009-2010_MCQ.XPT,6218,6202,311,5891,16,5395,272,5123,NHANES_CHRONIC_BRONCHITIS
2011-2012,6,MCQ160K,2011-2012_MCQ.XPT,5560,5550,297,5253,10,4789,265,4524,NHANES_CHRONIC_BRONCHITIS
2013-2014,7,MCQ160K,2013-2014_MCQ.XPT,5769,5761,320,5441,8,5088,290,4798,NHANES_CHRONIC_BRONCHITIS
2015-2016,8,MCQ160K,2015-2016_MCQ.XPT,5719,5704,304,5400,15,4829,257,4572,NHANES_CHRONIC_BRONCHITIS
2017-2018,9,MCQ160K,2017-2018_MCQ.XPT,5569,5563,395,5168,6,4486,318,4168,NHANES_CHRONIC_BRONCHITIS
1999-2000,0,MCQ160B,1999-2000_MCQ.XPT,4880,4856,167,4689,24,3732,106,3626,NHANES_CONGESTIVE_HEART_FAILURE
2001-2002,1,MCQ160B,2001-2002_MCQ.XPT,5411,5387,187,5200,24,4353,116,4237,NHANES_CONGESTIVE_HEART_FAILURE
2003-2004,2,MCQ160B,2003-2004_MCQ.XPT,5041,5019,197,4822,22,4363,158,4205,NHANES_CONGESTIVE_HEART_FAILURE
2005-2006,3,MCQ160B,2005-2006_MCQ.XPT,4979,4962,180,4782,17,4452,147,4305,NHANES_CONGESTIVE_HEART_FAILURE
2007-2008,4,MCQ160B,2007-2008_MCQ.XPT,5935,5910,217,5693,25,5062,166,4896,NHANES_CONGESTIVE_HEART_FAILURE
2009-2010,5,MCQ160B,2009-2010_MCQ.XPT,6218,6199,174,6025,19,5394,145,5249,NHANES_CONGESTIVE_HEART_FAILURE
2011-2012,6,MCQ160B,2011-2012_MCQ.XPT,5560,5544,187,5357,16,4785,160,4625,NHANES_CONGESTIVE_HEART_FAILURE
2013-2014,7,MCQ160B,2013-2014_MCQ.XPT,5769,5761,182,5579,8,5090,157,4933,NHANES_CONGESTIVE_HEART_FAILURE
2015-2016,8,MCQ160B,2015-2016_MCQ.XPT,5719,5708,214,5494,11,4836,164,4672,NHANES_CONGESTIVE_HEART_FAILURE
2017-2018,9,MCQ160B,2017-2018_MCQ.XPT,5569,5552,201,5351,17,4478,161,4317,NHANES_CONGESTIVE_HEART_FAILURE
1999-2000,0,MCQ160C,1999-2000_MCQ.XPT,4880,4847,203,4644,33,3724,140,3584,NHANES_CORONARY_HEART_DISEASE
2001-2002,1,MCQ160C,2001-2002_MCQ.XPT,5411,5371,240,5131,40,4344,174,4170,NHANES_CORONARY_HEART_DISEASE
2003-2004,2,MCQ160C,2003-2004_MCQ.XPT,5041,5012,264,4748,29,4362,235,4127,NHANES_CORONARY_HEART_DISEASE
2005-2006,3,MCQ160C,2005-2006_MCQ.XPT,4979,4953,200,4753,26,4443,166,4277,NHANES_CORONARY_HEART_DISEASE
2007-2008,4,MCQ160C,2007-2008_MCQ.XPT,5935,5906,253,5653,29,5062,205,4857,NHANES_CORONARY_HEART_DISEASE
2009-2010,5,MCQ160C,2009-2010_MCQ.XPT,6218,6190,254,5936,28,5386,228,5158,NHANES_CORONARY_HEART_DISEASE
2011-2012,6,MCQ160C,2011-2012_MCQ.XPT,5560,5538,196,5342,22,4781,164,4617,NHANES_CORONARY_HEART_DISEASE
2013-2014,7,MCQ160C,2013-2014_MCQ.XPT,5769,5751,232,5519,18,5083,196,4887,NHANES_CORONARY_HEART_DISEASE
2015-2016,8,MCQ160C,2015-2016_MCQ.XPT,5719,5693,244,5449,26,4826,192,4634,NHANES_CORONARY_HEART_DISEASE
2017-2018,9,MCQ160C,2017-2018_MCQ.XPT,5569,5553,265,5288,16,4479,208,4271,NHANES_CORONARY_HEART_DISEASE
1999-2000,0,MCQ160G,1999-2000_MCQ.XPT,4880,4874,95,4779,6,3739,70,3669,NHANES_EMPHYSEMA
2001-2002,1,MCQ160G,2001-2002_MCQ.XPT,5411,5403,96,5307,8,4362,72,4290,NHANES_EMPHYSEMA
2003-2004,2,MCQ160G,2003-2004_MCQ.XPT,5041,5031,118,4913,10,4376,100,4276,NHANES_EMPHYSEMA
2005-2006,3,MCQ160G,2005-2006_MCQ.XPT,4979,4970,98,4872,9,4456,87,4369,NHANES_EMPHYSEMA
