status,group,state,n_donors,spearman_rho,P,BH_FDR
not_estimable_runtime_blocked,primary Census,EMT,0,,,
not_estimable_runtime_blocked,primary Census,E2F_targets,0,,,
not_estimable_runtime_blocked,primary Census,G2M_checkpoint,0,,,
not_estimable_runtime_blocked,primary Census,MYC_targets_V1,0,,,
not_estimable_runtime_blocked,primary Census,MYC_targets_V2,0,,,
not_estimable_runtime_blocked,primary Census,Hypoxia,0,,,
not_estimable_runtime_blocked,primary Census,Inflammatory_response,0,,,
not_estimable_runtime_blocked,primary Census,TNF_NFkB,0,,,
not_estimable_runtime_blocked,primary Census,IL6_JAK_STAT3,0,,,
not_estimable_runtime_blocked,primary Census,ROS,0,,,
not_estimable_runtime_blocked,primary Census,OXPHOS,0,,,
not_estimable_runtime_blocked,primary Census,Fatty_acid_metabolism,0,,,
not_estimable_runtime_blocked,primary Census,Cholesterol_homeostasis,0,,,
not_estimable_runtime_blocked,primary Census,Apoptosis,0,,,
not_estimable_runtime_blocked,primary Census,p53,0,,,
not_estimable_runtime_blocked,primary Census,UPR,0,,,
not_estimable_runtime_blocked,primary Census,Glycolysis,0,,,
not_estimable_runtime_blocked,primary Census,IFN_alpha,0,,,
not_estimable_runtime_blocked,primary Census,IFN_gamma,0,,,
not_estimable_runtime_blocked,primary Census,TGF_beta,0,,,
not_estimable_runtime_blocked,primary Census,WNT_beta_catenin,0,,,
not_estimable_runtime_blocked,primary Census,intestinal_epithelial_differentiation,0,,,
not_estimable_runtime_blocked,primary Census,stemness,0,,,
not_estimable_runtime_blocked,primary Census,secretory_differentiation,0,,,
not_estimable_runtime_blocked,primary Census,enterocyte_differentiation,0,,,
not_estimable_runtime_blocked,primary Census,goblet_program,0,,,
not_estimable_runtime_blocked,primary Census,stress_like_epithelial,0,,,
