regulator,comparison,n_pairs,activity_delta,median_activity_delta,P,direction,donor_consistency,target_count,method,BH_FDR
FOS,tumor_vs_normal,6,0.03821503529230096,0.03351889060110229,0.03125,up_in_first_group,1.0,841,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.21875
HIF1A,tumor_vs_normal,6,0.03232243692656266,0.03217947269808312,0.21875,up_in_first_group,0.6666666666666666,256,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.4375
JUN,tumor_vs_normal,6,0.01827199751821944,0.015300607497356752,0.09375,up_in_first_group,0.8333333333333334,191,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.328125
MYC,tumor_vs_normal,6,0.028049119157030043,0.033559980006595755,0.3125,up_in_first_group,0.6666666666666666,452,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.48611111111111105
NR1H2,tumor_vs_normal,6,-0.046045468337216115,-0.09021533600338699,0.4375,down_in_first_group,0.8333333333333334,13,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.5104166666666667
NR1H3,tumor_vs_normal,6,0.04572094842397086,0.04326367617707215,0.21875,up_in_first_group,0.6666666666666666,12,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.4375
NR1I2,tumor_vs_normal,6,0.024744687280157534,0.04319427495450187,0.5625,up_in_first_group,0.6666666666666666,5,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.6057692307692307
PPARA,tumor_vs_normal,6,-0.052559437811114745,-0.04296324550154364,0.0625,down_in_first_group,0.8333333333333334,38,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.2916666666666667
PPARG,tumor_vs_normal,6,-0.015616064644521423,-0.008954045467519645,0.4375,down_in_first_group,0.6666666666666666,107,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.5104166666666667
RELA,tumor_vs_normal,6,-0.01183121803731692,-0.008010336291167673,0.21875,down_in_first_group,0.8333333333333334,241,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.4375
SMAD3,tumor_vs_normal,6,0.003231459587524217,0.004156363114859249,1.0,up_in_first_group,0.5,95,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,1.0
STAT3,tumor_vs_normal,6,0.013080208278443292,0.014133632291639456,0.3125,up_in_first_group,0.8333333333333334,173,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.48611111111111105
TCF7L2,tumor_vs_normal,6,0.15533369096416108,0.12493088652722081,0.03125,up_in_first_group,1.0,74,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.21875
TP53,tumor_vs_normal,6,-0.011018568943289939,-0.009168474075859977,0.4375,down_in_first_group,0.6666666666666666,583,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.5104166666666667
FOS,PPAR_low_vs_high,11,0.012010311357402853,0.007481596939693906,0.0537109375,up_in_first_group,0.7272727272727273,841,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.232421875
HIF1A,PPAR_low_vs_high,11,-0.010755862216385302,-0.006940057499516872,0.2060546875,down_in_first_group,0.7272727272727273,256,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.32052951388888884
JUN,PPAR_low_vs_high,11,0.008441167909167678,0.004491129350757725,0.1748046875,up_in_first_group,0.7272727272727273,191,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.305908203125
MYC,PPAR_low_vs_high,11,0.026191546391645983,0.027344249232322995,0.0830078125,up_in_first_group,0.8181818181818182,452,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.232421875
NR1H2,PPAR_low_vs_high,11,-0.0059846644478652586,-0.016726877442313992,1.0,down_in_first_group,0.5454545454545454,13,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,1.0
NR1H3,PPAR_low_vs_high,11,0.023602451371256584,0.03710034638102013,0.6376953125,up_in_first_group,0.5454545454545454,12,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.7439778645833334
NR1I2,PPAR_low_vs_high,11,-0.04336629660782912,-0.06421586048593347,0.0537109375,down_in_first_group,0.7272727272727273,5,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.232421875
PPARA,PPAR_low_vs_high,11,-0.01878814516368493,-0.005362453305295001,0.2783203125,down_in_first_group,0.6363636363636364,38,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.3896484375
PPARG,PPAR_low_vs_high,11,0.007002188376745161,-0.006091093242026627,0.8310546875,up_in_first_group,0.45454545454545453,107,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.8949819711538461
RELA,PPAR_low_vs_high,11,0.014304626916139363,0.013313590288218251,0.0048828125,up_in_first_group,0.9090909090909091,241,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.068359375
SMAD3,PPAR_low_vs_high,11,0.020526044597333756,0.0068391186106751545,0.1748046875,up_in_first_group,0.5454545454545454,95,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.305908203125
STAT3,PPAR_low_vs_high,11,0.015070662357867255,0.015649340658034874,0.123046875,up_in_first_group,0.6363636363636364,173,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.287109375
TCF7L2,PPAR_low_vs_high,11,0.040059130993467036,0.013098342921989886,0.0673828125,up_in_first_group,0.7272727272727273,74,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.232421875
TP53,PPAR_low_vs_high,11,-0.010571602147095356,-0.004500226502327079,0.3203125,down_in_first_group,0.6363636363636364,583,DoRothEA A-C weighted ULM; local implementation of the decoupler ULM model,0.40767045454545453
