state,n_donors,interaction_beta_tumor_x_PPARlow,P,analysis_level,BH_FDR
EMT,6,0.042255557793239945,0.6275963077158857,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
E2F_targets,6,0.16951971708536864,0.20972099206001937,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
G2M_checkpoint,6,0.14251512296505608,0.23113951622855128,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
MYC_targets_V1,6,0.05613075924279898,0.6628892815055283,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
MYC_targets_V2,6,-0.01097855891195023,0.9068136359162826,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Hypoxia,6,0.08348960043036369,0.47039109642648647,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Inflammatory_response,6,0.013344090691343735,0.8144266497190875,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
TNF_NFkB,6,0.11370850985670146,0.3313531596928634,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
IL6_JAK_STAT3,6,0.023652889167132443,0.7504194590019108,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
ROS,6,0.08012840199226756,0.35547780318015687,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
OXPHOS,6,0.09395264664702893,0.4307476158017556,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Fatty_acid_metabolism,6,0.0357294846089386,0.5929123921676042,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Cholesterol_homeostasis,6,0.04644099809371653,0.6401896027260172,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Apoptosis,6,0.039918994926490294,0.6581026113599149,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
p53,6,0.042902876113993155,0.6575909001662822,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
UPR,6,0.048254152768930705,0.6721171329649667,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
Glycolysis,6,0.011721940894300793,0.8900289444783864,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
IFN_alpha,6,-0.03279175658881983,0.734336582808615,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
IFN_gamma,6,0.006209574122273336,0.9434917654110089,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
TGF_beta,6,0.10644112651404242,0.4348405512777137,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
WNT_beta_catenin,6,-0.0071186172325719,0.9084904597327396,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
intestinal_epithelial_differentiation,6,0.21784824011108941,0.24162396863598343,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
stemness,6,0.010391815302120772,0.921398341134716,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
secretory_differentiation,6,-0.12297144508508454,0.6160887558420943,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
enterocyte_differentiation,6,0.18649249710259522,0.255813455879449,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
goblet_program,6,-0.16000965179205356,0.50497683893719,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
stress_like_epithelial,6,0.23683683276507211,0.2930797493499225,donor-by-group PPAR-state pseudobulk OLS with donor fixed effects,0.9434917654110089
