biological_priority_rank,gene_symbol,GO_representative_count,Reactome_term_count,KEGG_term_count,total_aligned_term_count,source_count,same_theme_two_source_count,same_theme_three_source_count,same_theme_labels,source_status,GO_theme_count,Reactome_theme_count,KEGG_theme_count,theme_breadth
1,RXRA,15,28,4,47,3,4,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,5,4,3,5
2,CYP2C9,17,15,8,40,3,3,3,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,4,3,3,4
3,PPARG,50,16,3,69,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,6,3,2,6
4,CYP1A2,21,16,6,43,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,4,3,2,4
5,CYP3A4,20,12,6,38,3,3,2,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,4,3,2,4
6,PPARA,44,19,2,65,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,6,3,2,6
7,PTGS2,34,11,4,49,3,4,1,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,6,3,2,6
8,AKR1C3,30,10,1,41,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,6,3,1,6
9,PPARD,41,9,2,52,3,3,1,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response; General metabolism / biosynthesis,GO:BP+REAC+KEGG,6,3,1,6
10,HPGD,19,9,1,29,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,GO:BP+REAC+KEGG,5,2,1,5
11,PTGS1,11,8,2,21,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,GO:BP+REAC+KEGG,4,2,1,4
12,PTGES2,7,6,1,14,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,GO:BP+REAC+KEGG,2,2,1,2
