stage,expected_rows,clean_room_rows,expected_unique_entities,clean_room_unique_entities,key_set_equal,field_values_equal,decision_values_equal,expected_sha256,clean_room_sha256,full_file_hash_equal
environmental universe,2042,2042,2042,2042,True,True,True,ad0c1d65129ea78d17fd964f5a9e85908344cfd4a40e35b9628004d53c679dc1,34f129b1abe2c1a72c7b9dca6d76c388f28d2b4834efe4348b2c7b947b2bd8e9,False
mapped chemical-biomarker mappings,449,449,2042,2042,True,False,True,9114121e5d3e49d69739cec48c77f6709dce531e4c0a4d97b3c3e59fc63bb25d,c4451816f9c0ea459b23f487e68e8393fe591ed833094b8747dff632a42d2c90,False
actionable chemical-biomarker mappings,411,411,2042,2042,True,False,True,c2480d968b4731ccf3676a54b9647b6c6cf67ca6f7eef9ec19e54a78ca3a9225,4839acf0c336cc9a9d089f9822e95a0a51ac22baffb9902b1db09daaed6af8b9,False
unique human test family,29,29,29,29,True,True,True,6b284b23d69f74991fc28978c85c1e39d10f096e2fd4d42290046df8224c3a9e,6b284b23d69f74991fc28978c85c1e39d10f096e2fd4d42290046df8224c3a9e,True
NHANES registry core rows used by locked outputs,293,293,38,38,True,True,True,6db7f7c171bc912d054b56725d3412616197f087abd7446b0fd554c9ff125646,947cbba1033df22b8a2d10754588601ac60491478f101388f0bf8d9683d063e2,False
