chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C041260,mono-n-octyl phthalate,5393-19-1,,DTXSID4052714,PKIYFBICNICNGJ-UHFFFAOYSA-N,phthalates,D02.241.223.805,True,False,False,,False,
C063907,monoperoxyphthalate,84698-58-8,,,,phthalates,D02.241.223.805,True,False,False,,False,
C037624,monoperphthalic acid,2311-91-3,,,,phthalates,D02.241.223.805,True,False,False,,False,
C473726,MRX320,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C000625184,MS0015203,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C475480,MTA-Angelus,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C035523,Mynol C-T,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C540330,N1-(2-aminophenyl)-N4-(4-methyl-3-(4-(pyridin-3-yl)pyrimidin-2-ylamino)phenyl)terephthalamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C518309,"N-(1-(3,5-difluorobenzyl)-2-hydroxy-3-(3-iodobenzylamino)propyl)-5-methyl-N',N'-dipropylisophthalamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C481784,"N-(1-(3,5-difluorobenzyl)-2-hydroxy-4-isobutylcarbamoylpentyl)-N',N'-dipropylisophthalamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000591921,"N-(17-(cyclopropylmethyl)-4,5-epoxy-3,14-dihydroxymorphinan-6-yl)phthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C116325,N-1-adamantyl-4-aminophthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C532596,N-(1-adamantyl)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C505982,N(1)-((diethylamino)ethyl)-N(4)-(4-methyl-1-(4-methyl-1-(4-methyl-1-oxopentan-2-ylamino)-1-oxopentan-2-ylamino)-1-oxopentan-2-yl)terephthalamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000729582,"N1,N3-bis-(1-hydrazinyl-1-oxopropan-2-yl) isophthalamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C079538,"N1,N3-bis(pentafluorobenzyl)-N7-(2-(pentafluorobenzyloxy)ethyl)xanthine",126565-13-7,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C412107,"N-(2-(2-(1,3-dioxan-2-yl)phenoxy)-ethyl)phthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C405208,"N-((2,2,5,5-tetramethyl-3-pyrroline-3-carboxamido)propyl)phthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C117773,N-(2-(2-phthalimidoethoxy)acetyl)-L-alanyl-D-glutamic acid,142489-47-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C029298,"N-(2,3-dimercaptopropyl)phthalamidic acid",13312-78-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000603573,N-(2-chlorophenyl)-2-phthalimidoethanesulfonamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C570102,"N-(3-((2-benzo(1,3)dioxol-5-ylethyl)(3-(1-methyl-3-oxo-1,3-dihydroisoindol-2-yl)propionyl)amino)-1-benzyl-2-(hydroxylpropyl))-4-benzyloxy-3,5-dimethoxybenzamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C013285,"N-(3,4,5,6-tetrahydrophthalyl)glutarimide",60242-08-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C002631,"N-(3,5-dimethyl-4-isoxazolylmethyl)phthalimide",39962-28-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000595655,"N-(3-chloro-4-(4-fluoro-1,3-dioxoisoindolin-2-yl)phenyl)-2-picolinamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000603574,N-(3-chlorophenyl)-2-phthalimidoethanesulfonamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C541626,N-3-phthalimidopropyl progargyl ether,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C528859,N(4)-(2-(diethylamino)ethyl)-2-iodo-N(1)-(4-methyl-1-(4-methyl-1-(4-methyl-1-oxopentan-2-ylamino)-1-oxopentan-2-ylamino)-1-oxopentan-2-yl)terephthalamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C461186,N-(4-amino-2-chlorophenyl)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C033168,N-((4-azidophenyl)thio)phthalimide,74676-97-4,,,,phthalates,D02.241.223.805,True,False,False,,False,
C033066,N-(4-(beta-N'-morpholinoethoxy)phenyl)phthalimide,79684-42-7,,,,phthalates,D02.241.223.805,True,False,False,,False,
C481448,"N-(4-chloro-2-((1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl)phenyl)-2-hydroxybenzamide",,CID:9931205,,,phthalates,D02.241.223.805,True,False,False,,False,
C474812,"N-(4-chloro-2-fluoro-5-propargyloxy)phenyl-2,4,5,6-tetrahydrophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000603572,N-(4-chlorophenyl)-2-phthalimidoethanesulfonamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C033067,N-(4-(gamma-N'-morpholinopropoxy)phenyl)phthalimide,79684-43-8,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000657551,N-(4methyl-phenyl)-4-methylphthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C413733,"N-(4-phenylbutyl)-4,5,6,7-tetrachlorophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C542558,"N-(5,6-dimethyl-3-oxo-8-((4,4,5,5,5-pentafluoropentyl)thio)-2,3-dihydro-1H-imidazo(5,1-c)(1,4)thiazin-1-ylidene)-4-methylbenzenesulfonamide",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C112222,"N-(5-azido-4-chloro-2-fluorophenyl)-3,4,5,6-tetrahydrophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C406225,Na16(Mn4(H2O)2(P2W15O56)2),,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000609180,Na7PMo11CuO40,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C477249,NaCoO2,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C014311,N-amidinobenzylphthalimide,62898-74-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C014312,N-amidinophenylphthalimide,78249-59-9,,,,phthalates,D02.241.223.805,True,False,False,,False,
C458259,N-aminophthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C487736,naphthacene,,CID:7080,,,pahs,D02.455.426.559.847,True,False,False,C18H12,True,
C031721,naphthalene,91-20-3,CID:931,DTXSID8020913,UFWIBTONFRDIAS-UHFFFAOYSA-N,pahs,D02.455.426.559.847,True,False,False,C10H8,True,
C065242,"naphtho(1,2-b)fluoranthene",111189-32-3,CID:130669,DTXSID50149519,LFGDHICYJIULAO-UHFFFAOYSA-N,pahs,D02.455.426.559.847,True,False,False,C24H14,True,
C501268,"naphtho(2,3-a)pyrene",,CID:9137,,,pahs,D02.455.426.559.847,True,False,False,C24H14,True,
C056577,N-bromophthalimide,2439-85-2,,,,phthalates,D02.241.223.805,True,False,False,,False,
C052481,N-(cyclohexylthio)phthalimide,17796-82-6,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000608469,N-difluoromethylthiophthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C560331,N-((E)-hex-2-enyl)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000605641,nepethalate B,,,,,phthalates,D02.241.223.805,True,False,False,,False,
D009405,Neptunium,7439-99-8,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615181,Neptunium-237,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615182,Neptunium-239,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C044522,neptunium nitrate,50454-43-8,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C047823,"N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide dihydrogen phosphate ester",3820-83-5,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C437948,N-ethyl-N-((heptadecafluorooctyl)sulfonyl)glycine,2991-51-7,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C510688,N-ethyl perfluorobutanesulfonamide,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C542083,N-ethyl perfluorooctane sulfonamido acetate,,CID:14496520,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C061288,Neutral Red-platinum tetrachloride complex,123712-49-2,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C045465,n-heptafluorobutyryl isobutyl ester of gamma-carboxyglutamic acid,95654-14-1,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C058908,N-heptafluorobutyrylproline,56236-41-0,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C039968,N-hydroxymethylphthalimide,118-29-6,,,,phthalates,D02.241.223.805,True,False,False,,False,
C048064,N-hydroxymethyltetrahydrophthalimide,4887-42-7,,,,phthalates,D02.241.223.805,True,False,False,,False,
C116302,N-hydroxypentafluorophenylsulfonamide,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C037437,N-hydroxyphthalimide,524-38-9,,,,phthalates,D02.241.223.805,True,False,False,,False,
C529059,Ni3O4,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
D009532,Nickel,7440-02-0,CID:935,DTXSID2020925,PXHVJJICTQNCMI-UHFFFAOYSA-N,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615400,Nickel-48,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615401,Nickel-49,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615402,Nickel-50,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615403,Nickel-56,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615404,Nickel-57,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615405,Nickel-59,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615396,Nickel-60,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615397,Nickel-61,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615398,Nickel-62,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615406,Nickel-63,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615399,Nickel-64,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615407,Nickel-78,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C038376,nickel arsenide,12255-80-0,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C049893,nickel boride,12619-90-8,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C510647,nickel carbide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C030989,nickel carbonate,3333-67-3,CID:18746,DTXSID3025708,SAEBCFDIJRQJQB-UHFFFAOYSA-N,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C022838,nickel chloride,7718-54-9,,DTXSID7040316,QMMRZOWCJAIUJA-UHFFFAOYSA-L,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C062136,nickel copper alloy,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C547128,nickel dioxide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C550717,nickel ferrite,,CID:16217731,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C027325,nickel ferrocyanide,14874-78-3,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C545852,nickel fluoride,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C037473,nickel hydroxide,12054-48-7,CID:61534,DTXSID90274011,BFDHFSHZJLFAMC-UHFFFAOYSA-L,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C091528,nickel hydroxycarbonate,12122-15-5,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C529427,nickel(II) bis(3-(heptafluorobutanoyl)-(1R)-camphorate),,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C056755,nickel(III)oxide,1314-06-3,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C067498,nickel(II) perbromate,117454-32-7,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C028007,nickel monoxide,1313-99-1,CID:179931,DTXSID7025710,KVAWBJDCAFOHRG-UHFFFAOYSA-N,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C035197,nickel nitrate,13138-45-9,,DTXSID70872958,KBJMLQFLOWQJNF-UHFFFAOYSA-N,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C050456,nickel-palladium alloy,106747-79-9,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C037325,nickel rutile yellow,8007-18-9,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C506609,nickel silicide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C017916,nickel subselenide,12137-13-2,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C017557,nickel subsulfide,,CID:25199732,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
