chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C047607,diphenylcyclopropane,1138-47-2,,,,,,False,False,False,,False,
C029402,diphenylcyclopropenone,886-38-4,,DTXSID2046545,HCIBTBXNLVOFER-UHFFFAOYSA-N,,,False,False,False,,False,
C532721,diphenyldiazomethane,,,,,,,False,False,False,,False,
C524585,diphenyldimethoxysilane,,,,,,,False,False,False,,False,
C517668,diphenyl(dipyrazolyl)methane,,,,,,,False,False,False,,False,
C061132,diphenyldiselenide,1666-13-3,CID:15460,DTXSID6061864,YWWZCHLUQSHMCL-UHFFFAOYSA-N,,,False,False,False,,False,
C053871,diphenyl disulfide,882-33-7,CID:13436,DTXSID6022131,GUUVPOWQJOLRAS-UHFFFAOYSA-N,,,False,False,False,,False,
C434247,diphenylditelluride,,CID:100657,,,,,False,False,False,,False,
C003873,"diphenylene dioxide 2,3-quinone",6859-47-8,,,,,,False,False,False,,False,
C007517,diphenyleneiodonium,244-54-2,,DTXSID00924595,QFXKXRXFBRLLPQ-UHFFFAOYSA-N,,,False,False,False,,False,
C027851,diphenylethane hydroperoxide,16667-00-8,,,,,,False,False,False,,False,
C440391,diphenyl ether sulfonamide,,,,,,,False,False,False,,False,
C518332,diphenylethylenediamine,,,,,,,False,False,False,,False,
C543442,diphenyl ferrocenyl butene,,,,,,,False,False,False,,False,
C017255,diphenylformamide,607-00-1,,,,,,False,False,False,,False,
C405270,diphenyl glycine,,,,,,,False,False,False,,False,
C519448,diphenylglycoluril,,,,,,,False,False,False,,False,
C025706,diphenylglyoxal bis(2-hydroxybenzoyl hydrazone),73319-79-6,,,,,,False,False,False,,False,
C049009,diphenylglyoxal bis(guanylhydrazone),16098-69-4,,,,,,False,False,False,,False,
C027773,diphenylguanidine,102-06-7,,DTXSID3025178,OWRCNXZUPFZXOS-UHFFFAOYSA-N,,,False,False,False,,False,
D004161,Diphenylhexatriene,1720-32-7,,,,,,False,False,False,,False,
C058495,diphenylhexatrienylpropanoylhydrazylstachyose,120336-54-1,,,,,,False,False,False,,False,
C013971,diphenylhydantil,18749-95-6,,,,,,False,False,False,,False,
C118245,diphenylhydantoic acid,,,,,,,False,False,False,,False,
C088510,diphenylhydantoin-3-phenyltricarbonylchromium ethyl acetate,155707-42-9,,,,,,False,False,False,,False,
C031291,diphenyliodonium,10182-84-0,,DTXSID60144196,OZLBDYMWFAHSOQ-UHFFFAOYSA-N,,,False,False,False,,False,
C016410,diphenylisobutylphenylphosphate,41120-99-4,,,,,,False,False,False,,False,
C087677,diphenylmaleic anhydride,4808-48-4,,,,,,False,False,False,,False,
C010129,diphenylmethane,101-81-5,,,,,,False,False,False,,False,
C092923,diphenylmethoxyacetic acid,21409-25-6,,,,,,False,False,False,,False,
C449754,diphenylmethyl 7-(o-hydroxy)benzylideneamino-3-hydroxymethyl-3-cephem-4-carboxylate,,,,,,,False,False,False,,False,
C000606309,diphenylmethylene hydrazinecarbothioamide,,,,,,,False,False,False,,False,
C001087,diphenyl methyl phosphate,115-89-9,,DTXSID7059432,VOWPVJACXJNHBC-UHFFFAOYSA-N,,,False,False,False,,False,
C495419,diphenylmethyl selenocyanate,,CID:14265450,,,,,False,False,False,,False,
C560268,diphenylmethyltin chloride,,,,,,,False,False,False,,False,
C007512,diphenyl N-1-adamantylphosphoramidate,49802-24-6,,,,,,False,False,False,,False,
C478570,diphenylnaphthyl propylene,,,,,,,False,False,False,,False,
C098541,diphenyl (N-(benzyloxycarbonyl)amino)(4-amidinophenyl)methane phosphonate,,,,,,,False,False,False,,False,
C507805,diphenyl phosphite,,CID:6327546,,,,,False,False,False,,False,
C071922,diphenylphosphoinodithioato diphenytin,,,,,,,False,False,False,,False,
C007523,diphenylphosphorazidate,26386-88-9,,,,,,False,False,False,,False,
C043840,diphenylphosphoric toluene-4-sulfonic anhydride,95667-04-2,,,,,,False,False,False,,False,
C093275,diphenyl phosphoroisothiocyanatidate,,,,,,,False,False,False,,False,
C011239,diphenylphosphorylchloridate,2524-64-3,,,,,,False,False,False,,False,
