cycle,matched_complete_case_n,matched_oa_cases,matched_male_cases,matched_female_cases,unique_seqn_n
2003-2004,1148,132,43,89,1148
2005-2006,1163,99,45,54,1163
2007-2008,1278,154,60,94,1278
2009-2010,1448,153,70,83,1448
2011-2012,1265,172,58,114,1265
2013-2014,1415,193,72,121,1415
2015-2016,1319,170,56,114,1319
2017-2018,1182,195,77,118,1182
