time_ps,core_internal_rmsd_A,pair_retention_4p5A,residue_contact_fraction_4p5A,core_pocket_nearest_distance_A
1.000000002981405700e+01,5.670874579984939989e-02,2.500000000000000000e-01,5.000000000000000000e-01,2.959591569987690018e+00
2.000000005962811400e+01,5.385746227022735616e-02,5.416666666666666297e-01,8.333333333333333703e-01,2.995496636275915225e+00
3.000000008944217100e+01,6.616652858463645259e-02,2.916666666666666852e-01,6.666666666666666297e-01,3.647335654929111382e+00
4.000000011925622800e+01,4.137980444793488977e-02,5.833333333333333703e-01,8.333333333333333703e-01,3.189696627719579514e+00
5.000000014907028856e+01,2.952090131889933966e-02,5.000000000000000000e-01,8.333333333333333703e-01,3.462055287948664350e+00
6.000000017888434201e+01,3.491957994381902214e-02,5.416666666666666297e-01,8.333333333333333703e-01,3.203785648754068127e+00
7.000000020869839545e+01,4.552676200387160282e-02,4.166666666666666852e-01,8.333333333333333703e-01,3.378609851452271329e+00
8.000000023851245601e+01,6.076711466143827622e-02,3.333333333333333148e-01,6.666666666666666297e-01,3.303767559308756763e+00
9.000000026832651656e+01,4.437872267597613857e-02,4.166666666666666435e-02,1.666666666666666574e-01,3.402619269062345797e+00
1.000000002981405771e+02,4.579547267250793502e-02,8.333333333333332871e-02,1.666666666666666574e-01,3.330834724100943500e+00
1.100000003279546235e+02,5.093427853364981134e-02,4.166666666666666435e-02,1.666666666666666574e-01,3.145083442767448556e+00
1.200000003577686840e+02,2.035219885900360973e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.467027538757928351e+00
1.300000003875827304e+02,5.481791058416498469e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.728051334697208841e+00
1.400000004173967909e+02,3.636044677544099379e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.424048970715088291e+00
1.500000004472108515e+02,2.955045945077580324e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.544447650001015138e+00
1.600000004770249120e+02,4.203430166218610764e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.433194474580834488e+00
1.700000005068389726e+02,5.982901802552344217e-02,0.000000000000000000e+00,1.666666666666666574e-01,3.769340642594491086e+00
