#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
300000,599.9999999996356,-766332.5268391669,208144.715342401,-558187.8114967658,309.82166301279557,711.78613920713,1.0242634360906189,63.3,1:13:42:05
305000,609.9999999993992,-764481.3949366282,209737.8366371278,-554743.5582995004,312.1930106979933,711.7618548589551,1.0242983825684822,63.3,1:13:42:45
310000,619.9999999991627,-765020.3640886475,209507.08289790305,-555513.2811907445,311.84953569256055,710.489175557491,1.0261331794870916,63.2,1:13:43:35
315000,629.9999999989262,-766312.2435769648,207799.04699394407,-558513.1965830207,309.3071385753452,710.0918745991821,1.026707307582548,63.2,1:13:43:45
320000,639.9999999986898,-767115.3794044261,209604.77161932114,-557510.607785105,311.9949445350457,710.9340946748173,1.0254910014400735,63.2,1:13:44:00
325000,649.9999999984533,-766001.8934399802,208900.56125880207,-557101.3321811781,310.9467333198441,710.9626770333255,1.0254497743090345,63.2,1:13:43:34
330000,659.9999999982168,-766613.6649323744,208406.6839746543,-558206.9809577201,310.2116011246923,711.0833508776137,1.025275751156562,63.2,1:13:43:55
335000,669.9999999979804,-767455.7341152136,208658.39967082802,-558797.3344443856,310.5862778272292,710.6804604909465,1.025856988107327,63.2,1:13:44:07
340000,679.9999999977439,-767373.8148755915,209343.26813353528,-558030.5467420563,311.60569878976446,710.470234473239,1.0261605361222654,63.2,1:13:44:46
345000,689.9999999975074,-768540.6334527126,208389.32191153066,-560151.3115411819,310.18575783935376,709.9970066716052,1.0268444935052816,63.1,1:13:45:29
350000,699.999999997271,-766079.7654439625,206989.62637738773,-559090.1390665749,308.10232277646315,711.0832310352181,1.0252759239513864,63.1,1:13:46:09
355000,709.9999999970345,-767675.2797782584,209886.27155956233,-557789.0082186961,312.41395483506733,711.2756315087381,1.0249985862154676,63.1,1:13:46:36
360000,719.999999996798,-768635.8420315846,208769.7691022936,-559866.072929291,310.7520502918757,710.4522149160588,1.026186563148529,63.1,1:13:46:38
365000,729.9999999965615,-766757.3685519923,209031.58835764177,-557725.7801943505,311.141766057502,711.105216435385,1.025244225264682,63.1,1:13:46:45
370000,739.9999999963251,-767049.8808939997,208814.7574836979,-558235.1234103017,310.81901512026445,711.0948883721006,1.025259116086447,63.1,1:13:46:46
375000,749.9999999960886,-766699.6228954359,209915.88038711253,-556783.7425083234,312.4580273265374,711.0635937689992,1.0253042387412912,63,1:13:47:07
380000,759.9999999958521,-767487.902126112,208434.88327111836,-559053.0188549936,310.25357554096286,710.8422099292413,1.0256235582556954,63,1:13:47:10
385000,769.9999999956157,-766976.2434785897,209422.82918107108,-557553.4142975186,311.7241247417183,711.5215695436374,1.0246442945834795,63,1:13:47:28
390000,779.9999999953792,-765998.8469312964,209684.8882676693,-556313.958663627,312.11419749414875,710.7834667055215,1.0257083216709366,63,1:13:47:27
395000,789.9999999951427,-769492.1238277182,209515.33408412756,-559976.7897435906,311.86181751405053,711.2184947618126,1.025080930931263,63,1:13:47:31
400000,799.9999999949063,-767912.4345837929,207241.03325881402,-560671.4013249789,308.47653981083863,711.171795913687,1.025148242513338,63,1:13:47:42
405000,809.9999999946698,-767010.5324812653,207406.6743038629,-559603.8581774023,308.723095117111,710.523670759556,1.0260833617641518,63,1:13:47:43
410000,819.9999999944333,-766023.2285504756,206572.47421789696,-559450.7543325786,307.4813952858459,709.0686505805962,1.0281889011860952,63,1:13:47:50
415000,829.9999999941969,-766502.5764845726,208173.54813735018,-558329.0283472224,309.86458038624784,709.6217855189429,1.027387450024262,62.9,1:13:49:00
420000,839.9999999939604,-767283.6789144855,207086.1981814165,-560197.480733069,308.24606909678226,709.2146347434501,1.0279772596199992,62.9,1:13:49:20
425000,849.9999999937239,-767657.1919848043,209998.38594485074,-557658.8060399536,312.580836157231,709.2146347434501,1.0279772596199992,62.9,1:13:49:52
430000,859.9999999934874,-767104.4443543102,208230.955032249,-558873.4893220612,309.95003006781525,709.2146347434501,1.0279772596199992,62.9,1:13:50:22
435000,869.999999993251,-767994.4258382116,207114.2518688745,-560880.173969337,308.28782677526857,709.2146347434501,1.0279772596199992,62.9,1:13:50:59
440000,879.9999999930145,-767841.9757533334,209065.13677495767,-558776.8389783758,311.1917025952958,709.2146347434501,1.0279772596199992,62.8,1:13:51:35
445000,889.999999992778,-767473.7793743052,207441.087625749,-560032.6917485562,308.77431905810323,710.2961276371892,1.0264120672193273,62.8,1:13:52:01
450000,899.9999999925416,-768815.8921146751,210346.8491720148,-558469.0429426604,313.09952074819535,710.6213318503649,1.0259423465484816,62.8,1:13:51:53
455000,909.9999999923051,-767117.0504429815,208473.27040185255,-558643.780041129,310.3107144630959,710.0768469781665,1.0267290361720351,62.8,1:13:51:34
460000,919.9999999920686,-767120.8096232498,207734.09616085287,-559386.713462397,309.21045980505176,708.715326301271,1.0287014964257348,62.8,1:13:51:23
465000,929.9999999918322,-766723.9733235487,207844.178833707,-558879.7944898417,309.37431694029755,709.1200070991407,1.0281144367769088,62.8,1:13:51:20
470000,939.9999999915957,-767269.8604392456,208478.2153560035,-558791.6450832421,310.31807498587466,709.9676411142193,1.0268869656676087,62.8,1:13:51:12
475000,949.9999999913592,-766807.2053610613,208258.1880885161,-558549.0172725451,309.9905662436567,710.7352164239976,1.0257779547975052,62.8,1:13:50:57
480000,959.9999999911228,-767537.4716491061,207854.68346618174,-559682.7881829244,309.3899529976306,710.2354168584199,1.0264998047137692,62.8,1:13:50:52
485000,969.9999999908863,-766665.2676024903,208674.06165114447,-557991.2059513459,310.60959055356835,710.7481178911478,1.025759334923243,62.8,1:13:50:25
490000,979.9999999906498,-766902.1877555614,207597.01496551675,-559305.1727900447,309.0064155955365,709.5187012081597,1.0275367167412812,62.8,1:13:49:56
495000,989.9999999904134,-765755.332731727,207392.69948076695,-558362.6332509601,308.70229371014386,710.3222399277176,1.0263743350907317,62.8,1:13:49:33
500000,999.9999999901769,-767002.1455510301,208539.81561542247,-558462.3299356076,310.4097664553593,710.9463053352122,1.0254733884047957,62.8,1:13:49:03
505000,1009.9999999899404,-765669.4964067005,209300.59553372505,-556368.9008729754,311.54218098285526,710.3780970252092,1.0262936311789164,62.8,1:13:48:53
510000,1019.999999989704,-767532.1074355016,209305.75009520538,-558226.3573402963,311.54985350438585,710.1942446664767,1.026559314132927,62.8,1:13:48:28
515000,1029.9999999894676,-765608.6300613713,207115.43303442287,-558493.1970269484,308.28958493028045,710.9292017255563,1.0254980593516427,62.8,1:13:47:58
520000,1039.9999999892311,-766637.4209776656,206946.9864333742,-559690.4345442913,308.0388535774335,711.1656657945614,1.0251570791053592,62.8,1:13:47:31
525000,1049.9999999889947,-767870.3444811925,207235.40103219514,-560634.9434489973,308.4681562887556,710.8378043955549,1.025629914725635,62.9,1:13:47:04
530000,1059.9999999887582,-766858.0251646941,209495.5593126907,-557362.4658520033,311.8323829326239,710.8378043955549,1.025629914725635,62.9,1:13:46:25
535000,1069.9999999885217,-766417.6138875494,208167.06964861098,-558250.5442389384,309.8549372100966,709.4918797395744,1.027575561504069,62.9,1:13:45:53
540000,1079.9999999882853,-766838.141669414,208643.0992755793,-558195.0423938347,310.56350331723064,709.7581558125645,1.0271900516187973,62.9,1:13:45:07
545000,1089.9999999880488,-767527.5173674664,209518.70265395282,-558008.8147135135,311.86683160198214,709.611642646403,1.027402135042557,62.9,1:13:44:37
550000,1099.9999999878123,-767453.8387486925,207650.04248128546,-559803.796267407,309.08534660799995,710.4806610748524,1.0261454767861178,62.9,1:13:44:04
555000,1109.9999999875758,-766898.2396811917,209420.6176839878,-557477.6219972039,311.7208329468583,710.1318656761548,1.0266494885591375,62.9,1:13:43:30
560000,1119.9999999873394,-767700.1095573502,208464.84367839995,-559235.2658789502,310.2981713559142,710.2840621436955,1.0264295027339037,62.9,1:13:43:02
565000,1129.999999987103,-766596.4072154984,209362.82758050715,-557233.5796349912,311.6348128625309,710.938559954512,1.025484560511977,62.9,1:13:42:42
570000,1139.9999999868664,-767023.0659944699,207658.23394617287,-559364.832048297,309.09753953478054,710.0867426534924,1.0267147278114093,62.9,1:13:42:13
575000,1149.99999998663,-766762.3979313709,208520.42586275926,-558241.9720686116,310.380904971148,710.1338592148628,1.026646606475051,62.9,1:13:41:46
580000,1159.9999999863935,-767826.4553943733,208271.66669562893,-559554.7886987444,310.01062903729485,710.6214802235521,1.0259421323383286,62.9,1:13:41:18
585000,1169.999999986157,-766902.5341710877,207400.20333891746,-559502.3308321702,308.7134631400637,709.8642779336634,1.0270364904516307,63,1:13:40:44
590000,1179.9999999859206,-766957.4288161043,209264.47578202243,-557692.9530340818,311.48841703539347,711.2246030238612,1.025072127154059,63,1:13:40:22
595000,1189.999999985684,-767449.935559589,208341.025765247,-559108.909794342,310.1138694306854,710.3653543719556,1.0263120410067579,63,1:13:39:50
600000,1199.9999999854476,-768638.1201433442,208468.18638463365,-560169.9337587105,310.3031469461068,709.7659392090178,1.02717878730339,63,1:13:39:26
605000,1209.9999999852112,-767078.6102369637,207442.28451418097,-559636.3257227828,308.7761006164955,709.3124604192574,1.0278354849075158,63,1:13:39:04
610000,1219.9999999849747,-767652.5227533933,209078.3748584638,-558574.1478949295,311.2114073715627,709.3250102547349,1.0278172997793347,63,1:13:38:50
615000,1229.9999999847382,-766945.1923447573,208749.0129944919,-558196.1793502653,310.72115499950075,709.3373503005647,1.0277994192707467,63,1:13:38:27
620000,1239.9999999845018,-766641.9647600641,208185.8824443056,-558456.0823157586,309.8829398986993,709.6795928092089,1.0273037636887088,63,1:13:37:51
625000,1249.9999999842653,-766739.6775283045,207904.52705871325,-558835.1504695913,309.4641447670601,709.6335227108543,1.0273704572480156,63,1:13:37:24
630000,1259.9999999840288,-766645.1588402418,208277.3868244538,-558367.772015788,310.01914340107425,709.9640941006918,1.026892096042495,63,1:13:36:57
635000,1269.9999999837923,-767193.6262433869,208081.99129153643,-559111.6349518504,309.72829878916974,710.7513370060141,1.0257546890830562,63,1:13:36:39
640000,1279.9999999835559,-768099.0730045517,208995.5249248566,-559103.5480796951,311.0880859402765,710.0192957504634,1.0268122585814876,63,1:13:36:05
645000,1289.9999999833194,-767709.5940662287,208914.5243534423,-558795.0697127865,310.96751726910327,709.6264186991638,1.0273807421691326,63,1:13:35:50
650000,1299.999999983083,-768120.0761316731,208017.86184328236,-560102.2142883907,309.63284264331713,708.8297636060589,1.0285354173010615,63,1:13:35:34
655000,1309.9999999828465,-767849.0735594784,208894.12188624014,-558954.9516732383,310.9371483677947,709.2301787275759,1.0279547297521447,63,1:13:35:30
660000,1319.99999998261,-767553.3493136261,209278.89457688155,-558274.4547367445,311.50987929060636,709.6228176824883,1.027385955664376,63,1:13:35:08
665000,1329.9999999823735,-765394.2234277236,208625.74309591114,-556768.4803318125,310.53766878936625,710.3324792253017,1.0263595401143555,63,1:13:34:48
670000,1339.999999982137,-767546.7685325146,208785.74262831375,-558761.0259042009,310.77582675138177,709.8170341070349,1.0271048476923905,63,1:13:34:38
675000,1349.9999999819006,-767882.522904675,208865.04589747905,-559017.4770071959,310.89386900239316,709.8190793660538,1.0271018882122722,63,1:13:34:13
680000,1359.9999999816641,-768941.3029853166,207114.28102142934,-561827.0219638873,308.2878701686019,708.7425084911985,1.0286620429442244,63,1:13:33:55
685000,1369.9999999814277,-767451.8673935547,208406.96403787355,-559044.9033556811,310.2120179964452,708.7693715483133,1.028623055639862,63,1:13:33:42
690000,1379.9999999811912,-767942.654765652,209062.53833142726,-558880.1164342248,311.18783483389467,708.7210576314579,1.028693177457537,63,1:13:33:27
695000,1389.9999999809547,-768238.1355294432,209178.51688547773,-559059.6186439655,311.3604679388507,710.4806126143399,1.0261455467775218,63,1:13:33:07
700000,1399.9999999807183,-767882.3435490858,209907.90032350717,-557974.4432255786,312.44614906879207,710.3842073907623,1.0262848035203254,63,1:13:32:47
705000,1409.9999999804818,-767728.6759837461,207913.84869568667,-559814.8272880594,309.47801994551156,710.3842073907623,1.0262848035203254,63,1:13:32:34
710000,1419.9999999802453,-767733.7911634063,208408.71202812652,-559325.0791352799,310.21461986527584,710.3842073907623,1.0262848035203254,63,1:13:32:18
715000,1429.9999999800089,-767605.6955199004,207486.65239842646,-560119.043121474,308.84214184006777,711.9535220241927,1.0240226280967772,63,1:13:32:01
720000,1439.9999999797724,-767954.1754883067,207849.46647774577,-560104.7090105609,309.38218755410014,710.2474915160615,1.0264823535663044,63,1:13:31:46
725000,1449.999999979536,-766269.9583319542,208824.99595341645,-557444.9623785377,310.8342549965673,713.0413922573749,1.0224603012146243,63,1:13:31:57
730000,1459.9999999792994,-767996.5921216854,207991.8289908779,-560004.7631308076,309.5940929608587,713.4726230936967,1.0218423147684352,63,1:13:33:03
735000,1469.999999979063,-766833.9689394371,208173.61204698042,-558660.3568924566,309.8646755151964,713.1740240957485,1.022270150164765,63,1:13:33:37
740000,1479.9999999788265,-767860.4957509837,208290.07258457073,-559570.423166413,310.03802604860886,712.1094226857167,1.0237984409142318,62.9,1:13:34:52
745000,1489.99999997859,-766720.0919697629,208635.59905683604,-558084.492912927,310.55233930453795,712.4613364967497,1.0232927449660933,62.9,1:13:36:24
750000,1499.9999999783536,-766501.6903510815,208111.00616344158,-558390.68418764,309.7714871826438,712.2363725092916,1.0236159579121458,62.8,1:13:37:54
755000,1509.999999978117,-765221.9715644405,208087.4676771196,-557134.5038873209,309.73645034317815,712.7072427651323,1.022939676994732,62.8,1:13:39:27
760000,1519.9999999778806,-766169.687295964,207954.53233154584,-558215.1549644182,309.5385771962616,714.3205128898172,1.0206294003185463,62.7,1:13:40:42
765000,1529.9999999776442,-766731.7536139842,208848.3923284897,-557883.3612854945,310.86908030463115,713.1601162001914,1.0222900862578759,62.7,1:13:41:56
770000,1539.9999999774077,-767418.9494703207,208739.3464600106,-558679.6030103101,310.7067664440016,712.9518490761018,1.022588717107247,62.6,1:13:43:21
775000,1549.9999999771712,-766784.8252424914,209040.017710216,-557744.8075322754,311.15431307810917,710.134124991967,1.0266462222389574,62.6,1:13:44:43
780000,1559.9999999769348,-769761.9132955717,209303.05779100244,-560458.8555045692,311.54584603216097,710.2663932391582,1.0264550366533889,62.6,1:13:46:11
785000,1569.9999999766983,-767127.9374833079,207791.94308931392,-559335.994393994,309.2965644728859,709.4643611572662,1.027615418929213,62.5,1:13:47:37
790000,1579.9999999764618,-767018.3399777599,208837.58483747538,-558180.7551402845,310.85299344490215,711.1223256673865,1.0252195584237254,62.5,1:13:49:03
795000,1589.9999999762254,-767834.5093495888,208127.89336419015,-559706.6159853986,309.7966236393199,711.487204903422,1.0246937846267148,62.4,1:13:50:27
800000,1599.9999999759889,-767981.4691892164,207994.5881973976,-559986.8809918188,309.598200016621,712.4345873074532,1.02333116568826,62.4,1:13:51:25
805000,1609.9999999757524,-765776.0310679842,208514.4982170607,-557261.5328509235,310.3720817202427,712.5058195949454,1.0232288588469833,62.3,1:13:52:32
810000,1619.999999975516,-767615.0417710724,209260.36329123937,-558354.6784798331,311.48229562735565,711.6863403903906,1.024407067172389,62.3,1:13:53:24
815000,1629.9999999752795,-767082.7237299639,207962.23613559158,-559120.4875943724,309.55004424396947,711.6242943773257,1.02449638449162,62.3,1:13:54:41
820000,1639.999999975043,-766958.9205108345,208880.04727018697,-558078.8732406476,310.9161984198477,712.4521788608671,1.0233058980486969,62.2,1:13:55:54
825000,1649.9999999748065,-766323.9648622037,208490.58910786372,-557833.37575434,310.3364932117361,712.2207710496486,1.0236383805986307,62.2,1:13:57:09
830000,1659.99999997457,-765032.7549747345,207809.07067939563,-557223.6842953388,309.32205874706807,711.9100765263382,1.0240851207828041,62.2,1:13:58:19
835000,1669.9999999743336,-765532.5923899901,207796.44575990352,-557736.1466300866,309.3032666602932,711.4570178488409,1.0247372622879503,62.1,1:13:59:28
840000,1679.9999999740971,-765105.7359910305,207248.8488782961,-557856.8871127344,308.48817329488566,711.2598565928495,1.0250213194912652,62.1,1:14:00:29
845000,1689.9999999738607,-767807.6548341364,209225.74657563138,-558581.9082585049,311.43076893651426,711.2598565928495,1.0250213194912652,62,1:14:01:43
850000,1699.9999999736242,-767206.086011841,206766.1528994931,-560439.9331123478,307.7696843789585,711.2598565928495,1.0250213194912652,62,1:14:02:56
855000,1709.9999999733877,-766003.2401114977,208557.86644016393,-557445.3736713338,310.4366349565891,711.2598565928495,1.0250213194912652,62,1:14:04:14
860000,1719.9999999731513,-766435.7145388722,208080.67688771125,-558355.037651161,309.7263423101003,711.2598565928495,1.0250213194912652,61.9,1:14:05:28
865000,1729.9999999729148,-766875.1189530459,208342.29906574433,-558532.8198873017,310.11576472779603,710.8638047424527,1.0255924015854332,61.9,1:14:06:42
870000,1739.9999999726783,-766290.8370373943,208591.2211198719,-557699.6159175225,310.48628311757835,710.4996291412579,1.0261180819856883,61.8,1:14:07:44
875000,1749.9999999724419,-768131.594580608,207853.55395837268,-560278.0406222353,309.3882717347303,709.635114562165,1.0273681526537597,61.9,1:14:07:27
880000,1759.9999999722054,-767714.5527001242,208929.94319152687,-558784.6095085973,310.9904680802696,709.8133190158989,1.0271102234553036,61.8,1:14:07:17
885000,1769.999999971969,-767838.9436536976,209263.7097040158,-558575.2339496817,311.487276734706,710.8994567080607,1.0255409676102287,61.8,1:14:07:09
890000,1779.9999999717324,-765460.8471301249,208159.33033994777,-557301.5167901772,309.8434173140634,710.2928010273228,1.0264168743530966,61.8,1:14:06:57
895000,1789.999999971496,-766394.076334198,208212.85351654887,-558181.2228176491,309.92308611351865,711.2536429736992,1.0250302742321837,61.8,1:14:06:47
900000,1799.9999999712595,-768298.0349676702,207566.13701192266,-560731.8979557476,308.9604540205947,710.8202063681327,1.0256553066084242,61.8,1:14:06:29
905000,1809.999999971023,-768842.3263977799,208197.16787654956,-560645.1585212303,309.89973816994,710.8110548276285,1.0256685117014206,61.8,1:14:06:20
910000,1819.9999999707866,-766753.7521353653,207231.2897337215,-559522.4624016437,308.46203665546034,712.0053681440679,1.0239480618051358,61.8,1:14:06:00
915000,1829.99999997055,-767631.8255397379,208652.1339613279,-558979.6915784101,310.57695137119066,711.701676608791,1.02438499257143,61.9,1:14:05:35
920000,1839.9999999703136,-767007.3787738825,207939.82127316287,-559067.5575007197,309.51667990924483,710.858365108341,1.0256002496289902,61.9,1:14:04:59
925000,1849.9999999700772,-766698.0228105327,208872.9636580489,-557825.0591524838,310.90565452259267,709.9894450264733,1.0268554297716161,61.9,1:14:04:25
930000,1859.9999999698407,-768159.5959303081,209422.37286752686,-558737.2230627813,311.72344552283494,710.8735494552906,1.0255783426807943,61.9,1:14:04:28
935000,1869.9999999696042,-768152.5887474059,208687.7282271501,-559464.8605202558,310.6299331373269,709.7898641260659,1.0271441641444496,61.8,1:14:05:05
940000,1879.9999999693678,-768013.036685463,208568.9752663587,-559444.0614191043,310.45317035120684,710.3381800613926,1.0263513030412643,61.8,1:14:05:18
945000,1889.9999999691313,-766041.182692551,208888.76989797957,-557152.4127945715,310.9291819781576,710.7881339330613,1.025701586592088,61.8,1:14:05:20
