condition,sender_state,receiver_state,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
tumor,tumor_epithelial,C1QC_like_TAM,CCL5,CCR5,CCL,Secreted Signaling,2212,208,0.028946164995431903,0.02983725135623869,0.1277323663234711,0.16826923076923078,0.004308516462704795,1,1
tumor,tumor_epithelial,C1QC_like_TAM,CCL20,CCR6,CCL,Secreted Signaling,2212,208,0.23167720437049868,0.19665461121157324,0.08016495406627654,0.11057692307692309,0.020096398950828764,1,1
tumor,tumor_epithelial,C1QC_like_TAM,VEGFA,FLT1,VEGF,Secreted Signaling,2212,208,0.26360929012298584,0.301989150090416,0.021486220881342888,0.024038461538461543,0.0064122342341093866,1,1
tumor,tumor_epithelial,C1QC_like_TAM,VEGFA,KDR,VEGF,Secreted Signaling,2212,208,0.26360929012298584,0.301989150090416,0.0027183117344975467,0.004807692307692308,0.0010199854771510944,1,1
tumor,tumor_epithelial,C1QC_like_TAM,VEGFA,NRP1,VEGF,Secreted Signaling,2212,208,0.26360929012298584,0.301989150090416,0.5239014029502869,0.47115384615384615,0.14017874800845687,1,1
tumor,tumor_epithelial,C1QC_like_TAM,VEGFC,FLT4,VEGF,Secreted Signaling,2212,208,0.0028690954204648733,0.004068716094032551,1.000000000000001e-12,1.000000000000001e-12,3.4166554863726813e-15,1,1
tumor,tumor_epithelial,C1QC_like_TAM,TGFB1,TGFBR1+TGFBR2,TGFb,Secreted Signaling,2212,208,0.02567149139940739,0.03842676311030741,0.3201938459617631,0.3749691801930854,0.010882952370765074,1,2
tumor,tumor_epithelial,C1QC_like_TAM,TGFB2,TGFBR1+TGFBR2,TGFb,Secreted Signaling,2212,208,0.01154631190001965,0.015370705244122963,0.3201938459617631,0.3749691801930854,0.004616074576702757,1,2
tumor,tumor_epithelial,C1QC_like_TAM,TGFB3,TGFBR1+TGFBR2,TGFb,Secreted Signaling,2212,208,0.009723603725433351,0.014466546112115734,0.3201938459617631,0.3749691801930854,0.004109607359685448,1,2
tumor,tumor_epithelial,C1QC_like_TAM,TNF,TNFRSF1A,TNF,Secreted Signaling,2212,208,0.005102534778416158,0.007685352622061481,0.5197005867958069,0.5,0.0031921735289106574,1,1
tumor,tumor_epithelial,C1QC_like_TAM,TNF,TNFRSF1B,TNF,Secreted Signaling,2212,208,0.005102534778416158,0.007685352622061481,0.5136715173721313,0.4951923076923077,0.0031583086777076702,1,1
tumor,tumor_epithelial,C1QC_like_TAM,LTA,LTBR,TNF,Secreted Signaling,2212,208,0.0002003289118874817,0.000904159132007233,0.21456445753574374,0.28365384615384615,0.00010499472548511372,1,1
tumor,tumor_epithelial,C1QC_like_TAM,FASLG,FAS,TNF,Cell-Cell Contact,2212,208,0.00039567713974975033,0.000904159132007233,0.027292998507618897,0.03846153846153846,1.9379022549585824e-05,1,1
tumor,tumor_epithelial,C1QC_like_TAM,IL1B,IL1R1,IL-related,Secreted Signaling,2212,208,0.015270018018782139,0.02350813743218806,0.012002999894320963,0.019230769230769235,0.00028785389781173264,1,1
tumor,tumor_epithelial,C1QC_like_TAM,IL6,IL6R,IL-related,Secreted Signaling,2212,208,0.010313416831195358,0.01717902350813744,0.17531758546829224,0.25,0.0027866554015539393,1,1
tumor,tumor_epithelial,C1QC_like_TAM,IL10,IL10RA+IL10RB,IL-related,Secreted Signaling,2212,208,0.0007032372523099185,0.0018083182640144663,0.4032814186487835,0.4375264150943637,0.00047369043322211104,1,2
tumor,tumor_epithelial,C1QC_like_TAM,IL11,IL11RA,IL-related,Secreted Signaling,2212,208,0.013574115931987766,0.024864376130198915,0.021783323958516124,0.033653846153846145,0.0004974208532330882,1,1
tumor,tumor_epithelial,C1QC_like_TAM,IL17A,IL17RA+IL17RC,IL-related,Secreted Signaling,2212,208,0.001999072032049298,0.0027124773960217,0.13485416897052094,0.17559598430528534,0.0003583329656712753,1,2
