donor_id,condition,sender_subtype,receiver_group,receiver_state,ligand,receptor,pathway,sender_cell_count,receiver_cell_count,support,support_status,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present,n_donors,n_supported_donors,median_supported_score,max_donor_score,consistent_across_ge4_donors,donor_driven
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.3988465964794159,0.4547945205479452,0.7574082476475844,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,8,574,True,supported,3.889470338821411,1.0,0.14640818536281586,0.14285714285714285,0.28521928764907967,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.6617639660835266,0.6126482213438735,1.2772260346857687,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.18333113193511963,0.275,0.04063821140604542,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,0,68,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.3988465964794159,0.4547945205479452,0.7574082476475844,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,8,574,True,supported,3.889470338821411,1.0,0.14640818536281586,0.14285714285714285,0.28521928764907967,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.6617639660835266,0.6126482213438735,1.2772260346857687,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.18333113193511963,0.275,0.04063821140604542,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,0,68,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.37503336133416987,0.4446023311642803,0.7261733254677045,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,8,574,True,supported,3.889470338821411,1.0,0.05850430127414483,0.07703028212346393,0.13239447891125256,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.42057278525234976,0.42022170180236257,0.8432773550360615,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.4340277784394129,0.4415880433163923,0.07923508792623515,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS3,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.3988465964794159,0.4547945205479452,0.7574082476475844,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,8,574,True,supported,3.889470338821411,1.0,0.14640818536281586,0.14285714285714285,0.28521928764907967,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.6617639660835266,0.6126482213438735,1.2772260346857687,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.18333113193511963,0.275,0.04063821140604542,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,0,68,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.37503336133416987,0.4446023311642803,0.7261733254677045,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,8,574,True,supported,3.889470338821411,1.0,0.05850430127414483,0.07703028212346393,0.13239447891125256,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.42057278525234976,0.42022170180236257,0.8432773550360615,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.4340277784394129,0.4415880433163923,0.07923508792623515,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS1,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.37503336133416987,0.4446023311642803,0.7261733254677045,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,8,574,True,supported,3.889470338821411,1.0,0.05850430127414483,0.07703028212346393,0.13239447891125256,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.42057278525234976,0.42022170180236257,0.8432773550360615,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.4340277784394129,0.4415880433163923,0.07923508792623515,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB1,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.42928390218947854,0.8432773550360615,True,False
KUL01,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,161,730,True,supported,1.6506482362747192,0.6335403726708074,0.3988465964794159,0.4547945205479452,0.43553691534698746,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL19,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,35,574,True,supported,0.36819735169410706,0.1714285714285714,0.14640818536281586,0.14285714285714285,0.03633419914286479,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,139,759,True,supported,2.968080759048462,0.6258992805755396,0.6617639660835266,0.6126482213438735,0.8678551185416346,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,14,40,True,supported,0.5369300842285156,0.14285714285714285,0.18333113193511963,0.275,0.062186241049078925,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
KUL30,tumor,FCN1_inflammatory_monocyte_like,tumor_epithelial,CMS1,SPP1,CD44,SPP1,31,68,True,supported,0.1810707300901413,0.06451612903225806,0.38323211669921875,0.5,0.04731231823665355,1,1,6,5,0.062186241049078925,0.8678551185416346,True,False
