condition,receiver_group,sender_subtype,pathway,category,pathway_max_score,pathway_mean_score,n_supported_pairs
normal,normal_epithelial,C1QC_like_TAM,CCL,Secreted Signaling,0.0015619344299644972,0.0006574983492591996,6
normal,normal_epithelial,C1QC_like_TAM,CSF,Secreted Signaling,3.898334387632738e-05,1.2994447960300387e-05,3
normal,normal_epithelial,C1QC_like_TAM,CXCL,Secreted Signaling,0.020175512925676254,0.002995151273148188,8
normal,normal_epithelial,C1QC_like_TAM,Collagen,ECM-Receptor,0.010365376032053243,0.008633198515653185,2
normal,normal_epithelial,C1QC_like_TAM,Complement,Secreted Signaling,3.921201536564008e-05,2.5289809452522193e-05,3
normal,normal_epithelial,C1QC_like_TAM,EGF,Secreted Signaling,0.028548319903658567,0.011669358858495014,5
normal,normal_epithelial,C1QC_like_TAM,FN1,ECM-Receptor,0.0018738754591193345,0.0018738754591193345,1
normal,normal_epithelial,C1QC_like_TAM,GAS,Secreted Signaling,0.001890218513070231,0.0009486668746739073,3
normal,normal_epithelial,C1QC_like_TAM,IL-related,Secreted Signaling,0.004520746153134676,0.001556747704649689,7
normal,normal_epithelial,C1QC_like_TAM,Laminin,ECM-Receptor,0.0030560679695081825,0.0030560679695081825,1
normal,normal_epithelial,C1QC_like_TAM,MIF,Secreted Signaling,0.05089431896922113,0.032400590080210755,2
normal,normal_epithelial,C1QC_like_TAM,Notch,Cell-Cell Contact,0.0017247014880576988,0.00043117537210743835,4
normal,normal_epithelial,C1QC_like_TAM,SPP1,ECM-Receptor,0.001138751469107486,0.0008174976420272039,2
normal,normal_epithelial,C1QC_like_TAM,SPP1,Secreted Signaling,0.001037530352834987,0.001037530352834987,1
normal,normal_epithelial,C1QC_like_TAM,TGFb,Secreted Signaling,0.029716418696708435,0.01008590334724224,3
normal,normal_epithelial,C1QC_like_TAM,TNF,Cell-Cell Contact,1.2408710434812138e-13,1.2408710434812138e-13,1
normal,normal_epithelial,C1QC_like_TAM,TNF,Secreted Signaling,0.029333275484554236,0.010637896638969467,3
normal,normal_epithelial,C1QC_like_TAM,VEGF,Secreted Signaling,0.0008680637840736691,0.00027557939345311896,4
normal,normal_epithelial,FCN1_inflammatory_monocyte_like,CCL,Secreted Signaling,0.001174735870210751,0.0005302654305672579,6
