gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows
12LO,P18054,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
A2M,2,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,2
ABCB1,5243,False,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,3
ABCB6,10058,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ABCC1,4363,False,True,False,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
ABL1,25,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ACHE,43,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,16
ACKR4,51554,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ACKR5,11318,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ACO2,50,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
ACP1,52,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ACP2,53,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,2
ACTA1,58,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
ACTB,60,False,False,True,1,3,2,0,mixed,True,False,False,False,True,False,False,3
ACTG1,71,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
ACTR1B,10120,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ADA,100,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ADAM10,102,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ADAM17,6868,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ADAMTS15,170689,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ADGRA1,84435,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ADH1,11522,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ADMET,,False,True,True,1,15,0,0,not_assessable,False,True,False,True,False,True,False,16
ADRA2C,152,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ADRB2,154,True,False,True,1,6,1,0,mixed,False,True,True,True,False,True,False,34
AGER,177,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
AGP1,850333,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
AHR,196,True,True,True,2,9,2,0,mixed,True,True,True,True,False,True,False,23
AHRR,57491,False,False,True,1,2,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,3
AHSG,197,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
AKR1B8,14187,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
AKR7A3,22977,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
AKT1,207,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,3
ALB,213,False,False,True,3,5,3,0,mixed,True,True,True,True,True,True,False,5
ALDH1A1,216,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,6
ALDH2,217,False,False,True,1,3,2,0,mixed,True,False,False,False,True,False,False,6
ALOX12,239,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,3
ALOX15,246,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ALOX15B,247,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
ALOXE3,59344,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ALPI,248,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
ALPL,249,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ANGPTL4,51129,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ANKRD17,26057,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ANXA5,308,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ANXA6,309,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
AOX3,71724,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
AOX4,71872,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
APAF1,317,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
APLNR,187,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
APOBEC3A,200315,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
APOBEC3F,200316,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
