chemical_id,chemical_name,chemical_class,human_biomarker,exposure_axis,mapping_type,mapping_confidence,mapping_source,mapping_status,candidate_is_primary,NHANES_variable,matrix,NHANES_lab_component,cycle_list,n_cycles_available,weight_variable,n_measured,n_above_lod,pooled_above_lod_pct,mapped
C000599298,"10,10'-dimethyl-9,9'-biacridinium bis(monomethyl terephthalate)",phthalates,,,none,unresolved,,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C000619707,"10-(4-hydroxylphenyl)-5,15-bis (pentafluorophenyl)corrole",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C506025,10-(perfluorohexyl)decanol,pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C091999,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-9-octadecene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C086465,"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-7-octadecene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C092003,"1,1,1,2,2,3,3,4,4,5,5,6,6---tridecafluoro-8-iodo-7-tetradecene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C092000,"1,1,1,2,2,3,3,4,4,5,5,6,6--tridecafluorohexadecane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C533806,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C044230,"1,1,1,2,2-pentafluorohexane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C075510,"1,1,1,2,3,3,4,4,5,5,6,6,7,8,8,8-hexadecafluoro-2,7-bis(trifluoromethyl)octane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C414673,"1,1,1,3,3,3-hexafluoropropane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C046325,"1,1,1,3,3,4,4,4-octafluoro-2-(trifluoromethyl)-2-butanol",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C403631,"1,1,1,3,3-pentafluoropropane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C543583,"1,1,1,3-tetrafluoropropene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C113464,"1,1,2,2,3,3,3-heptafluoro-1-iodopropane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C585233,"1,1,2,2,3,3,4-heptafluorocyclopentane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C090336,"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C527440,"1,1,2,2-tetrafluoroethanesulfonic acid",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C505284,"1,1,2,2-tetrahydroheptadecafluorodecanol-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-decanol",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C091756,"1,1,2,3,3,3-hexafluoropropyl methyl ether",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C006718,"1,12-benzoperylene",pahs,URXP10,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,mapped,True,URXP10,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9,WTSA2YR;WTSB2YR;WTSPH2YR,23952,21231,88.63977955911824,True
C581681,"1,1,3,4-tetrahydro-6-(1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl)quinazolin-2,4-dione",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C000705689,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",bisphenols,,bisphenol exposure axis,bisphenol family searched; no candidate-specific NHANES variable,unresolved,CDC NHANES environmental phenols/parabens panels searched,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C040952,"1,1-dihydroperfluoroheptyl acrylate",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C018931,11-eicosafluoroundecanoic acid,pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C541120,"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C466991,"11-fluoro-7-(5-(methyl(3-((4,4,5,5,5-pentafluoropentyl)sulfanyl)propyl)amino)pentyl)estra-1,3,5(10)-triene-3,17-diol",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C471034,"11-fluoro-7-(5-(methyl(7,7,8,8,9,9,10,10,10-nonafluorodecyl)amino)pentyl)estra-1,3,5(10)-triene-3,17-diol",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C034041,11-methylbenzanthracene,pahs,URXP25,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,mapped,True,URXP25,urine,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,2013-2014;2015-2016;2017-2018,3,WTSA2YR,8459,8416,99.49166568152263,True
C402363,1-(1-propynyl)pyrene,pahs,URXP10,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,mapped,True,URXP10,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9,WTSA2YR;WTSB2YR;WTSPH2YR,23952,21231,88.63977955911824,True
C057082,"12,13-didehydro-F430",heavy_metals,,metal exposure axis,metal family searched; no mapped elemental analyte,unresolved,CDC NHANES Metals - Urine and blood metal panels searched,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C528199,"1,2,3,3,3-pentafluoropropene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C000588980,"1,2,3,3,4,4,5,5,6,6-decafluorocyclohex-1-ene",pfas_perfluoro,,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C000628157,"1, 2-benzenedicarboxylicacid, bis (2-methylpropyl) ester",phthalates,,,none,unresolved,,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C000628158,"1, 2-benzenedicarboxylic acid, mono (2-ethylhexyl) ester",phthalates,,,none,unresolved,,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C555026,"1-(2-benzyl-1,3-dioxoisoindolin-5-yl)-3-(1-phenylethyl)thiourea",phthalates,,,none,unresolved,,resolved_no_candidate_specific_analyte,False,,,,,0,,0,0,,False
C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene",pfas_perfluoro,URXP10,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,mapped,True,URXP10,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9,WTSA2YR;WTSB2YR;WTSPH2YR,23952,21231,88.63977955911824,True
