gene,dataset_id,n_doses,directions_same,spearman_like_trend,primary_significant_doses
ACBD5,GSE313258,3,True,0.6236238659250772,0
ACBD6,GSE313258,3,False,0.9210405339516248,0
ACBD7,GSE313258,3,False,0.996615895540124,0
ACCS,GSE313258,3,True,-0.8678745394022989,0
ACD,GSE313258,3,False,0.4031256714518857,0
ACE2,GSE313258,3,False,-0.4271210980886246,0
ACER2,GSE313258,3,True,-0.6821835610645631,0
ACER3,GSE313258,3,False,-0.4121912481715162,0
ACIN1,GSE313258,3,True,0.2324667501381299,0
ACKR1,GSE313258,3,True,-0.999010235629628,0
ACKR2,GSE313258,3,True,-0.2029407875841492,0
ACKR3,GSE313258,3,False,-0.755356232778421,0
ACKR4,GSE313258,3,False,0.401479848597075,0
ACLY,GSE313258,3,False,-0.9818726119137512,0
ACMSD,GSE313258,3,False,-0.1701791821685231,0
ACO1,GSE313258,3,True,-0.2555065291090123,0
ACO2,GSE313258,3,False,0.4065254946967946,0
ACOD1,GSE313258,3,False,-0.9971117989112996,0
ACOT1,GSE313258,9,False,0.916461709946372,2
ACOT11,GSE313258,3,False,-0.9208493877353928,0
ACOT12,GSE313258,3,True,0.2605853508433907,1
ACOT13,GSE313258,3,False,-0.8285629928985083,1
ACOT4,GSE313258,3,False,0.8642676089191033,0
ACOT6,GSE313258,3,False,0.8571573502595504,0
ACOT7,GSE313258,3,False,0.7931883905492704,0
ACOT8,GSE313258,3,False,0.8577222175495517,0
ACOT9,GSE313258,6,False,0.1825219640910499,0
ACOX1,GSE313258,3,False,0.8823925183042407,1
ACOX2,GSE313258,3,False,0.9088208986722512,0
ACOX3,GSE313258,3,False,-0.776721307032843,0
ACP1,GSE313258,3,False,0.1650375382695568,1
ACP2,GSE313258,3,True,-0.8324663352824949,0
ACP3,GSE313258,3,True,0.7923260601573376,0
ACP5,GSE313258,3,True,0.8062415159497763,0
ACP6,GSE313258,3,True,0.993408821570157,0
ACRBP,GSE313258,3,True,0.7023400075253023,0
ACSF2,GSE313258,3,False,0.1662148675736007,1
ACSF3,GSE313258,3,False,0.5946272859632494,0
ACSL1,GSE313258,3,True,0.980058733482646,1
ACSL3,GSE313258,3,False,0.6859540842668704,0
ACSL4,GSE313258,3,True,-0.9955713900276166,0
ACSL5,GSE313258,3,True,0.7604817610168458,0
ACSL6,GSE313258,3,True,0.996615895540124,0
ACSM1,GSE313258,3,False,0.4740641172228853,0
ACSM2A,GSE313258,3,False,0.0479213336738278,0
ACSM3,GSE313258,3,True,0.1178090844909945,0
ACSM5,GSE313258,3,True,0.1473080339418663,0
ACSS1,GSE313258,3,False,-0.4271210980886245,0
ACSS2,GSE313258,3,True,0.4951473703411276,0
ACSS3,GSE313258,3,False,0.8253473909231301,0
ACTA1,GSE313258,3,False,-0.4271210980886246,0
ACTA2,GSE313258,3,False,-0.4645543089495774,0
ACTB,GSE313258,3,True,-0.4885080881355197,0
ACTC1,GSE313258,3,False,-0.9913919692216544,0
ACTG1,GSE313258,3,True,-0.5098895109905592,0
ACTG2,GSE313258,3,False,-0.4000569432054578,0
ACTL6A,GSE313258,3,True,-0.9323741082391308,2
ACTL6B,GSE313258,3,False,0.996615895540124,0
ACTMAP,GSE313258,3,True,0.7128670376402664,0
ACTN1,GSE313258,3,False,0.1957088603173259,0
ACTN2,GSE313258,3,False,-0.4271210980886245,0
ACTN3,GSE313258,3,False,-0.4271210980886245,0
ACTN4,GSE313258,3,False,0.1356368474723404,1
ACTR10,GSE313258,3,False,-0.9758268411942724,0
ACTR1A,GSE313258,3,True,-0.8219154103602135,0
ACTR1B,GSE313258,3,False,0.0577446845903578,0
ACTR2,GSE313258,3,False,-0.5814015803160933,0
ACTR3,GSE313258,3,False,-0.6566649224296535,0
ACTR3B,GSE313258,3,True,0.0,0
ACTR5,GSE313258,3,False,-0.7838211622178751,0
ACTR6,GSE313258,3,False,0.9776626886978852,0
ACTR8,GSE313258,3,True,0.5103042604107249,0
ACVR1,GSE313258,3,True,-0.8226490993066328,0
ACVR1B,GSE313258,3,False,-0.916852332213049,0
ACVR2A,GSE313258,3,True,0.0878393446556421,0
ACVR2B,GSE313258,3,True,-0.9385437299375674,0
ACVRL1,GSE313258,3,False,-0.7132617231302876,0
ACY1,GSE313258,3,False,-0.6991813138258269,0
ACY3,GSE313258,3,False,0.3446600661979079,0
ACYP2,GSE313258,3,False,-0.0111707586755732,0
ADA,GSE313258,3,False,0.3740271623458113,0
ADAM10,GSE313258,3,False,-0.1785223698190049,0
ADAM11,GSE313258,3,True,0.8144469623825592,0
ADAM15,GSE313258,3,False,0.0850414806474684,0
ADAM17,GSE313258,3,True,-0.4331516762392519,0
ADAM22,GSE313258,3,False,-0.1171059065745751,0
ADAM23,GSE313258,3,False,0.5593419961976779,0
ADAM32,GSE313258,3,True,0.850935718370948,0
ADAM33,GSE313258,3,True,0.8051429424813039,0
ADAM8,GSE313258,3,True,0.0,0
ADAM9,GSE313258,3,False,-0.1449127079062004,0
ADAMDEC1,GSE313258,3,False,-0.9971117989112992,0
ADAMTS1,GSE313258,3,True,-0.7340680526903128,0
ADAMTS10,GSE313258,3,True,-0.36671957904459,0
ADAMTS12,GSE313258,3,False,-0.5694947974514994,0
ADAMTS15,GSE313258,3,False,0.996615895540124,0
ADAMTS17,GSE313258,3,False,-0.9972072408323376,0
ADAMTS2,GSE313258,3,False,-0.6520378877292715,0
ADAMTS5,GSE313258,3,False,-0.7643310609606113,0
ADAMTS6,GSE313258,3,False,-0.5694947974514994,0
ADAMTS7,GSE313258,3,True,-0.9852984278227266,0
ADAMTS9,GSE313258,3,True,0.4425192364093894,0
ADAMTSL1,GSE313258,3,False,0.7430960784976552,0
ADAMTSL2,GSE313258,3,False,-0.4265738880343696,0
ADAMTSL4,GSE313258,3,True,-0.7204148924409292,0
ADAMTSL5,GSE313258,3,False,0.6682565288455634,0
ADAP1,GSE313258,3,True,-0.3620359758825388,0
ADAP2,GSE313258,3,False,0.3344703983586899,0
ADAR,GSE313258,3,True,-0.0667535398361429,1
ADARB1,GSE313258,3,False,0.095723824863183,0
ADAT1,GSE313258,3,True,-0.8274468787756054,0
ADAT2,GSE313258,3,True,0.0971174976206623,0
ADAT3,GSE313258,3,False,0.4305963079002168,0
ADCK1,GSE313258,3,False,-0.7262619310870984,0
ADCK2,GSE313258,3,False,0.6169443534516974,0
ADCK5,GSE313258,3,False,0.9358379239761864,0
ADCY3,GSE313258,3,False,-0.6878615036320936,0
ADCY4,GSE313258,3,True,-0.7058555878333644,0
ADCY6,GSE313258,3,False,0.983079336810406,0
ADCY7,GSE313258,3,True,-0.7929448842373873,0
ADCY9,GSE313258,3,False,0.1467773984442598,0
ADCYAP1R1,GSE313258,3,True,-0.3587707261646344,0
ADD1,GSE313258,3,True,0.9373298541819542,0
ADD3,GSE313258,3,True,0.9365995592844268,0
ADGB,GSE313258,3,False,0.4259117765917741,0
ADGRA2,GSE313258,3,False,-0.4271210980886246,0
ADGRA3,GSE313258,3,False,0.146567357558553,0
ADGRE1,GSE313258,3,True,0.9293220809585122,0
ADGRE5,GSE313258,3,True,0.1006371509331618,0
ADGRF1,GSE313258,3,False,-0.7499778608861919,0
ADGRF5,GSE313258,3,False,-0.8527481865466656,0
ADGRG1,GSE313258,3,True,-0.9124185650989954,0
ADGRG2,GSE313258,3,True,0.9701908653067738,0
ADGRG3,GSE313258,3,True,-0.0283717371513784,0
