gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation
SLC25A20,2,1,up,True,0.2047156776056877,0.0047227124961021,0.1985028952769255,0.0798272511054983,0.0128950100343864,False,True,DINP,2,2,down,True,-1.3713991104080687,2.1749190643288808e-35,-1.4124213735516715,0.0622820035706761,7.41385009221096e-114,True,True,CRC,False,True,False
IFNAR2,2,1,up,True,0.33225679431039,0.0047692535289768,0.3342181429900139,0.0550268548513208,1.249744306905513e-09,False,True,DINP,2,0,up,True,0.1878713064518815,6.826239713906298e-06,0.1787011332697137,0.0333238428626532,8.205033970705532e-08,False,True,CRC,True,False,False
RAPGEF1,2,1,up,True,0.2882884549022573,0.0047692535289768,0.2822829521835064,0.2116537865981086,0.1823017347349896,False,True,DINP,2,0,down,False,-0.033511507562868,6.721447759107336e-08,-0.0621278433292133,0.0876580025279437,0.4784779736418931,False,False,CRC,False,True,False
BCL2L13,2,1,up,True,0.2510691931104289,0.0048063648107057,0.2504408649882478,0.1066465279998957,0.0188579839532752,False,True,DINP,2,1,down,True,-0.2254084123303696,3.5551530004719524e-06,-0.2196725741180329,0.0883945228769051,0.0129501278446085,False,True,CRC,False,True,False
ECH1,2,1,up,True,0.3185454145773274,0.0048063648107057,0.3145904206611831,0.2099329644585055,0.1339961292820991,False,True,DINP,2,2,down,True,-0.8201847963899573,4.207313729010814e-17,-0.8128313235271077,0.1375414259671355,3.426896071294539e-09,True,True,CRC,False,True,False
NTRK2,2,1,down,True,-0.7084113009201813,0.0048063648107057,-0.7805339331655838,0.4127008439183283,0.0585866275468074,False,True,DINP,2,2,down,True,-0.9888842888820584,5.666601291710931e-09,-0.972536979898482,0.579136882209198,0.0930961427294387,True,True,CRC,True,False,False
ARL1,2,1,up,True,0.350118281451091,0.0049241489396856,0.3410144567664537,0.2535344385062699,0.1786116862868907,False,True,DINP,2,1,up,True,0.2193686529465885,2.2261363114264372e-09,0.2491663993429494,0.0354200556745406,1.998141950803793e-12,False,True,CRC,True,False,False
COX20,2,1,up,True,0.3497677312509242,0.0049241489396856,0.3685804628555235,0.1465730877706669,0.0119149572498896,False,True,DINP,1,0,up,True,0.1527704311199205,0.0622199865014983,,,,False,False,CRC,True,False,False
CNOT6,2,1,down,True,-0.2473007177590864,0.0049769769507732,-0.2648774447185886,0.0458921035847832,7.845554004158086e-09,False,True,DINP,2,0,up,False,0.0119898052740259,0.0583327474083477,0.0194657542275682,0.060103152690864,0.7460346161505335,False,False,CRC,False,True,False
GID8,2,1,down,True,-0.2544262672469095,0.0049769769507732,-0.2491854078752584,0.20844985755987,0.2319224524601126,False,True,DINP,1,1,up,True,0.4922666840212777,1.7260679507843352e-05,,,,False,False,CRC,False,True,False
IBA57,2,1,down,True,-0.3973100611752167,0.0049769769507732,-0.388777025934819,0.3652229872012641,0.2871057800722948,False,True,DINP,1,0,down,True,-0.1444342267541047,0.1334798665504941,,,,False,False,CRC,True,False,False
KCNN2,2,1,up,True,0.3972754011284776,0.0049769769507732,0.5519470198143888,0.1014045153127271,5.2384139336267483e-08,False,True,DINP,2,1,up,True,0.4351845775425937,0.0288621109552502,0.3728020475745745,0.3815966740154588,0.3285923795434627,False,True,CRC,True,False,False
PCYOX1,2,1,up,True,0.3296884558611346,0.0049996173970874,0.3617624280122752,0.0624140694969307,6.784732778033497e-09,False,True,DINP,2,0,down,True,-0.1320526855934347,0.0085753154555233,-0.1270559812343228,0.0836653452371163,0.1288578288093914,False,True,CRC,False,True,False
PXMP4,2,1,up,True,0.2524564582183548,0.0051027892028921,0.2640009779338512,0.0907397651476254,0.00362088679128,False,True,DINP,2,1,up,False,0.2301305675934259,1.1697214804095582e-15,0.2435273141056564,0.2665125305168465,0.360845287583193,False,False,CRC,True,False,False
RDH16,2,1,up,True,0.630719311279305,0.005148500997901,0.6177671156542925,0.0939367926117713,4.8193374749606917e-11,False,True,DINP,2,1,up,True,0.475567083733903,0.0147794578151955,0.4224092341126563,0.4294349120268437,0.3252926910354684,False,True,CRC,True,False,False
CSNK1G2,2,1,up,True,0.260870816487412,0.005159215664374,0.2755438541920205,0.0490289538680032,1.90931908551687e-08,False,True,DINP,2,2,up,True,0.4707060503558815,7.1103267830633045e-28,0.4719803747207763,0.1694261471466157,0.0053402597332893,True,True,CRC,True,False,False
SF3A2,2,1,down,True,-0.4517350171146612,0.0052091309867324,-0.4534027558073186,0.3322867898271247,0.1724126857355934,False,True,DINP,2,2,up,True,0.3651144894537705,4.3685646013557363e-13,0.3807234454538494,0.109704104420017,0.0005195723217306,True,True,CRC,False,True,False
DECR1,2,1,up,True,0.2570448229974351,0.0052728929518026,0.3098427924741901,0.0654813499202364,2.2256875359256617e-06,False,True,DINP,2,2,down,True,-0.6578602139576653,1.8924803210103932e-14,-0.6523757589785342,0.1383597204548502,2.4162773519885694e-06,True,True,CRC,False,True,False
PSMD6,2,1,up,True,0.3005735064570149,0.0056297408318348,0.2903882982158428,0.0528692492637442,3.961160290865048e-08,False,True,DINP,2,1,up,True,0.2761142886432468,3.355027397096536e-09,0.2835459806903449,0.0404110886441509,2.2743139481475024e-12,False,True,CRC,True,False,False
PSMA4,2,1,up,True,0.4958779041675414,0.0061849423559368,0.5242229836764276,0.251206380880761,0.0369042343465649,False,True,DINP,2,0,up,True,0.1417753305310221,0.0061194572876881,0.1333945148037893,0.1014627848430798,0.188606135434162,False,True,CRC,True,False,False
ACAA2,2,1,up,True,0.2714751445879519,0.0063799316565821,0.3217025846487839,0.0580597203487472,3.009364194335844e-08,False,True,DINP,2,2,down,True,-1.310702230152212,6.097999719942553e-29,-1.3548571819112647,0.104893256051454,3.6313981001439736e-38,True,True,CRC,False,True,False
ALDH3A2,2,1,up,True,0.2937521271252388,0.0064812547286318,0.2934416449322526,0.1384449538146812,0.0340436208043741,False,True,DINP,2,2,down,True,-0.575644432816381,5.921030909559349e-11,-0.5783323383268572,0.0645504606241997,3.264984206030892e-19,True,True,CRC,False,True,False
PTPA,2,1,up,True,0.2166811436732381,0.0066407262877597,0.2322792388933731,0.067859535118798,0.0006194734059403,False,True,DINP,1,1,up,True,0.2776122268649583,0.0016787093090254,,,,False,False,CRC,True,False,False
HSBP1,2,1,up,True,0.2548534315568975,0.0066603521898805,0.2471692077645906,0.1547663146617577,0.1102550448194799,False,True,DINP,2,1,up,True,0.2913331532533609,7.290873131367532e-16,0.2983282290894702,0.0941762971116956,0.0015361647189629,False,True,CRC,True,False,False
MBL2,2,1,down,True,-0.4011418979107647,0.0067312274653414,-0.3636401738314787,0.0700168076790913,2.0625211213930078e-07,False,True,DINP,2,0,down,False,-0.0760446402680345,0.1757151425206577,0.0270433340124649,0.0185017408055062,0.1438332248788627,False,False,CRC,True,False,False
GSTT2B,2,1,up,True,0.5085167041223237,0.0070102070107247,0.618580416183868,0.1173621356426685,1.35905658857485e-07,False,True,DINP,1,0,up,True,0.1214306122448971,0.1757430025417976,,,,False,False,CRC,True,False,False
HTATSF1,2,1,up,True,0.2403191785562479,0.0071304799913249,0.2476001682929235,0.1852427933792638,0.1813450398138238,False,True,DINP,2,1,up,True,0.3205799868351406,4.955976825165688e-12,0.3376467131366517,0.0728711010161939,3.5957132437862207e-06,False,True,CRC,True,False,False
BLVRA,2,1,up,True,0.4713913991710572,0.0072541132826582,0.5271558036752464,0.0905910524053945,5.917544833652107e-09,False,True,DINP,2,1,up,True,0.3804102280998873,0.0238879894653162,0.3478249417355894,0.1240255698893317,0.0050400698946234,False,True,CRC,True,False,False
ARPP19,2,1,up,True,0.2271805651600744,0.0074523869645639,0.2237643311184022,0.1799754942132991,0.2137556685493052,False,True,DINP,2,1,up,True,0.247451213989251,5.908232968445572e-05,0.2390945918573868,0.1053009624608411,0.0231722239894086,False,True,CRC,True,False,False
NCK1,2,1,down,True,-0.2919896083875706,0.0076270114564487,-0.289522415085953,0.1532018970083934,0.0587834297146333,False,True,DINP,2,2,down,True,-0.4412453419838695,1.0925194093015705e-15,-0.4587604226602183,0.0641758120506178,8.77349323327966e-13,True,True,CRC,True,False,False
GJB2,2,1,up,True,0.4759807967172436,0.0076802353466732,0.4195859157247808,0.141056019371756,0.0029336620416569,False,True,DINP,2,1,down,True,-0.3289958121845786,0.0002664173613924,-0.3543041851041091,0.0831664107730439,2.0425898146486865e-05,False,True,CRC,False,True,False
MGAT4B,2,1,down,True,-0.3330970760080642,0.0079101288724086,-0.3348517689130773,0.1346349359546375,0.0128785912263014,False,True,DINP,2,2,down,True,-0.491461658891001,1.6073920559310363e-06,-0.4834087584313759,0.20818719424982,0.0202334287635038,True,True,CRC,True,False,False
PDCD2,2,1,up,True,0.3230805388106206,0.0079101288724086,0.3202375902028582,0.2296927210004508,0.163257219822407,False,True,DINP,2,1,up,True,0.4252590606025213,1.0576073002826696e-30,0.4287790271321758,0.2128223764382112,0.0439332422859052,False,True,CRC,True,False,False
ATXN2,2,1,down,True,-0.3834090121164721,0.0079549199605115,-0.4080671081612034,0.1271002231873982,0.0013246132122026,False,True,DINP,2,0,down,False,-0.0214297598915216,0.1255917611994142,0.000707269908968,0.0827188472519522,0.9931779408984038,False,False,CRC,True,False,False
