pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,2,0,-1.3745759217224258,0.1536635067401037,down,False
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,2,0,-0.1065820028804621,0.3345716492493856,down,False
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,2,0,0.8301357652119089,0.2552748805893808,up,False
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,2,0,0.8230923522473668,0.4939981710405936,up,False
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,2,1,-0.2736337346506174,0.0085592212101331,down,False
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,2,0,-0.1230404688668898,0.8320098649733145,down,False
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,2,1,0.3084528304784508,1.3349728592473958e-08,up,False
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,2,0,-1.0216076536381529,0.1548504404130751,down,False
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,2,0,-0.6587619316084034,0.240979412865145,down,False
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,2,0,-0.9462378700748346,0.1159751762291197,down,False
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,2,0,0.4695506539472515,0.2345230829164412,up,False
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,2,0,-0.0475149570704984,0.0509431875333223,down,False
