gene,n_independent_datasets,n_significant_datasets,direction,all_directions_same,median_log2FC,min_FDR,meta_log2FC,meta_SE,meta_p,strict_supported,direction_supported,label
CA7,2,2,down,True,-4.463367461176313,1.3716257297669792e-54,-4.612931268214074,0.119485503575504,0.0,True,True,CRC
ETV4,2,2,up,True,3.4910909572726903,3.053508945335593e-54,3.4518198776518627,0.277968329593479,2.086281120845541e-35,True,True,CRC
GUCA2B,2,2,down,True,-6.552220876217682,2.3331293294947767e-53,-6.54798900807293,0.1794417250459225,1.5464743527224536e-291,True,True,CRC
CLDN1,2,2,up,True,3.552500147566386,3.3188452590157687e-53,3.5254906137259208,0.2628474537590031,5.09585431799505e-41,True,True,CRC
ABCA8,2,2,down,True,-1.6635339454211295,6.915879158178205e-53,-1.6344414898292174,0.351008954377568,3.217713566770748e-06,True,True,CRC
CDH3,2,2,up,True,4.899426072686976,1.0528272517719585e-52,4.884699995205091,1.8667093146560327,0.008877294808047,True,True,CRC
GTF2IRD1,2,2,up,True,1.936054877657925,1.4563163364139012e-52,1.9427186372058245,0.4367177544253801,8.64907550947792e-06,True,True,CRC
UGP2,2,2,down,True,-1.4365620459444903,3.400779159646184e-52,-1.4552169053024766,0.1737783111323723,5.5702030249847e-17,True,True,CRC
BEST4,2,2,down,True,-4.367871417248855,8.802053930242364e-52,-4.204830765983986,0.118656155423128,4.58280655550401e-275,True,True,CRC
AQP8,2,2,down,True,-7.034076472387699,1.1471111337201636e-51,-6.74732988951932,0.3033388237662768,1.3025697250836949e-109,True,True,CRC
PPM1H,2,2,up,True,1.7294623587875302,4.884788752656437e-51,1.7323813885450543,0.8433723855608812,0.0399648470466567,True,True,CRC
FOXQ1,2,2,up,True,4.5117709465316125,1.2719102019654472e-50,4.522270569659534,0.6566935909868636,5.721226360467907e-12,True,True,CRC
TMEM206,2,2,up,True,1.1396111062521603,1.826589551620133e-50,1.1419928264798396,0.7337406404740597,0.1196133635301951,True,True,CRC
GLTP,2,2,down,True,-1.3447020762286797,6.2899382727765695e-50,-1.3570397948636312,0.2334231128314174,6.112590794968824e-09,True,True,CRC
ASCL2,2,2,up,True,3.126440069596788,2.590795514760169e-49,3.2095095632809905,0.4979975449318379,1.1572999256345251e-10,True,True,CRC
GREM2,2,2,down,True,-2.788914219400612,2.621886976186687e-49,-2.831770179944232,0.5587627353842923,4.021661815698082e-07,True,True,CRC
TMEM100,2,2,down,True,-2.8961902658349428,2.9299439275679118e-49,-2.9446317965127737,0.5287105224126704,2.5553090142664224e-08,True,True,CRC
EPB41L3,2,2,down,True,-2.0592656558021725,1.8643257665291196e-48,-2.1238221730452844,0.0668679498997753,2.2074427245429705e-221,True,True,CRC
SLC6A6,2,2,up,True,1.3207085480564238,2.0266961539071432e-48,1.2982029576389726,0.3491329088643969,0.0002005178380948,True,True,CRC
IL6R,2,2,down,True,-1.5496543584886755,3.1283727467714827e-48,-1.4702197641865218,0.0936120974985519,1.3879761019947742e-55,True,True,CRC
ABCG2,2,2,down,True,-4.097197999060242,3.365352123648631e-48,-3.990928052888701,0.1654027617911524,1.2543809828211584e-128,True,True,CRC
XPOT,2,2,up,True,1.3955144648954434,4.798249499264241e-48,1.4358491941109264,0.0571496898653151,2.6951955458409343e-139,True,True,CRC
RDH5,2,2,down,True,-1.8184075198590133,7.148277603976306e-48,-1.7825327803771795,0.3274430575406736,5.2157330848269914e-08,True,True,CRC
NONO,2,2,up,True,0.8723476445080882,1.5920749831145715e-47,0.8769321706543025,0.2766813828011631,0.0015271944810431,True,True,CRC
MTHFD1L,2,2,up,True,1.6666674200367373,2.293121491721042e-47,1.6685649998254852,0.511824470517575,0.0011139899403011,True,True,CRC
GFRA2,2,2,down,True,-1.7413853157266157,3.129261311884313e-47,-1.730669386249437,0.7724783397913665,0.0250642178401169,True,True,CRC
ENC1,2,2,up,True,1.5621300605404542,4.1498155150995417e-47,1.576180217104161,0.2801550884362263,1.843307559608424e-08,True,True,CRC
SLC4A4,2,2,down,True,-3.5002093599500723,5.322969517596271e-47,-3.407305157353783,0.3625163488824754,5.506388538752254e-21,True,True,CRC
ADH1B,2,2,down,True,-3.6370056503239048,5.842998877623246e-47,-3.672695266067817,0.8249819083878998,8.513384262062917e-06,True,True,CRC
SLCO4A1,2,2,up,True,1.562467827336266,9.44931180789399e-47,1.591498524529816,0.0525930838738892,3.783979201999346e-201,True,True,CRC
POLR1B,2,2,up,True,0.9147657755654048,1.0372636669419892e-46,0.9169069839351808,0.4723931472603769,0.0522603610399797,True,True,CRC
AHCY,2,2,up,True,1.4929678674363198,1.2273205976852323e-46,1.4979630611759167,0.4955433513961018,0.0025038989738291,True,True,CRC
HIGD1A,2,2,down,True,-1.905077856554056,2.127631750524809e-46,-1.909452568793748,0.5359410237607465,0.0003669152925463,True,True,CRC
CLEC3B,2,2,down,True,-2.895304950163779,2.282733042830828e-46,-2.901859036486344,1.1243647231450915,0.0098546645027839,True,True,CRC
SCARA5,2,2,down,True,-1.9610114888694967,5.551544003272039e-46,-1.9286547806415315,0.7079160333192422,0.0064416136980659,True,True,CRC
GRAMD3,2,2,down,True,-1.4654211891090965,6.972295678369952e-46,-1.4811713895472909,0.1819488942251946,3.933555823085599e-16,True,True,CRC
