gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation,tier,priority_score
HBS1L,2,0,up,True,0.1785402941924077,0.1533527615765648,0.1661265399521647,0.0753162874815623,0.0274037052551846,False,True,DINP,2,2,up,True,0.3286488952493145,2.063582223339695e-13,0.3184928988199108,0.0330618848454718,5.787818806886448e-22,True,True,CRC,True,False,False,B,6
LARP7,2,0,down,True,-0.1574376922968476,0.1533527615765648,-0.1430877251933378,0.1268065519721294,0.25915365119374,False,True,DINP,2,2,down,True,-0.408261956862983,1.081323856690076e-14,-0.3972398180807624,0.0357678368032758,1.172153653286251e-28,True,True,CRC,True,False,False,B,6
TMEM205,2,0,up,True,0.2470061137171604,0.1533527615765648,0.2407307213717476,0.0634632105263867,0.0001486987248544,False,True,DINP,2,2,up,True,0.5438807258232132,5.768791649426166e-22,0.5568784989116288,0.1790102611140497,0.0018653404866812,True,True,CRC,True,False,False,B,6
AZIN1,2,0,up,True,0.1789480168757702,0.1538308916263087,0.1627989117983209,0.1062533784393621,0.1254789270258157,False,True,DINP,2,2,up,True,0.698902179427273,4.239879564221634e-34,0.7139098098557145,0.2263309026759239,0.0016089763209424,True,True,CRC,True,False,False,B,6
RNF19A,2,0,down,True,-0.1767617872291065,0.1542741299333568,-0.1725054966398797,0.1102506368101695,0.1176610877040447,False,True,DINP,2,2,down,True,-0.428348019173463,1.4483281465250553e-12,-0.4425468507002989,0.0876031456039145,4.378416988875052e-07,True,True,CRC,True,False,False,B,6
ZWINT,2,0,up,True,0.2197215352023973,0.1542741299333568,0.2536434868761891,0.0906490141108997,0.0051406862975545,False,True,DINP,2,2,up,True,0.8500379482777531,3.6561753440716064e-15,0.8407110272678794,0.0733732463881325,2.1439628702883923e-30,True,True,CRC,True,False,False,B,6
CLCN4,2,0,up,True,0.1693237468212174,0.1545151633818739,0.1794918391726288,0.0616370242785584,0.0035903265550382,False,True,DINP,2,2,up,True,0.9535545034455606,2.789440536812152e-20,0.9459610099826872,0.0734948839714405,6.545151628213626e-38,True,True,CRC,True,False,False,B,6
PNO1,2,0,up,True,0.2057863323530364,0.1550135269104605,0.1976676922504331,0.0822302197998286,0.0162241958162029,False,True,DINP,2,2,up,True,1.1991848222715649,1.821522621432773e-38,1.2055710115996556,0.3270555553911736,0.0002276853795313,True,True,CRC,True,False,False,B,6
ALDH4A1,2,0,up,True,0.3724597465485395,0.1564370134972608,0.1891832158654496,0.0574553591334849,0.0009923057102872,False,True,DINP,2,2,up,True,1.2531412244983582,5.911751587945502e-22,1.2176547028462534,0.3396352231370874,0.0003368408833295,True,True,CRC,True,False,False,B,6
MRPL33,2,0,up,True,0.4521451405553516,0.1569434243935907,0.3977872021526054,0.1315807007359843,0.0025016445388311,False,True,DINP,2,2,up,True,0.3761617472207259,8.530974836136919e-11,0.3811332200137226,0.0432014429357141,1.1219891741698876e-18,True,True,CRC,True,False,False,B,6
PDLIM2,2,0,down,True,-0.4134879780989928,0.1573319638085949,-0.4787323292034035,0.1484700926779389,0.0012622101444966,False,True,DINP,2,2,down,True,-0.514421680767847,2.5188202318330773e-21,-0.5242836809090197,0.0403244770628983,1.1977280785572467e-38,True,True,CRC,True,False,False,B,6
ANXA6,2,0,up,True,0.3144860868263528,0.157791556225317,0.3343531105810751,0.0345086417523228,3.3590697349030873e-22,False,True,DINP,2,2,up,True,0.5245849962767406,0.0009195582204156,0.5197454928735195,0.0991766779104184,1.600536203445056e-07,True,True,CRC,True,False,False,B,6
FANCL,2,0,up,True,0.463871364848174,0.1585036692381667,0.4304516889660064,0.1685574043887916,0.0106572979621228,False,True,DINP,2,2,up,True,0.3680010841573975,2.3902781658988165e-25,0.3983335888275504,0.0731697226073591,5.210674316395597e-08,True,True,CRC,True,False,False,B,6
FAIM,2,0,up,True,0.2952497623860513,0.1585492401080922,0.335841703470035,0.1203357068077895,0.0052566055113033,False,True,DINP,2,2,up,True,0.6781542361602289,4.156552190779117e-22,0.7055716877906596,0.1524525214373857,3.689636875939041e-06,True,True,CRC,True,False,False,B,6
MRPL14,2,0,up,True,0.2764040006319876,0.1589806737604593,0.1899858135403925,0.0572128020527494,0.0008979614941818,False,True,DINP,2,2,up,True,0.4117184869588985,2.855022329940353e-10,0.3823713074295777,0.0525821864461984,3.5452059187301493e-13,True,True,CRC,True,False,False,B,6
GTF3A,2,0,up,True,0.2267900123793098,0.1602769863139754,0.2312760697182529,0.0849647986149049,0.006488377973169,False,True,DINP,2,2,up,True,1.2533847071786235,2.7725295005569343e-37,1.2575465646252428,0.3080603102609491,4.462212224166072e-05,True,True,CRC,True,False,False,B,6
ZNF32,2,0,up,True,0.1814137620841442,0.1609311493846129,0.159912895431816,0.1284782755017486,0.2132535350268016,False,True,DINP,2,2,up,True,0.3889361866112746,5.1042951871969286e-11,0.3952595220154178,0.1069484712337089,0.000219200626533,True,True,CRC,True,False,False,B,6
LCOR,2,0,down,True,-0.4490063176593446,0.1635130924205272,-0.362566044063598,0.1184732696727311,0.0022110107098752,False,True,DINP,2,2,down,True,-0.5909055507027219,3.3193892675620934e-17,-0.609173562936394,0.0500597863076329,4.550604921113311e-34,True,True,CRC,True,False,False,B,6
IMPDH2,2,0,up,True,0.2478127317658307,0.1658005729368231,0.2275329171440897,0.1299295114884308,0.0799109928524713,False,True,DINP,2,2,up,True,0.6936806758496852,6.6738791732770685e-25,0.7026095278727288,0.2279441740190994,0.0020535564110599,True,True,CRC,True,False,False,B,6
SNRPD3,2,0,up,True,0.4134492554165483,0.1675456463725024,0.4422461364568891,0.1695708880320157,0.0091064700980013,False,True,DINP,2,2,up,True,0.3807036651026254,2.740511374050177e-19,0.3509632732964086,0.0285123975484991,8.087408010674241e-35,True,True,CRC,True,False,False,B,6
CBX5,2,0,up,True,0.229942073449997,0.1688627525769097,0.2342416491428207,0.0639495226992455,0.0002493615579558,False,True,DINP,2,2,up,True,0.3258872284571494,6.381588515621417e-09,0.3413975325301583,0.0469047818575034,3.374947548928609e-13,True,True,CRC,True,False,False,B,6
NBN,2,0,up,True,0.1948453607160127,0.1702243872543511,0.1769506106934573,0.0769585077327925,0.0214879733475188,False,True,DINP,2,2,up,True,0.5032664882673741,2.0527704295238376e-15,0.5258690225325828,0.0671570442372506,4.861760436656653e-15,True,True,CRC,True,False,False,B,6
NARS2,2,0,up,True,0.2346602559930805,0.1706466180056595,0.204905131927909,0.1351708704011179,0.1295453709550652,False,True,DINP,2,2,up,True,0.679859745768912,7.05858910054261e-26,0.6862663641410394,0.334048212252624,0.0399376540369329,True,True,CRC,True,False,False,B,6
DPM2,2,0,up,True,0.285629651461444,0.172599423555633,0.3079446498573243,0.1088553817766939,0.0046703383931966,False,True,DINP,2,2,up,True,0.6902366289778104,2.9746213495220714e-30,0.6759772534891731,0.0350541242599735,7.345368546722658e-83,True,True,CRC,True,False,False,B,6
RPS21,2,0,up,True,0.3044962103106936,0.172599423555633,0.3170129341430132,0.110298543980824,0.004051354193844,False,True,DINP,2,2,up,True,0.4845214220505633,6.60114399658055e-41,0.5192719665274994,0.0735497053323433,1.6632273027324765e-12,True,True,CRC,True,False,False,B,6
BAHD1,2,0,down,True,-0.2443759145165369,0.1732735851874585,-0.2253641788785145,0.0934661751074935,0.0159008088846199,False,True,DINP,2,2,down,True,-0.3398448696996472,9.792872586453247e-15,-0.3524602941953834,0.0887435485341379,7.136985037557044e-05,True,True,CRC,True,False,False,B,6
RBCK1,2,0,up,True,0.2302871054546207,0.1740570273893807,0.192593797413977,0.0588507443490666,0.0010657052624894,False,True,DINP,2,2,up,True,0.4229128455209996,7.791869248396375e-10,0.4022499197841734,0.0748945789870242,7.835262192972221e-08,True,True,CRC,True,False,False,B,6
LSM5,2,0,up,True,0.3608405981833396,0.174466945587437,0.4567512122018768,0.1834106099371223,0.0127627926009863,False,True,DINP,2,2,up,True,0.8030602317704343,3.0033179529274365e-32,0.8106791381086097,0.1816259566188735,8.064884499646473e-06,True,True,CRC,True,False,False,B,6
PFKL,2,0,down,True,-0.31815622794979,0.1752690437605928,-0.3222599286651507,0.096944477311629,0.0008868210092543,False,True,DINP,2,2,down,True,-0.3274938551213955,9.290862183664205e-08,-0.312453912727465,0.0417484103625455,7.197822683533818e-14,True,True,CRC,True,False,False,B,6
CDKN1A,2,0,down,True,-1.0619283162262911,0.176153531916437,-1.0973998695044382,0.3688344629043455,0.0029268483085689,False,True,DINP,2,2,down,True,-1.051177082819668,1.2416695372354416e-28,-1.0575267465841902,0.534133135955417,0.047715492204665,True,True,CRC,True,False,False,B,6
WDR46,2,0,up,True,0.1989993327884842,0.1762086343853239,0.1898074691854026,0.1360641803255218,0.1630204103731525,False,True,DINP,2,2,up,True,0.757512843372401,7.889559708074235e-34,0.7634470714613137,0.3074278474414129,0.0130157740740463,True,True,CRC,True,False,False,B,6
ZDHHC21,2,0,down,True,-0.4148149743341771,0.1816422608957857,-0.4059102497104369,0.1406058597908605,0.0038910013689999,False,True,DINP,2,2,down,True,-0.3624925014445992,1.4146695906050158e-10,-0.3352914727278396,0.0675115727964823,6.819679756901571e-07,True,True,CRC,True,False,False,B,6
CMKLR1,2,0,down,True,-0.430731679588338,0.1862553338689824,-0.4117206122964436,0.1044248312227089,8.055386951214043e-05,False,True,DINP,2,2,down,True,-0.547978578413377,2.1992851836570936e-11,-0.5089680636186057,0.2878806207243348,0.0770637340068625,True,True,CRC,True,False,False,B,6
UCHL3,2,0,up,True,0.2040089705553622,0.1862553338689824,0.2054453694501196,0.067833537977253,0.0024563321783438,False,True,DINP,2,2,up,True,0.9091674001031054,3.6712247949870685e-28,0.9149858784478556,0.1304590346188409,2.322832754668776e-12,True,True,CRC,True,False,False,B,6
ATP6V1G1,2,0,up,True,0.255175828844234,0.1880153380590009,0.2249918372167408,0.1121523685819764,0.0448427545383696,False,True,DINP,2,2,up,True,0.2981092783989298,8.679274337539127e-14,0.3100219376700528,0.031663528111234,1.2290607517503358e-22,True,True,CRC,True,False,False,B,6
NRIP1,2,0,down,True,-0.3520409478895649,0.1889506176142705,-0.2623179488736537,0.0912351353526879,0.0040379004218112,False,True,DINP,2,2,down,True,-0.6547875028070336,9.093201941152975e-16,-0.6487562427573709,0.0683515148300696,2.2780236565221466e-21,True,True,CRC,True,False,False,B,6
PSMD7,2,0,up,True,0.1179876892071671,0.1897448349839397,0.1046911023269949,0.0472653978717192,0.0267626117084637,False,True,DINP,2,2,up,True,0.4951586825561116,7.90510909873792e-14,0.4816289192367478,0.05658367718661,1.7125441550991168e-17,True,True,CRC,True,False,False,B,6
EXOSC2,2,0,up,True,0.194997112336398,0.1911363767034347,0.2191781680493021,0.0852775857357897,0.010164767178846,False,True,DINP,2,2,up,True,0.7919325611068673,7.425575760314755e-31,0.8148275258455321,0.192547784001988,2.318080945295518e-05,True,True,CRC,True,False,False,B,6
SEC23A,2,0,down,True,-0.1221074253715319,0.1953350160209315,-0.1186772443438346,0.0370544524023952,0.0013610810261254,False,True,DINP,2,2,down,True,-0.510453337702423,2.451435608436081e-19,-0.5572743463166135,0.045828591008526,5.077659411215059e-34,True,True,CRC,True,False,False,B,6
