mouse_symbol,human_symbol,ortholog_ensg,mapping_status,source
0610005C13RIK,,,unmapped,g:Orth / Ensembl
0610009B22RIK,,,unmapped,g:Orth / Ensembl
0610009E02RIK,,,unmapped,g:Orth / Ensembl
0610009L18RIK,,,unmapped,g:Orth / Ensembl
0610010B08RIK,,,unmapped,g:Orth / Ensembl
0610010F05RIK,,,unmapped,g:Orth / Ensembl
0610010K14RIK,C17ORF49,ENSG00000258315,mapped_canonical,g:Orth / Ensembl
0610012G03RIK,,,unmapped,g:Orth / Ensembl
0610025J13RIK,,,unmapped,g:Orth / Ensembl
0610030E20RIK,C2ORF68,ENSG00000168887,mapped_canonical,g:Orth / Ensembl
0610031O16RIK,,,unmapped,g:Orth / Ensembl
0610033M10RIK,,,unmapped,g:Orth / Ensembl
0610037L13RIK,,,unmapped,g:Orth / Ensembl
0610038B21RIK,,,unmapped,g:Orth / Ensembl
0610039K10RIK,,,unmapped,g:Orth / Ensembl
0610040B10RIK,,,unmapped,g:Orth / Ensembl
0610040J01RIK,C4ORF19,ENSG00000154274,mapped_canonical,g:Orth / Ensembl
0610043K17RIK,,,unmapped,g:Orth / Ensembl
1010001B22RIK,,,unmapped,g:Orth / Ensembl
1010001N08RIK,,,unmapped,g:Orth / Ensembl
1110002E22RIK,C4ORF54,ENSG00000248713,mapped_canonical,g:Orth / Ensembl
1110002J07RIK,,,unmapped,g:Orth / Ensembl
1110002L01RIK,,,unmapped,g:Orth / Ensembl
1110003F10RIK,,,unmapped,g:Orth / Ensembl
1110004F10RIK,C11ORF58,ENSG00000110696,mapped_canonical,g:Orth / Ensembl
1110006O24RIK,,,unmapped,g:Orth / Ensembl
1110008L16RIK,,,unmapped,g:Orth / Ensembl
1110008P14RIK,,,unmapped,g:Orth / Ensembl
1110012L19RIK,,,unmapped,g:Orth / Ensembl
1110013H19RIK,,,unmapped,g:Orth / Ensembl
1110017D15RIK,,,unmapped,g:Orth / Ensembl
1110018N20RIK,,,unmapped,g:Orth / Ensembl
1110019B22RIK,,,unmapped,g:Orth / Ensembl
1110019D14RIK,,,unmapped,g:Orth / Ensembl
1110020A21RIK,,,unmapped,g:Orth / Ensembl
1110025M09RIK,,,unmapped,g:Orth / Ensembl
1110028F11RIK,,,unmapped,g:Orth / Ensembl
1110032A03RIK,,,unmapped,g:Orth / Ensembl
1110032F04RIK,C3ORF80,ENSG00000180044,mapped_canonical,g:Orth / Ensembl
1110035H17RIK,,,unmapped,g:Orth / Ensembl
1110038B12RIK,,,unmapped,g:Orth / Ensembl
1110038F14RIK,C8ORF33,ENSG00000182307,mapped_canonical,g:Orth / Ensembl
1110046J04RIK,,,unmapped,g:Orth / Ensembl
1110051M20RIK,,,unmapped,g:Orth / Ensembl
1110059E24RIK,C9ORF85,ENSG00000155621,mapped_canonical,g:Orth / Ensembl
1110059G10RIK,KIAA1143,ENSG00000163807,mapped_canonical,g:Orth / Ensembl
1110065P20RIK,C1ORF122,ENSG00000197982,mapped_canonical,g:Orth / Ensembl
1190001M18RIK,,,unmapped,g:Orth / Ensembl
1190002N15RIK,,,unmapped,g:Orth / Ensembl
1190005I06RIK,C16ORF74,ENSG00000154102,mapped_canonical,g:Orth / Ensembl
1190007I07RIK,,,unmapped,g:Orth / Ensembl
1300002E11RIK,,,unmapped,g:Orth / Ensembl
1300014J16RIK,,,unmapped,g:Orth / Ensembl
1500002C15RIK,,,unmapped,g:Orth / Ensembl
1500002F19RIK,,,unmapped,g:Orth / Ensembl
1500004A13RIK,,,unmapped,g:Orth / Ensembl
1500009C09RIK,,,unmapped,g:Orth / Ensembl
1500009L16RIK,C12ORF75,ENSG00000235162,mapped_canonical,g:Orth / Ensembl
1500011B03RIK,,,unmapped,g:Orth / Ensembl
1500015A07RIK,,,unmapped,g:Orth / Ensembl
