gene,dose,timepoints,directions_same,delta_3m_minus_0m
A1BG,100 ug/kg/day,2,True,-0.0211623620541427
A2M,100 ug/kg/day,2,True,-0.475615424764596
A4GALT,100 ug/kg/day,2,True,-0.2141982629202425
AAAS,100 ug/kg/day,2,False,0.0931840848087102
AACS,100 ug/kg/day,2,True,0.1521777869487337
AADAC,100 ug/kg/day,2,False,-0.972059827904156
AAGAB,100 ug/kg/day,2,False,0.1875120860612638
AAK1,100 ug/kg/day,2,True,-1.0607237786049195
AAMDC,100 ug/kg/day,2,True,0.3016424012692233
AAMP,100 ug/kg/day,2,True,0.2063404657283918
AAR2,100 ug/kg/day,2,True,0.0036182356948266
AARD,100 ug/kg/day,2,True,-0.1341932158043133
AARS2,100 ug/kg/day,2,False,0.2610940280412928
AARSD1,100 ug/kg/day,2,False,0.4111297430600356
AASDH,100 ug/kg/day,2,False,-0.2601328391026629
AASDHPPT,100 ug/kg/day,2,False,-0.1124347211166201
AASS,100 ug/kg/day,2,False,-1.18214242164198
AATF,100 ug/kg/day,2,True,0.136207696715453
AATK,100 ug/kg/day,2,True,0.1955196051083065
ABAT,100 ug/kg/day,2,False,-0.3914990308016914
ABCA1,100 ug/kg/day,2,False,-0.5624496684908689
ABCA13,100 ug/kg/day,2,True,-0.3284312238576946
ABCA2,100 ug/kg/day,2,False,-0.337211095405717
ABCA3,100 ug/kg/day,2,True,-0.0256116991051049
ABCA4,100 ug/kg/day,2,True,-0.2202375543227739
ABCA5,100 ug/kg/day,2,False,-0.9738457969468062
ABCA6,100 ug/kg/day,2,True,-0.4181920056133386
ABCA7,100 ug/kg/day,2,True,0.1363236673661996
ABCA8,100 ug/kg/day,2,False,-0.5086588274311499
ABCA9,100 ug/kg/day,2,False,-0.195556563558723
ABCB1,100 ug/kg/day,2,True,-0.0016994947962141
ABCB10,100 ug/kg/day,2,True,-0.184905443199395
ABCB4,100 ug/kg/day,2,True,2.0020662203520856
ABCB6,100 ug/kg/day,2,True,0.0229089682241143
ABCB7,100 ug/kg/day,2,False,-0.3716811242414133
ABCB8,100 ug/kg/day,2,False,-0.1147499810458754
ABCB9,100 ug/kg/day,2,False,-0.99802717754494
ABCC1,100 ug/kg/day,2,True,-0.063136885265405
ABCC10,100 ug/kg/day,2,True,-0.0767691993369195
ABCC2,100 ug/kg/day,2,True,0.6184822450580248
ABCC3,100 ug/kg/day,2,False,-0.2038758988982691
