dataset_id,contrast_id,n_genes_tested,n_primary_significant,n_sensitivity_significant,n_up,n_down
GSE158473,GSE158473_0month_DiNP_20ugkgd,18007,0,0,8867,9140
GSE158473,GSE158473_0month_DiNP_100ugkgd,18007,0,0,9426,8581
GSE158473,GSE158473_3months_DiNP_20ugkgd,18007,0,0,8972,9035
GSE158473,GSE158473_3months_DiNP_100ugkgd,18007,0,0,9095,8912
GSE313258,GSE313258_20weeks_DiNP_1.5mgkgd,20143,151,49,11038,9105
GSE313258,GSE313258_20weeks_DiNP_15mgkgd,20143,548,196,10829,9314
GSE313258,GSE313258_20weeks_DiNP_150mgkgd,20143,197,81,10373,9770
GSE44076,GSE44076_CRC_tumor_vs_normal,20217,8610,4744,9962,10255
GSE37364,GSE37364_CRC_tumor_vs_normal,22834,9420,6097,9908,12926
