gene,n_independent_datasets,n_significant_datasets,direction,all_directions_same,median_log2FC,min_FDR,meta_log2FC,meta_SE,meta_p,strict_supported,direction_supported,label,legacy_81_annotation
RXRA,2,1,up,True,0.23581643823715392,0.0045619827795513905,0.22972660894479457,0.19564007694863286,0.2403025823991095,False,True,DINP,True
SIRT2,2,0,up,True,0.15680669466663044,0.019082802765539565,0.15196024231176067,0.0683469944713818,0.02619126978765451,False,True,DINP,True
CYP2A6,2,0,up,True,1.0315223315564024,0.0801314329175774,0.7677752534239344,0.22314310424682926,0.0005801463600723201,False,True,DINP,True
DDIT4,2,0,down,True,-0.5583843979927579,0.08272453801107546,-0.5380755683759154,0.14256124509237988,0.00016042750802390646,False,True,DINP,True
ESR1,2,0,down,True,-0.31499445616442656,0.10509423226600069,-0.327431775085652,0.09299660110302968,0.00043008404057057295,False,True,DINP,True
SUSD2,2,0,up,True,0.5846287588685248,0.12163329289306117,0.5860628725237431,0.10651633906926038,3.753075017096583e-08,False,True,DINP,True
NR3C1,2,0,up,True,0.14935548611300975,0.22457183500844333,0.15138964878971323,0.05080611971684185,0.0028848161409888115,False,True,DINP,True
ADAMTS1,2,0,down,True,-0.3213208010888976,0.24351022766061717,-0.2808641918879233,0.08682441568829474,0.0012170551849540684,False,True,DINP,True
NR1I2,2,0,up,True,0.3756202196135474,0.2758558753354991,0.2865840107425948,0.09986933056286793,0.00411004628109659,False,True,DINP,True
HSPA1A,2,0,down,True,-0.8146585043509171,0.29986819990965907,-0.7435991191466397,0.4744728298396842,0.11706534023195185,False,True,DINP,True
PPARD,2,0,down,True,-0.14028884403528508,0.36474468646970093,-0.11820560756197386,0.07725396086179895,0.12599415014027948,False,True,DINP,True
CPS1,2,0,up,True,0.4232506039931002,0.4468707649476163,0.35742206693804035,0.154502041964954,0.02070170839145391,False,True,DINP,True
ATF4,2,0,down,True,-0.21957086552679828,0.4605110216427262,-0.20991491161633546,0.07245237618342662,0.003764121291647789,False,True,DINP,True
DUSP1,2,0,down,True,-0.3129788877251283,0.6414568380913699,-0.26561388935296215,0.1969254544689654,0.17739985018452709,False,True,DINP,True
SNORA65,2,0,down,True,-0.1640163809146717,0.6414568380913699,-0.1665474252045917,0.13858396607130263,0.22944881410318674,False,True,DINP,True
PTGES,2,0,down,True,-0.25199192973206114,0.6918571425255488,-0.175062142236962,0.16314371480804454,0.2832465405242822,False,True,DINP,True
SLCO2A1,2,0,up,True,0.21516380798240387,0.6918571425255488,0.20318939258385055,0.12981962552180248,0.11754375923625575,False,True,DINP,True
PLA2G4A,2,0,down,True,-0.33714473314335164,0.7168909364760312,-0.20958094929367074,0.11424625300243023,0.06658474316774828,False,True,DINP,True
PTGES2,2,0,up,True,0.16486813511705478,0.7168909364760312,0.11092344698696319,0.08843259349609404,0.209722938668241,False,True,DINP,True
PTGS1,2,0,down,True,-0.429651604335864,0.7168909364760312,-0.3660604595167774,0.2913184577542671,0.2089113423346941,False,True,DINP,True
PTGER2,2,0,up,True,0.22812395015507358,0.8361223624340001,0.1575881790631105,0.1517743218721594,0.29912764682826976,False,True,DINP,True
CXCL13,2,0,up,True,0.37890712674585947,0.8723285365945044,0.2219274602162448,0.22043144883955695,0.31403726714881885,False,True,DINP,True
PPARA,2,1,down,False,-0.017973837645366864,0.010974445584992115,0.027153648884469923,0.6009560566807652,0.9639605805020641,False,False,DINP,True
SIRT3,2,1,up,False,0.14540467585820815,0.02266632579125032,0.17139320036042402,0.27838282574939766,0.5381093863573452,False,False,DINP,True
SPP2,1,1,up,True,0.31279731268593824,0.03805629522654585,,,,False,False,DINP,True
RXRB,2,1,down,False,-0.16219158675710688,0.04460245384420216,-0.16526302819463629,0.25918877272127466,0.5237233771084808,False,False,DINP,True
AHSG,2,0,up,False,0.15859492284015686,0.06022894843307149,0.09318581310716398,0.5051178094985569,0.8536343072240787,False,False,DINP,True
STAT3,2,0,down,False,-0.04896996856869995,0.06209574979193027,-0.06679247403902105,0.26716228433670375,0.8025818402869469,False,False,DINP,True
C4BPA,1,0,down,True,-0.20206405668209548,0.0654727138766726,,,,False,False,DINP,True
SIRT5,2,0,up,False,0.07385697867015795,0.11725898960023108,0.07564307447299148,0.2982067152522727,0.7997583448661703,False,False,DINP,True
TIMP2,2,0,down,False,-0.19963975037999493,0.17586369324296464,-0.18004810378570316,0.3626579118851055,0.6195641509288052,False,False,DINP,True
PARP10,2,0,up,False,0.024784876520599575,0.23764013404865703,0.015314926105308414,0.31531411269880394,0.9612616758545195,False,False,DINP,True
HSD3B2,2,0,up,False,0.08258297753043109,0.2834121739721363,0.08136200667840467,0.30213000957228475,0.7877029195716065,False,False,DINP,True
HPGD,2,0,up,False,0.06570005860765926,0.31018683015166776,0.12290898166447439,0.21986016717587334,0.5761395314414768,False,False,DINP,True
SQSTM1,2,0,up,False,0.0013478279900751566,0.31103488255726697,-0.02664830947070823,0.1751031896847673,0.8790399859893486,False,False,DINP,True
MMP9,2,0,up,False,0.3112942383599909,0.3162192390919503,0.2813996122087759,0.7652509272785584,0.7130805241255049,False,False,DINP,True
LUM,2,0,down,False,-0.07736252501690222,0.3298573667441004,-0.09766488543465347,0.43389711695104183,0.821911082908408,False,False,DINP,True
RELA,2,0,down,False,-0.06915708779801433,0.37848483254155957,-0.05279936777846659,0.1330310030492435,0.6914447372242418,False,False,DINP,True
SIRT1,2,0,up,False,0.03817547342041938,0.3974352632862371,0.0571210389792171,0.2556698977387054,0.8232108606509992,False,False,DINP,True
IGFBP1,1,0,down,True,-0.6035637615845282,0.5026466380463778,,,,False,False,DINP,True
ATG5,2,0,up,False,0.047717364636084,0.5296462271951385,0.053024238942829156,0.09001811709867254,0.555834685127504,False,False,DINP,True
TIMP1,2,0,up,False,0.14004083511498278,0.5380728018135096,0.038213270673753894,0.7614133592364001,0.9599731424093353,False,False,DINP,True
NR1I3,1,0,up,True,0.3736141003551898,0.560741685205028,,,,False,False,DINP,True
RGS2,2,0,down,False,-0.0076796137658272645,0.5755156700170553,-0.05179654802584791,0.2903116200141905,0.8583954460905959,False,False,DINP,True
HSPA1L,2,0,down,False,-0.18110485043043312,0.6414568380913699,0.007506271443992755,0.17383967431460373,0.965558624269071,False,False,DINP,True
BECN1,2,0,up,False,0.031413749419244574,0.6515927431799352,0.0008499036463014789,0.11288408843065646,0.9939927885287928,False,False,DINP,True
DPT,2,0,down,False,-0.04155427293602498,0.6728637105957456,-0.007888278369318028,0.37790153819777683,0.983346248028366,False,False,DINP,True
MMP2,2,0,up,False,0.019076406963177084,0.6728637105957456,0.03416921208062072,0.4263132357816392,0.9361175716308493,False,False,DINP,True
PPARG,2,0,down,False,-0.019519388505441215,0.6728637105957456,-0.009962013138730647,0.174897094664573,0.9545776297861545,False,False,DINP,True
PTGER4,2,0,up,False,0.019610757240251707,0.6728637105957456,-0.03044909417631804,0.13433171970194288,0.8206796428635056,False,False,DINP,True
PLAC8,2,0,up,False,0.0388584400003662,0.6844375703760633,0.010057181102533733,0.31290236817494443,0.9743591327486644,False,False,DINP,True
CCL20,1,0,down,True,-0.06522970968351151,0.6918571425255488,,,,False,False,DINP,True
CGA,1,0,down,True,-0.0708429413593096,0.6918571425255488,,,,False,False,DINP,True
CXCR4,2,0,up,False,0.13609877310162377,0.6918571425255488,-0.05786475674727967,0.3043684507688323,0.8492196630365907,False,False,DINP,True
TNC,2,0,up,False,0.2643761942312415,0.6918571425255488,-0.05615776508105693,0.05840880389213812,0.33632061443785455,False,False,DINP,True
CA9,2,0,down,False,-0.08029274738431633,0.7168909364760312,-0.1042548276226972,0.402785210866929,0.7957627096683366,False,False,DINP,True
STAR,2,0,up,False,0.549863839237701,0.7168909364760312,0.4434525774349439,0.7547302589209943,0.556824760538014,False,False,DINP,True
OMD,2,0,up,False,0.06747599171945667,0.7516863840633741,-0.042411983731313566,0.18286838273617773,0.8165952725135331,False,False,DINP,True
CADM3,2,0,down,False,-0.31973250421964416,0.8204559656309861,-0.23770533689809903,0.3971962082848462,0.549534226715218,False,False,DINP,True
DKK1,1,0,down,True,-0.9052475741826802,0.9253696262056369,,,,False,False,DINP,True
PTX3,1,0,up,True,0.8178122561739825,0.9253696262056369,,,,False,False,DINP,True
ABCC4,2,0,up,False,0.07304217969618543,0.954728101165524,0.11708186904998671,0.14505430809915817,0.4195749680758688,False,False,DINP,True
CRP,1,0,up,True,0.03040738351456529,0.9625860215708969,,,,False,False,DINP,True
CYP11A1,1,0,up,True,0.5162138818500992,0.9984987444858379,,,,False,False,DINP,True
PTGER3,1,0,up,True,0.2631126760451086,0.9984987444858379,,,,False,False,DINP,True
PTGFR,1,0,up,True,0.7499158412845084,0.9984987444858379,,,,False,False,DINP,True
PTGS2,1,0,down,True,-0.4344871636042954,0.9984987444858379,,,,False,False,DINP,True
PGR,1,0,down,True,-0.20411185056765047,1.0,,,,False,False,DINP,True
PTGER1,1,0,down,True,-0.5246134670416344,1.0,,,,False,False,DINP,True
