source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P01106	O14746	MYC	TERT	True	True	False	True	True	False	A
P84022	P05412	SMAD3	JUN	True	True	False	True	True	False	A
Q13485	P05412	SMAD4	JUN	True	True	False	True	True	False	A
P08047	P04075	SP1	ALDOA	True	True	False	True	True	False	A
P04637	P08069	TP53	IGF1R	True	False	True	True	False	True	A
Q05516	P20248	ZBTB16	CCNA2	True	False	True	True	False	True	A
Q01196	P08700	RUNX1	IL3	True	False	True	True	False	True	A
P42224	P38936	STAT1	CDKN1A	True	True	False	True	True	False	A
P40763	P38936	STAT3	CDKN1A	True	True	False	True	True	False	A
Q04206	P08183	RELA	ABCB1	True	True	False	True	True	False	A
P04637	P38936	TP53	CDKN1A	True	True	True	True	True	False	A
P04637	P06400	TP53	RB1	True	False	True	True	False	True	A
Q01094	P38936	E2F1	CDKN1A	True	True	False	True	True	False	A
O00716	P38936	E2F3	CDKN1A	True	True	False	True	True	False	A
P25490	P04150	YY1	NR3C1	True	True	False	True	True	False	A
P04637	P10415	TP53	BCL2	True	False	True	True	False	True	A
Q14765	P10914	STAT4	IRF1	True	True	False	True	True	False	A
P19544	P11926	WT1	ODC1	True	True	False	True	True	False	A
Q14653	P01562	IRF3	IFNA1	True	True	False	True	True	False	A
P20823	P05019	HNF1A	IGF1	True	True	False	True	True	False	A
P42229	P05019	STAT5A	IGF1	True	True	False	True	True	False	A
P14921	P01033	ETS1	TIMP1	True	True	True	True	True	False	A
P27540	Q16678	ARNT	CYP1B1	True	True	False	True	True	False	A
P35869	Q16678	AHR	CYP1B1	True	True	False	True	True	False	A
P04637	P14635	TP53	CCNB1	True	False	True	True	False	True	A
P42229	P24385	STAT5A	CCND1	True	True	False	True	True	False	A
P04637	Q00987	TP53	MDM2	True	True	False	True	True	False	A
Q06330	Q14469	RBPJ	HES1	True	True	False	True	True	False	A
P15336	P24385	ATF2	CCND1	True	True	False	True	True	False	A
P05412	P24385	JUN	CCND1	True	True	True	True	True	False	A
Q13469	P05112	NFATC2	IL4	True	True	False	True	True	False	A
P10276	P07988	RARA	SFTPB	True	True	False	True	True	False	A
P41235	P25092	HNF4A	GUCY2C	True	True	False	True	True	False	A
P05412	P38936	JUN	CDKN1A	True	True	True	True	True	False	A
P05412	P04637	JUN	TP53	True	False	True	True	False	True	A
P40763	P14222	STAT3	PRF1	True	True	False	True	True	False	A
P37231	P05121	PPARG	SERPINE1	True	False	True	True	False	True	A
P08047	P48023	SP1	FASLG	True	True	False	True	True	False	A
P10275	P07288	AR	KLK3	True	True	True	True	True	False	A
P18846	P13569	ATF1	CFTR	True	True	False	True	True	False	A
