source,cutoff,cutoff_n,available_ranked_universe_n,dinp_ctd_n,overlap_n,overlap_fraction_of_dinp,ptger4_in_cutoff,ptger4_rank_in_available_universe,ptger4_score,overlap_genes
GeneCards,top500,500,2000,86,8,0.09302325581395349,False,1105,8.0,CRP;CXCR4;MMP2;MMP9;NEAT1;PPARG;PTGS2;STAT3
GeneCards,top1000,1000,2000,86,19,0.22093023255813954,False,1105,8.0,BECN1;CCL20;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;NR1I2;PPARA;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
GeneCards,top2000,2000,2000,86,41,0.47674418604651164,True,1105,8.0,ABCC4;ATF4;ATG5;BECN1;CA9;CCL20;CRP;CXCR4;CYP2A6;DKK1;ESR1;HPGD;HSPA1A;IGFBP1;MAP1LC3B;MMP2;MMP9;NEAT1;NR1I2;PGR;PLA2G4A;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGES;PTGES2;PTGS1;PTGS2;RELA;RXRA;SIRT1;SIRT2;SIRT3;SIRT5;SLCO2A1;SQSTM1;STAT3;TIMP1;TIMP2
OpenTargets,top500,500,15611,86,8,0.09302325581395349,False,602,0.3775381472857955,CXCR4;ESR1;PPARG;PTGS1;PTGS2;RXRA;SLCO2A1;STAT3
OpenTargets,top1000,1000,15611,86,11,0.12790697674418605,True,602,0.3775381472857955,CXCR4;ESR1;NR3C1;PPARG;PTGER4;PTGS1;PTGS2;RXRA;SLCO2A1;STAT3;TNC
OpenTargets,top2000,2000,15611,86,29,0.3372093023255814,True,602,0.3775381472857955,BECN1;CA9;CCL20;CRP;CXCL13;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;NR1I2;NR3C1;OMD;PPARD;PPARG;PTGER4;PTGS1;PTGS2;PTX3;RXRA;SIRT1;SIRT3;SLCO2A1;SQSTM1;STAT3;TIMP1;TIMP2;TNC

