source,cutoff,background,panel,background_n,query_n,panel_n,overlap_n,overlap_genes,raw_p,fdr_within_background
GeneCards,top500,cutoff_universe,PGE2_synthesis_core,500,8,1,1,PTGS2,0.016,0.02666666666666667
GeneCards,top500,cutoff_universe,prostaglandin_synthesis,500,8,1,1,PTGS2,0.016,0.02666666666666667
GeneCards,top500,cutoff_universe,arachidonate,500,8,1,1,PTGS2,0.016,0.02666666666666667
GeneCards,top500,cutoff_universe,eicosanoid,500,8,0,0,,,
GeneCards,top500,cutoff_universe,PPAR,500,8,2,1,PPARG,0.031775551102204404,0.0397194388777555
GeneCards,top500,cutoff_universe,inflammatory_response,500,8,10,0,,1.0,1.0
GeneCards,top500,available_ranked_universe,PGE2_synthesis_core,2000,8,5,1,PTGS2,0.01986035006935104,0.07137220389142931
GeneCards,top500,available_ranked_universe,prostaglandin_synthesis,2000,8,6,1,PTGS2,0.02379073463047644,0.07137220389142931
GeneCards,top500,available_ranked_universe,arachidonate,2000,8,20,1,PTGS2,0.07738611424408243,0.15477222848816485
GeneCards,top500,available_ranked_universe,eicosanoid,2000,8,2,0,,1.0,1.0
GeneCards,top500,available_ranked_universe,PPAR,2000,8,27,1,PPARG,0.10320474491599485,0.15480711737399228
GeneCards,top500,available_ranked_universe,inflammatory_response,2000,8,63,0,,1.0,1.0
GeneCards,top1000,cutoff_universe,PGE2_synthesis_core,1000,19,2,2,PTGS1;PTGS2,0.00034234234234234234,0.0008558558558558558
GeneCards,top1000,cutoff_universe,prostaglandin_synthesis,1000,19,2,2,PTGS1;PTGS2,0.00034234234234234234,0.0008558558558558558
GeneCards,top1000,cutoff_universe,arachidonate,1000,19,8,2,PTGS1;PTGS2,0.008951799311216898,0.014919665518694829
GeneCards,top1000,cutoff_universe,eicosanoid,1000,19,0,0,,,
GeneCards,top1000,cutoff_universe,PPAR,1000,19,12,2,PPARA;PPARG,0.0201633405212103,0.0201633405212103
GeneCards,top1000,cutoff_universe,inflammatory_response,1000,19,29,3,CCL20;RELA;TIMP1,0.015555905093285975,0.019444881366607467
GeneCards,top1000,available_ranked_universe,PGE2_synthesis_core,2000,19,5,2,PTGS1;PTGS2,0.0008409581827745004,0.003762867843463466
GeneCards,top1000,available_ranked_universe,prostaglandin_synthesis,2000,19,6,2,PTGS1;PTGS2,0.0012542892811544888,0.003762867843463466
GeneCards,top1000,available_ranked_universe,arachidonate,2000,19,20,2,PTGS1;PTGS2,0.014675749619520891,0.02935149923904178
GeneCards,top1000,available_ranked_universe,eicosanoid,2000,19,2,0,,1.0,1.0
GeneCards,top1000,available_ranked_universe,PPAR,2000,19,27,2,PPARA;PPARG,0.02606096102362824,0.03127315322835389
GeneCards,top1000,available_ranked_universe,inflammatory_response,2000,19,63,3,CCL20;RELA;TIMP1,0.020137413144720992,0.030206119717081488
GeneCards,top2000,cutoff_universe,PGE2_synthesis_core,2000,41,5,5,PLA2G4A;PTGES;PTGES2;PTGS1;PTGS2,2.8243395021881814e-09,1.694603701312909e-08
GeneCards,top2000,cutoff_universe,prostaglandin_synthesis,2000,41,6,5,HPGD;PTGES;PTGES2;PTGS1;PTGS2,1.6691209388871507e-08,5.007362816661452e-08
GeneCards,top2000,cutoff_universe,arachidonate,2000,41,20,6,HPGD;PLA2G4A;PTGES;PTGES2;PTGS1;PTGS2,1.5974222145537976e-06,3.1948444291075952e-06
GeneCards,top2000,cutoff_universe,eicosanoid,2000,41,2,2,PTGER2;PTGER4,0.00041020510255127565,0.0006153076538269135
GeneCards,top2000,cutoff_universe,PPAR,2000,41,27,3,PPARA;PPARG;RXRA,0.01662707951680503,0.01662707951680503
GeneCards,top2000,cutoff_universe,inflammatory_response,2000,41,63,5,CCL20;PTGER2;PTGER4;RELA;TIMP1,0.008253781569255774,0.00990453788310693
GeneCards,top2000,available_ranked_universe,PGE2_synthesis_core,2000,41,5,5,PLA2G4A;PTGES;PTGES2;PTGS1;PTGS2,2.8243395021881814e-09,1.694603701312909e-08
GeneCards,top2000,available_ranked_universe,prostaglandin_synthesis,2000,41,6,5,HPGD;PTGES;PTGES2;PTGS1;PTGS2,1.6691209388871507e-08,5.007362816661452e-08
GeneCards,top2000,available_ranked_universe,arachidonate,2000,41,20,6,HPGD;PLA2G4A;PTGES;PTGES2;PTGS1;PTGS2,1.5974222145537976e-06,3.1948444291075952e-06
GeneCards,top2000,available_ranked_universe,eicosanoid,2000,41,2,2,PTGER2;PTGER4,0.00041020510255127565,0.0006153076538269135
GeneCards,top2000,available_ranked_universe,PPAR,2000,41,27,3,PPARA;PPARG;RXRA,0.01662707951680503,0.01662707951680503
GeneCards,top2000,available_ranked_universe,inflammatory_response,2000,41,63,5,CCL20;PTGER2;PTGER4;RELA;TIMP1,0.008253781569255774,0.00990453788310693
OpenTargets,top500,cutoff_universe,PGE2_synthesis_core,500,8,2,2,PTGS1;PTGS2,0.00022444889779559116,0.0003740814963259853
OpenTargets,top500,cutoff_universe,prostaglandin_synthesis,500,8,2,2,PTGS1;PTGS2,0.00022444889779559116,0.0003740814963259853
OpenTargets,top500,cutoff_universe,arachidonate,500,8,2,2,PTGS1;PTGS2,0.00022444889779559116,0.0003740814963259853
OpenTargets,top500,cutoff_universe,eicosanoid,500,8,0,0,,,
OpenTargets,top500,cutoff_universe,PPAR,500,8,11,2,PPARG;RXRA,0.011478833024231654,0.014348541280289567
OpenTargets,top500,cutoff_universe,inflammatory_response,500,8,11,0,,1.0,1.0
