comparison,gene,tumor_n,normal_n,tumor_median,normal_median,median_delta_tumor_minus_normal,cliffs_delta_tumor_vs_normal,mann_whitney_U,p_value,BH_FDR_within_41_gene_family,DINP_evidence_profile,DINP_source_family_count,DINP_multi_family_support,pathway_anchor_class,original_biological_priority_rank
COAD_primary_tumor_vs_COAD_solid_tissue_normal,AKR1C3,288,41,5.823,7.152,-1.3289999999999997,-0.7067242547425474,1731.5,2.455167820271315e-13,1.1184653403458213e-12,CTD,1,0,strong_cross-resource_pathway_anchor,8
COAD_primary_tumor_vs_COAD_solid_tissue_normal,ATG5,288,41,4.423,4.57,-0.14700000000000024,-0.28277439024390244,4234.5,0.0034017370200304623,0.005165600660046258,CTD,1,0,single-resource_or_nonconcordant_pathway_context,37
COAD_primary_tumor_vs_COAD_solid_tissue_normal,BECN1,288,41,6.1075,6.257,-0.14949999999999974,-0.14413956639566394,5053.0,0.13556178656415416,0.158800949975152,CTD,1,0,cross-resource_pathway_supported,28
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CA9,288,41,4.496,-0.3752,4.8712,0.8809281842818428,11105.0,7.092653302229051e-20,6.357969829294745e-19,CTD,1,0,single-resource_or_nonconcordant_pathway_context,36
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CCL20,288,41,5.9985,4.462,1.5365000000000002,0.4735772357723577,8700.0,9.307000865086954e-07,2.008352818255606e-06,CTD,1,0,cross-resource_pathway_supported,25
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CRP,288,41,-9.966,-9.966,0.0,0.17708333333333334,6949.5,0.0333550560555936,0.04411475155739799,CTD,1,0,single-resource_or_nonconcordant_pathway_context,38
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CXCR4,288,41,4.2805,4.268,0.012500000000000178,-0.03827913279132791,5678.0,0.6923084744143575,0.7096161862747165,CTD,1,0,cross-resource_pathway_supported,31
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CYP1A2,288,41,-9.966,-9.966,0.0,0.01973238482384824,6020.5,0.6382127892122531,0.6709416501974969,CompTox,1,0,strong_cross-resource_pathway_anchor,4
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CYP2C9,288,41,-2.466,-0.8084,-1.6576000000000002,-0.37889566395663954,3667.0,8.599494644665886e-05,0.00016026330928695513,CompTox,1,0,strong_cross-resource_pathway_anchor,2
COAD_primary_tumor_vs_COAD_solid_tissue_normal,CYP3A4,288,41,-2.826,0.4761,-3.3021000000000003,-0.6453252032520326,2094.0,2.2781086356686463e-11,7.783537838534542e-11,CompTox,1,0,strong_cross-resource_pathway_anchor,5
COAD_primary_tumor_vs_COAD_solid_tissue_normal,DKK1,288,41,-1.617,-2.388,0.7709999999999999,0.2592310298102981,7434.5,0.007244317697715265,0.010241966400218133,CTD,1,0,cross-resource_pathway_supported,30
COAD_primary_tumor_vs_COAD_solid_tissue_normal,DUSP1,288,41,5.470000000000001,6.739,-1.2689999999999992,-0.6062838753387534,2324.5,3.370712400201568e-10,9.213280560550951e-10,CTD,1,0,cross-resource_pathway_supported,32
COAD_primary_tumor_vs_COAD_solid_tissue_normal,ESR1,288,41,-3.308,-1.781,-1.527,-0.6249153116531165,2214.5,9.322368106831116e-11,2.7301220884291127e-10,CTD,1,0,strong_cross-resource_pathway_anchor,15
COAD_primary_tumor_vs_COAD_solid_tissue_normal,F3,288,41,4.4655000000000005,4.277,0.18850000000000033,0.09967818428184282,6492.5,0.30213463287280273,0.3440977763273587,CompTox,1,0,cross-resource_pathway_supported,29
COAD_primary_tumor_vs_COAD_solid_tissue_normal,HPGD,288,41,3.408,6.872,-3.464,-0.9558773712737128,260.5,4.0495516896567643e-23,1.6603161927592734e-21,CTD,1,0,strong_cross-resource_pathway_anchor,10
COAD_primary_tumor_vs_COAD_solid_tissue_normal,HSPA1A,288,41,5.595000000000001,6.919,-1.323999999999999,-0.5466632791327913,2676.5,1.4876935812295475e-08,3.812214801900715e-08,CTD,1,0,strong_cross-resource_pathway_anchor,20
COAD_primary_tumor_vs_COAD_solid_tissue_normal,IGFBP1,288,41,-4.164,-5.574,1.4100000000000001,0.29039634146341464,7618.5,0.002502766289154144,0.0041045367142127955,CTD,1,0,single-resource_or_nonconcordant_pathway_context,34
COAD_primary_tumor_vs_COAD_solid_tissue_normal,IL1A,288,41,-0.5973,-3.047,2.4497,0.6947831978319783,10006.0,6.106826138272878e-13,2.5037987166918803e-12,CompTox,1,0,cross-resource_pathway_supported,26
COAD_primary_tumor_vs_COAD_solid_tissue_normal,MIR675,288,41,-9.966,-9.966,0.0,-0.024474932249322495,5759.5,0.371153945387807,0.41127869624054286,CTD,1,0,single-resource_or_nonconcordant_pathway_context,41
COAD_primary_tumor_vs_COAD_solid_tissue_normal,MMP2,288,41,6.371,6.314,0.057000000000000384,-0.0011009485094850948,5897.5,0.9915990365083855,0.9915990365083854,CTD,1,0,cross-resource_pathway_supported,18
COAD_primary_tumor_vs_COAD_solid_tissue_normal,MMP9,288,41,4.232,3.013,1.2190000000000003,0.37974254742547425,8146.0,8.370033986574299e-05,0.00016026330928695513,CTD,1,0,strong_cross-resource_pathway_anchor,16
COAD_primary_tumor_vs_COAD_solid_tissue_normal,NEAT1,288,41,7.3025,6.8,0.5025000000000004,0.27726964769647694,7541.0,0.004080732280564032,0.005975357982254475,CTD,1,0,single-resource_or_nonconcordant_pathway_context,40
COAD_primary_tumor_vs_COAD_solid_tissue_normal,NR1I2,288,41,4.432,4.654,-0.22199999999999953,-0.16895325203252032,4906.5,0.08018562684329016,0.10273783439296551,CTD; CompTox; T3DB,3,1,single-resource_or_nonconcordant_pathway_context,39
COAD_primary_tumor_vs_COAD_solid_tissue_normal,NR3C1,288,41,1.1415,2.894,-1.7525000000000002,-0.8270663956639567,1021.0,1.0510320230734625e-17,6.156044706573138e-17,CTD,1,0,cross-resource_pathway_supported,21
COAD_primary_tumor_vs_COAD_solid_tissue_normal,PGR,288,41,-3.816,-2.114,-1.702,-0.7405149051490515,1532.0,1.5863054272959155e-14,8.129815314891567e-14,CTD,1,0,strong_cross-resource_pathway_anchor,19
