sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-AZ-4615-01,4.593,4.781,6.08,5.479,3.972,-9.966,6.096,-9.966,-0.2498,1.674,-3.308,5.341,-3.308,5.326,3.946,8.859,-9.966,-4.035,-9.966,6.803,4.006,7.945,1.202,1.753,-3.458,3.195,4.302,4.716,3.445,3.712,6.646,1.196,3.39,5.812,4.277,-3.816,3.572,9.149,5.956,9.184,6.852
TCGA-AY-6386-01,6.923,4.72,6.097,6.882,6.937,-9.966,4.246,-6.506,-2.178,-3.816,-2.932,5.165,-3.626,5.074,4.605,4.16,-5.574,2.308,-9.966,5.213,6.298,6.033,5.189,0.434,-4.608,3.619,5.57,6.803,0.2154,2.272,6.995,1.465,2.373,5.782,4.72,-2.932,2.578,8.222,5.837,8.305,4.956
TCGA-AZ-6598-01,4.315,3.856,6.109,6.833,5.09,-3.458,6.596,-9.966,-4.035,-0.5543,-9.966,5.098,-4.293,3.542,2.183,4.109,-5.574,-4.293,-9.966,5.018,3.745,4.852,3.064,-0.013,-5.574,2.345,3.563,4.478,3.954,0.1257,6.316,1.19,-2.245,5.543,3.498,-2.178,3.189,9.067,5.514,9.389,4.709
TCGA-A6-6653-01,6.876,4.502,5.837,9.71,5.93,-9.966,5.692,-9.966,-2.245,-0.6416,-3.626,6.899,-3.816,6.314,4.594,4.765,-4.293,2.022,-9.966,6.905,5.92,5.509,4.523,0.7664,-6.506,3.627,4.971,5.387,3.467,4.04,7.035,2.404,2.325,5.961,4.839,-1.283,2.554,8.146,6.696,8.456,6.239
TCGA-NH-A50V-01,5.623,4.114,5.326,2.911,7.25,-9.966,4.529,-9.966,-9.966,-3.816,-4.035,5.945,-2.466,4.713,0.6517,7.31,-5.574,1.138,-9.966,7.358,3.308,9.209,4.853,1.465,-3.171,3.321,4.231,5.487,-0.0877,2.26,6.871,2.93,3.469,5.9,4.195,-0.1187,2.816,8.197,5.26,9.044,6.523
TCGA-AD-6899-01,5.148,4.473,6.522,6.424,5.782,-9.966,5.502,-9.966,-6.506,-0.1993,-3.171,5.869,-1.938,4.714,3.807,7.399,-5.012,1.27,-9.966,8.06,6.212,7.525,4.896,3.139,-2.053,3.507,4.333,6.399,1.766,3.484,6.734,3.572,1.749,5.795,4.707,-0.7588,3.046,8.636,6.125,9.273,7.371
TCGA-G4-6311-01,6.392,4.917,6.496,5.318,6.328,-9.966,5.077,-9.966,-0.0277,-1.685,-2.053,6.522,-2.635,3.926,4.251,4.784,-4.608,0.7832,-9.966,8.081,6.866,7.533,4.817,1.74,-3.458,3.183,4.646,5.036,0.8647,2.866,6.218,1.941,0.9642,5.867,4.124,-0.1031,2.734,8.693,5.769,8.811,7.276
TCGA-A6-2683-11,7.314,4.769,6.289,0.6425,3.911,-9.966,3.964,-9.966,-0.4131,-0.2671,-4.035,6.739,-1.831,4.277,6.936,6.584,-5.574,-1.831,-9.966,5.897,2.144,6.199,4.368,2.894,-2.826,3.632,5.281,6.518,2.59,4.298,5.99,3.867,1.385,5.216,5.01,-2.315,2.89,7.934,5.709,5.95,6.074
TCGA-DM-A280-01,7.011,3.829,5.808,9.112,8.725,-2.635,3.148,-9.966,-3.816,1.832,0.5666,5.24,-6.506,5.082,5.473,7.026,-3.308,1.036,-9.966,6.485,3.678,5.563,3.546,-0.2671,-6.506,2.287,4.706,5.295,-1.318,0.8805,6.143,0.9568,1.647,5.128,3.653,-0.8863,2.081,7.101,4.861,9.698,5.479
TCGA-NH-A6GC-01,5.306,4.176,5.356,5.999,3.744,-9.966,3.453,-9.966,-0.5543,-1.884,1.86,5.775,-2.178,4.791,2.105,7.526,-9.966,-5.574,-9.966,7.635,3.541,8.854,4.214,0.3796,-1.732,3.66,4.431,4.787,3.018,3.141,6.321,2.511,-0.9132,5.391,4.655,-1.732,1.979,8.304,5.084,8.752,6.411
