comparison,gene,paired_n,tumor_median,normal_median,median_delta_tumor_minus_normal,wilcoxon_statistic,p_value,BH_FDR_within_41_gene_family,DINP_evidence_profile,DINP_source_family_count,DINP_multi_family_support,pathway_anchor_class,original_biological_priority_rank
COAD_patient_paired_primary_tumor_vs_solid_normal,AKR1C3,26,5.695499999999999,7.016,-1.1399999999999997,27.0,3.7550926208496094e-05,0.00013996254314075816,CTD,1,0,strong_cross-resource_pathway_anchor,8
COAD_patient_paired_primary_tumor_vs_solid_normal,ATG5,26,4.397,4.5915,-0.37749999999999995,78.0,0.011966735124588013,0.025822954742532028,CTD,1,0,single-resource_or_nonconcordant_pathway_context,37
COAD_patient_paired_primary_tumor_vs_solid_normal,BECN1,26,6.039,6.178,-0.16400000000000015,123.0,0.1899040937423706,0.2328052520751953,CTD,1,0,cross-resource_pathway_supported,28
COAD_patient_paired_primary_tumor_vs_solid_normal,CA9,26,3.885,-0.5338499999999999,5.685,2.0,8.940696716308594e-08,9.164214134216309e-07,CTD,1,0,single-resource_or_nonconcordant_pathway_context,36
COAD_patient_paired_primary_tumor_vs_solid_normal,CCL20,26,5.471,4.6395,1.0265,82.0,0.016333162784576416,0.030505004928683802,CTD,1,0,cross-resource_pathway_supported,25
COAD_patient_paired_primary_tumor_vs_solid_normal,CRP,26,-6.3155,-9.966,3.2539999999999996,15.0,0.0035107538328772096,0.00899630669674785,CTD,1,0,single-resource_or_nonconcordant_pathway_context,38
COAD_patient_paired_primary_tumor_vs_solid_normal,CXCR4,26,4.7755,4.4585,-0.11700000000000044,165.0,0.8028007447719574,0.8228707633912563,CTD,1,0,cross-resource_pathway_supported,31
COAD_patient_paired_primary_tumor_vs_solid_normal,CYP1A2,26,-9.966,-9.966,0.0,0.0,0.15729920705028502,0.20804088674392535,CompTox,1,0,strong_cross-resource_pathway_anchor,4
COAD_patient_paired_primary_tumor_vs_solid_normal,CYP2C9,26,-2.29,-1.7814999999999999,-0.72685,97.0,0.07800127936744676,0.11421615907376133,CompTox,1,0,strong_cross-resource_pathway_anchor,2
COAD_patient_paired_primary_tumor_vs_solid_normal,CYP3A4,26,-2.1545,0.79705,-2.682,27.0,3.7550926208496094e-05,0.00013996254314075816,CompTox,1,0,strong_cross-resource_pathway_anchor,5
