background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,source_order,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source_significant
sensitivity_crc_union,KEGG,KEGG:04927,Cortisol synthesis and secretion,Cortisol synthesis and secretion,62,16307,81,4,0.04938271604938271,0.06451612903225806,0.00025317313531081294,0.0025150836495831178,True,KEGG:00000,398,586,0.023206947256322632,0.007369195093278528,True,True
sensitivity_crc_union,KEGG,KEGG:05202,Transcriptional misregulation in cancer,Transcriptional misregulation in cancer,179,16307,81,6,0.07407407407407407,0.0335195530726257,0.0002640837832062271,0.0025150836495831178,True,KEGG:00000,470,586,0.024038959932411282,0.007369195093278528,True,True
sensitivity_crc_union,KEGG,KEGG:04668,TNF signaling pathway,TNF signaling pathway,117,16307,81,5,0.06172839506172839,0.042735042735042736,0.0002895030561086621,0.0026318459646242,True,KEGG:00000,355,586,0.02611105086792896,0.0077113086763489075,True,True
sensitivity_crc_union,KEGG,KEGG:04917,Prolactin signaling pathway,Prolactin signaling pathway,68,16307,81,4,0.04938271604938271,0.058823529411764705,0.0003613569180658614,0.0031422340701379287,True,KEGG:00000,388,586,0.030691143511926422,0.00920674582550412,True,True
sensitivity_crc_union,KEGG,KEGG:04024,cAMP signaling pathway,cAMP signaling pathway,208,16307,81,6,0.07407407407407407,0.028846153846153848,0.0005871524904972815,0.004892937420810682,True,KEGG:00000,259,586,0.044659931404864794,0.014336306642975291,True,True
sensitivity_crc_union,KEGG,KEGG:04932,Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,145,16307,81,5,0.06172839506172839,0.034482758620689655,0.0007726119299628111,0.006180895439702484,True,KEGG:00000,403,586,0.055441955353754714,0.018110023638328292,False,True
sensitivity_crc_union,KEGG,KEGG:05216,Thyroid cancer,Thyroid cancer,37,16307,81,3,0.037037037037037035,0.08108108108108109,0.0008122203529045377,0.006247848868496448,True,KEGG:00000,483,586,0.057757238983034434,0.018306197184694582,False,True
sensitivity_crc_union,KEGG,KEGG:04912,GnRH signaling pathway,GnRH signaling pathway,87,16307,81,4,0.04938271604938271,0.04597701149425287,0.000919670505244785,0.00681237411292433,True,KEGG:00000,383,586,0.0622463389814904,0.019960256150868296,False,True
sensitivity_crc_union,KEGG,KEGG:04140,Autophagy - animal,Autophagy - animal,154,16307,81,5,0.06172839506172839,0.032467532467532464,0.0010126149522521608,0.0071994260761205015,True,KEGG:00000,286,586,0.06726363240264184,0.021094318403033104,False,True
sensitivity_crc_union,KEGG,KEGG:04925,Aldosterone synthesis and secretion,Aldosterone synthesis and secretion,90,16307,81,4,0.04938271604938271,0.044444444444444446,0.0010439167810374745,0.0071994260761205015,True,KEGG:00000,396,586,0.0689008940571016,0.021094318403033104,False,True
sensitivity_crc_union,KEGG,KEGG:04657,IL-17 signaling pathway,IL-17 signaling pathway,92,16307,81,4,0.04938271604938271,0.043478260869565216,0.0011330199844085224,0.0073098063510227225,True,KEGG:00000,348,586,0.0729212403713269,0.021417732608496585,False,True
sensitivity_crc_union,KEGG,KEGG:05222,Small cell lung cancer,Small cell lung cancer,92,16307,81,4,0.04938271604938271,0.043478260869565216,0.0011330199844085224,0.0073098063510227225,True,KEGG:00000,489,586,0.0729212403713269,0.021417732608496585,False,True
sensitivity_crc_union,KEGG,KEGG:04080,Neuroactive ligand-receptor interaction,Neuroactive ligand-receptor interaction,329,16307,81,7,0.08641975308641975,0.02127659574468085,0.0012370596162132074,0.007731622601332549,True,KEGG:00000,270,586,0.0788430021847134,0.02265365422190436,False,True
sensitivity_crc_union,KEGG,KEGG:04659,Th17 cell differentiation,Th17 cell differentiation,103,16307,81,4,0.04938271604938271,0.038834951456310676,0.0017204544752903938,0.010120320442884686,True,KEGG:00000,350,586,0.10158431199147065,0.029652538897652084,False,True
sensitivity_crc_union,KEGG,KEGG:04726,Serotonergic synapse,Serotonergic synapse,103,16307,81,4,0.04938271604938271,0.038834951456310676,0.0017204544752903938,0.010120320442884686,True,KEGG:00000,369,586,0.10158431199147065,0.029652538897652084,False,True
sensitivity_crc_union,KEGG,KEGG:05206,MicroRNAs in cancer,MicroRNAs in cancer,260,16307,81,6,0.07407407407407407,0.023076923076923078,0.0018540484518666546,0.010594562582095169,True,KEGG:00000,474,586,0.10769365040059724,0.031042068365538845,False,True
sensitivity_crc_union,KEGG,KEGG:05145,Toxoplasmosis,Toxoplasmosis,107,16307,81,4,0.04938271604938271,0.037383177570093455,0.0019783212574443773,0.010990673652468782,True,KEGG:00000,453,586,0.1135700804784565,0.03220267380173348,False,True
sensitivity_crc_union,KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,Kaposi sarcoma-associated herpesvirus infection,183,16307,81,5,0.06172839506172839,0.0273224043715847,0.0021685527297360813,0.011687229417040973,True,KEGG:00000,464,586,0.12217215980536054,0.03424358219193008,False,True
