background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,source_order,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source_significant
sensitivity_crc_union,GO:MF,GO:0004879,nuclear receptor activity,"""A DNA-binding transcription factor activity regulated by binding to a ligand that modulates the transcription of specific gene sets transcribed by RNA polymerase II. Nuclear receptor ligands are usually lipid-based (such as a steroid hormone) and the binding of the ligand to its receptor often occurs in the cytosol, which leads to its translocation to the nucleus."" [GOC:txnOH-2018, PMID:23457262]",57,16307,81,11,0.13580246913580246,0.19298245614035087,3.44593308068071e-15,1.1415108507247275e-12,True,GO:0000981;GO:0038023;GO:0098531,1108,10123,2.2584645410781373e-11,2.143880211852758e-11,True,True
sensitivity_crc_union,GO:MF,GO:0098531,ligand-modulated transcription factor activity,"""A DNA-binding transcription factor activity regulated by binding to a ligand and that modulates the transcription of specific genes and gene sets. Examples include the lac and trp repressors in E.coli and steroid hormone receptors."" [GOC:dos, PMID:25568920, PMID:8735275]",58,16307,81,11,0.13580246913580246,0.1896551724137931,4.235661783765204e-15,1.1415108507247275e-12,True,GO:0003700,8374,10123,2.379473771211184e-11,2.143880211852758e-11,True,True
sensitivity_crc_union,GO:MF,GO:0004955,prostaglandin receptor activity,"""Combining with a prostaglandin (PG) to initiate a change in cell activity."" [ISBN:0198506732]",10,16307,81,7,0.08641975308641975,0.7,6.785760966081213e-15,1.2191750535725854e-12,True,GO:0004954,1160,10123,2.9649251581130844e-11,2.289741941988004e-11,True,True
sensitivity_crc_union,GO:MF,GO:0004954,prostanoid receptor activity,"""Combining with a prostanoid, any compound based on or derived from the prostanoate structure, to initiate a change in cell activity."" [ISBN:0198506732]",11,16307,81,7,0.08641975308641975,0.6363636363636364,1.8586716432157597e-14,2.5045600392332265e-12,True,GO:0004953,1159,10123,6.644582154346958e-11,4.703833261068284e-11,True,True
sensitivity_crc_union,GO:MF,GO:0004953,icosanoid receptor activity,"""Combining with an icosanoid to initiate a change in cell activity."" [GOC:dph]",15,16307,81,7,0.08641975308641975,0.4666666666666667,3.567164435418585e-13,3.8454032613812186e-11,True,GO:0004930,1158,10123,9.284469347291208e-10,7.222081115948467e-10,True,True
sensitivity_crc_union,GO:MF,GO:0004957,prostaglandin E receptor activity,"""Combining with prostaglandin E (PGE(2)) to initiate a change in cell activity."" [ISBN:0198506732]",5,16307,81,5,0.06172839506172839,1.0,2.667985208441099e-12,2.396740045582921e-10,True,GO:0004955,1162,10123,5.0343272952663455e-09,4.501335710841541e-09,True,True
sensitivity_crc_union,GO:MF,GO:0003707,nuclear steroid receptor activity,"""A nuclear receptor activity regulated by steroid binding and modulating the transcription of specific gene sets transcribed by RNA polymerase II."" [GOC:signaling, PMID:14708019]",26,16307,81,7,0.08641975308641975,0.2692307692307692,3.490244515195218e-11,2.6874882767003145e-09,True,GO:0004879,327,10123,4.901799118412027e-08,5.047392175331599e-08,True,True
sensitivity_crc_union,GO:MF,GO:0070403,NAD+ binding,"""Binding to the oxidized form, NAD, of nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions."" [GOC:mah]",16,16307,81,5,0.06172839506172839,0.3125,1.1165439584438963e-08,7.522714920015723e-07,True,GO:0043168;GO:0051287,7921,10123,6.014654057787367e-06,1.4128468114159453e-05,True,True
sensitivity_crc_union,GO:MF,GO:0017136,"histone deacetylase activity, NAD-dependent","""Catalysis of the reaction: N(6)-acetyl-L-lysyl-[histone] + NAD+ + H2O = L-lysyl-[protein] + 2''-O-acetyl-ADP-D-ribose + nicotinamide. This reaction transfers an acetyl group from a histone to NAD, producing nicotinamide."" [PMID:24691964, PMID:28450737]",7,16307,81,4,0.04938271604938271,0.5714285714285714,1.954774188420669e-08,9.57839352326126e-07,True,GO:0004407;GO:0034979,3067,10123,9.04347531593581e-06,1.7989253735802212e-05,True,True
sensitivity_crc_union,GO:MF,GO:0034979,NAD-dependent protein lysine deacetylase activity,"""Catalysis of the reaction: N(6)-acetyl-L-lysyl-[protein] + NAD+ + H2O = L-lysyl-[protein] + 2''-O-acetyl-ADP-D-ribose + nicotinamide. This reaction transfers an acetyl group from a protein to NAD, producing nicotinamide."" [GOC:BHF, GOC:mah, RHEA:43636]",7,16307,81,4,0.04938271604938271,0.5714285714285714,1.954774188420669e-08,9.57839352326126e-07,True,GO:0141218,4715,10123,9.04347531593581e-06,1.7989253735802212e-05,True,True
sensitivity_crc_union,GO:MF,GO:0141218,NAD-dependent protein lysine deacylase activity,"""Catalysis of the reaction: N6-acyl-L-lysyl-[protein] + NAD+ + H2O = 2''-O-acyl-ADP-D-ribose + nicotinamide + L-lysyl-[protein]."" [PMID:35044827, RHEA:54172]",7,16307,81,4,0.04938271604938271,0.5714285714285714,1.954774188420669e-08,9.57839352326126e-07,True,GO:0016747;GO:0140096;GO:0160215,9642,10123,9.04347531593581e-06,1.7989253735802212e-05,True,True
sensitivity_crc_union,GO:MF,GO:0001223,transcription coactivator binding,"""Binding to a transcription coactivator, a protein involved in positive regulation of transcription via protein-protein interactions with transcription factors and other proteins that positively regulate transcription. Transcription coactivators do not bind DNA directly, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery."" [GOC:krc]",43,16307,81,6,0.07407407407407407,0.13953488372093023,6.551969168745473e-08,2.9429261516281676e-06,True,GO:0001221,173,10123,2.5764963559174696e-05,5.527131991267536e-05,True,True
sensitivity_crc_union,GO:MF,GO:0050220,prostaglandin-E synthase activity,"""Catalysis of the reaction: prostaglandin H(2) = prostaglandin E(2)."" [EC:5.3.99.3, RHEA:12893]",3,16307,81,3,0.037037037037037035,1.0,1.1807549769544143e-07,4.895591789064843e-06,True,GO:0016860,6859,10123,4.2210917012504896e-05,9.194448178238104e-05,True,True
