system,window,n_frames,whole_ligand_rmsd_A_mean,whole_ligand_rmsd_A_sd,whole_ligand_rmsd_A_min,whole_ligand_rmsd_A_max,core_rmsd_A_mean,core_rmsd_A_sd,core_rmsd_A_min,core_rmsd_A_max,branch_A_rmsd_A_mean,branch_A_rmsd_A_sd,branch_A_rmsd_A_min,branch_A_rmsd_A_max,branch_B_rmsd_A_mean,branch_B_rmsd_A_sd,branch_B_rmsd_A_min,branch_B_rmsd_A_max,whole_com_displacement_A_mean,whole_com_displacement_A_sd,whole_com_displacement_A_min,whole_com_displacement_A_max,core_com_displacement_A_mean,core_com_displacement_A_sd,core_com_displacement_A_min,core_com_displacement_A_max,pocket_min_distance_A_mean,pocket_min_distance_A_sd,pocket_min_distance_A_min,pocket_min_distance_A_max,initial_core_contact_retention_mean,initial_core_contact_retention_sd,initial_core_contact_retention_min,initial_core_contact_retention_max,protein_backbone_rmsd_A_mean,protein_backbone_rmsd_A_sd,protein_backbone_rmsd_A_min,protein_backbone_rmsd_A_max,pocket_ca_rmsd_A_mean,pocket_ca_rmsd_A_sd,pocket_ca_rmsd_A_min,pocket_ca_rmsd_A_max
DINP,0_10ns,999,5.527969179926692,0.2806305858442751,4.13762903213501,6.368689060211182,5.889665267369649,0.457307385309023,3.640521764755249,7.402807712554932,5.172956082913968,0.3842273524974906,3.036555528640747,6.119846343994141,5.668674513861701,0.3215155320656495,3.7945821285247803,6.4680962562561035,2.527718105294683,0.3550929546537052,0.750026285648346,3.642317295074463,5.815611930461498,0.4664923734997227,3.4621315002441406,7.352033615112305,3.636397693736214,0.28382258189044907,2.963203747100344,4.810970713487906,0.26176176176176175,0.111208012647164,0.0,0.8333333333333334,2.424041077395838,0.19049472490341302,1.6520097243647136,2.9384868234773958,1.0683216042108126,0.1815587758707018,0.5768468379974365,1.672046422958374
DINP,10_50ns,4000,5.457917769789696,0.37314043055868895,4.440149784088135,6.566396713256836,4.883556746780872,0.8946800070718621,2.568394184112549,7.659738063812256,5.31652384185791,0.5340589070649578,3.1367766857147217,7.082605361938477,5.820374427556992,0.26087887794162823,4.919185638427734,6.753028392791748,1.8773719870969654,0.5120472463229511,0.390107661485672,3.7329890727996826,4.735201579809189,0.979996752688943,2.073437213897705,7.63736629486084,3.46928742001793,0.22846085606235284,2.8803265333875925,4.991736926633081,0.40075,0.15436966365045807,0.0,0.8333333333333334,2.6431564198088644,0.13917146908947947,2.1546454135163433,3.1669684042710586,1.0864875429719687,0.20007140684587627,0.5404633283615112,1.8504226207733154
DINP,50_80ns,3000,5.361099077701569,0.41357809992682143,4.086479663848877,6.676249980926514,5.2308408335049945,0.768849033348199,2.9309792518615723,7.671048641204834,4.929744277397791,0.6247701089442426,3.06305193901062,6.468023300170898,5.78925275182724,0.310643229424888,4.765652179718018,6.944352149963379,2.0401185141205787,0.5710508919954018,0.2783615291118622,3.9270718097686768,5.135808943589528,0.7943708024577725,2.864168405532837,7.630009174346924,3.4661301839438567,0.21176277627349402,2.9489718079582796,4.34345256106451,0.3202777777777778,0.11912457168966828,0.16666666666666666,0.8333333333333334,2.546018396657823,0.17654413869388363,1.9810210306357567,3.149738510467677,1.12341441766421,0.20902065411190107,0.5398285388946533,2.07682466506958
DINP,80_100ns,1997,5.7346228433359725,0.29461781752889976,4.838354587554932,6.818222522735596,5.350246160341968,0.72747135724961,3.1840217113494873,7.2983927726745605,6.029284667777729,0.45505119836136604,4.760376930236816,7.203896522521973,5.578395970535087,0.4203877468785683,4.076779365539551,6.766787052154541,1.9640122299932754,0.6160363694962004,0.11463059484958649,3.6925644874572754,5.285439834274766,0.7205873204744752,3.141460657119751,7.25638484954834,3.5037640575997147,0.245230997255076,2.8929241906340906,4.824154196373495,0.2882657319312302,0.1260344152862585,0.0,0.8333333333333334,2.8984571103842924,0.12072349884837028,2.522157288097472,3.409877571411335,1.3584723654960953,0.2488769693790046,0.7079763412475586,2.191429376602173
MiNP,0_10ns,999,5.726869843266271,0.32271726392913164,3.5467562675476074,7.1592841148376465,4.819638956297148,0.466793226792437,3.442162036895752,6.690009593963623,6.351889766849674,0.5375211881539012,2.3171262741088867,8.633739471435547,4.544931207213913,0.46532891424230344,2.315859079360962,5.973719120025635,3.637704661419919,0.34803962764043617,2.1994218826293945,5.229060649871826,4.359584711932086,0.4913219024363613,2.9594738483428955,6.49960994720459,3.693456434729868,0.25136106814621034,3.015571763079645,4.682010289180768,0.2514180847514181,0.09219298318367845,0.0,0.6666666666666666,2.0128297516572897,0.1687591644512632,1.6726821463823829,2.7268700448571574,0.7937508309567655,0.17128153402322419,0.36195260286331177,1.5264314413070679
MiNP,10_50ns,4000,6.096076390504837,0.5877812323368449,4.59036922454834,8.416741371154785,4.623293176949025,0.5343633263980295,2.1252598762512207,7.700321197509766,6.888697726368904,0.7478294296133131,4.744019031524658,9.634521484375,5.119493880271912,0.9848010082183573,3.224858283996582,9.0013427734375,3.898777875304222,0.6698457724690914,2.2098093032836914,6.753150939941406,4.106360414594412,0.5526340452640914,1.620324969291687,7.301717281341553,3.792987147883372,0.27419025513290896,3.117622875112005,5.202951124165931,0.25125,0.09529832544873669,0.0,0.6666666666666666,2.6464286748099166,0.171670973238636,2.065763079020981,3.324696598280923,0.8061230117753148,0.1738483056277526,0.3272632658481598,1.5539650917053223
MiNP,50_80ns,3000,7.665221915404002,0.3393107842268438,5.862537860870361,9.578751564025879,5.656547664960225,0.748991256884107,3.0587549209594727,9.959396362304688,8.517540013313294,0.3854682232680477,6.780625343322754,10.43069839477539,7.454675584793091,0.7872669140269395,4.672855854034424,10.047677040100098,5.982170896609624,0.5572235890788206,3.723456621170044,8.533708572387695,5.376836683193843,0.826721136967604,2.6142256259918213,9.736076354980469,4.045982599787729,0.4218988021623676,3.158094779400157,7.141127850374191,0.2266111111111111,0.13391953314593316,0.0,0.8333333333333334,2.67723326165069,0.1357275307304737,2.2523279567837062,3.161645421950828,0.8584173314968745,0.1587700958640775,0.4136519730091095,1.6013619899749756
MiNP,80_100ns,1993,7.613701419141265,0.3283675769354419,6.483484745025635,8.786325454711914,4.999892296889172,0.7532147623698046,2.614607572555542,8.342948913574219,8.593358374575066,0.31552467890780106,7.377723217010498,9.619549751281738,7.696976051340137,0.6136081438862075,4.8931708335876465,9.513994216918945,5.686510828231604,0.4256883285752852,4.3145751953125,7.68612003326416,4.608772149471201,0.7985034024860518,2.030470132827759,8.251291275024414,3.80028624908509,0.2383657918362924,3.117058048952873,4.841893106253177,0.2614149523331661,0.12499100452881731,0.0,0.6666666666666666,2.6292544711740047,0.12142465679702753,2.2458251580524555,3.028759849033998,0.9070515763771576,0.17156053143780547,0.437358021736145,1.5983320474624634
