gene_symbol,CTD,ToxCast,Tox21,T3DB,exposure_support_count,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_active_assay_count,ToxCast_active_assay_sources,ToxCast_active_endpoints,Tox21_active_assay_count,Tox21_active_endpoints,T3DB_target_count,T3DB_uniprot_ids
SNORA13,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SNORA50C,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SNORA64,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SNORA65,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SNORA72,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SPP2,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
SQSTM1,1,0,0,0,1,3,1,1,1,0,0,,,0,,0,
STAR,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
STAT3,1,0,0,0,1,1,1,1,1,0,0,,,0,,0,
SUSD2,1,0,0,0,1,1,1,1,0,1,0,,,0,,0,
TIMP1,1,0,0,0,1,1,1,1,1,0,0,,,0,,0,
TIMP2,1,0,0,0,1,1,1,1,1,0,0,,,0,,0,
TNC,1,0,0,0,1,1,1,1,1,0,0,,,0,,0,
