gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count
ABCC4,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^expression;decreases^reaction;increases^expression,2,1,1,0,1,0,0
ADAMTS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,1,1,1,0,1,0,0
AHSG,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
AKR1C1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0
AKR1C3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0
ATF4,1,0,0,1,increases,increases^expression;increases^reaction,5,1,1,1,0,0,0
ATG5,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0
BECN1,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0
C4BPA,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CA5B,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0
CA9,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CADM3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CASP14,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CCL20,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CGA,1,0,0,1,affects;decreases;increases,affects^cotreatment;affects^expression;affects^reaction;decreases^expression;decreases^reaction;increases^abundance;increases^expression,40,1,2,0,1,0,0
CPS1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CRP,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CXCL13,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
CXCR4,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0
CYP11A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0
CYP2A6,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
DDIT4,1,0,0,1,increases,increases^expression;increases^reaction,7,1,1,1,0,0,0
DKK1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
DPT,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
DUSP1,1,0,0,1,affects;increases,affects^cotreatment;increases^expression;increases^reaction,2,1,1,1,1,0,0
ESR1,1,0,0,1,decreases;increases,decreases^reaction;increases^activity,1,1,1,1,0,0,0
FLG,1,0,0,1,affects,affects^abundance;affects^response to substance,1,1,1,1,0,0,0
GSTA2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0
HPGD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0
HSD3B2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0
HSPA1A,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0
HSPA1L,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0
IGFBP1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
LUM,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
MAP1LC3B,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0
MIR675,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
MMP2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0
MMP9,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0
NEAT1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
NR1I2,1,0,0,1,affects;increases,affects^binding;increases^activity,3,1,3,1,0,0,0
NR1I3,1,0,0,1,affects;increases,affects^binding;increases^activity,2,1,2,1,0,0,0
NR3C1,1,0,0,1,affects;increases,affects^cotreatment;increases^activity;increases^reaction,2,1,1,1,1,0,0
OMD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
PARP10,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0
PGR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,2,1,1,0,1,0,0
PLA2G4A,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0
PLAC8,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0
PPARA,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0
PPARD,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0
PPARG,1,0,0,1,affects;increases,affects^activity;affects^binding;increases^activity,3,1,3,1,0,0,0
PTGER1,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression;decreases^reaction,2,1,1,0,1,0,0
PTGER2,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0
PTGER3,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0
PTGER4,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,1,1,1,0,1,0,0
PTGES,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0
PTGES2,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,2,1,1,0,1,0,0
PTGES3,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0
