dtxsid,source_class,assay_source,assay_name,assay_component,endpoint_name,organism,human_label,active_hit_call,hit_call_continuous,ac50_uM,bmd_uM,scaled_top,intended_target_family,intended_target_type,intended_target_subtype,biological_process_target,cell_or_tissue,gene_symbols,entrez_gene_ids,uniprot_accessions,flags
DTXSID4022521,ToxCast,ATG,ATG,ATG_M_61_CIS,ATG_M_61_CIS,human,1,0,9.93888e-11,100,286.2658155988666,0.10284471291846298,background measurement,protein,transcription factor,regulation of transcription factor activity,HepG2,,,,"Average number of replicates per conc < 2 | Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HSE_BLA_Agonist_ch1,TOX21_HSE_BLA_Agonist_ch1,human,1,0,9.62345915e-08,38.29310344827585,100.5693192226218,-0.23519622862621103,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HeLa,,,,"Bmd > ac50, indication of high baseline variability | No median responses above baseline (3*bmad)"
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HSE_BLA_Agonist_ch2,TOX21_HSE_BLA_Agonist_ch2,human,1,0,0,3.555613222090334,,-0.04719244230087697,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HeLa,,,,Model directionality questionable | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_HSE_BLA_Agonist_ratio,TOX21_HSE_BLA_Agonist_ratio,human,1,0,0,38.29310344827585,,-0.005406440861420062,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HeLa,HSF1,3297,Q00613,Model directionality questionable | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p1_ch1,TOX21_p53_BLA_p1_ch1,human,1,0,0,46.05760368663595,,0.01451607469060752,channel 1,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p1_ch2,TOX21_p53_BLA_p1_ch2,human,1,0,0,46.05760368663595,,-0.057291886916006174,channel 2,pathway,pathway-specified,regulation of transcription factor activity,HCT116,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_p53_BLA_p1_ratio,TOX21_p53_BLA_p1_ratio,human,1,0,0,0.00040515681807994964,,0.052016808188123875,dna binding,pathway,pathway-specified,regulation of transcription factor activity,HCT116,TP53,7157,P04637,Gain AC50 < lowest conc & loss AC50 < mean conc | No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Agonist_ch1,TOX21_VDR_BLA_Agonist_ch1,human,1,0,0,0.001575911188561816,,-0.09739057420088731,channel 1,protein,receptor,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Agonist_ch2,TOX21_VDR_BLA_Agonist_ch2,human,1,0,0,9.803060822082706e-05,,-0.10586490340664748,channel 2,protein,receptor,regulation of transcription factor activity,HEK293T,,,,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Agonist_ratio,TOX21_VDR_BLA_Agonist_ratio,human,1,0,0,0.35193971759846887,,0.10126416069722566,nuclear receptor,protein,receptor,regulation of transcription factor activity,HEK293T,CYP24A1;VDR,1591;7421,P11473;Q07973,No median responses above baseline (3*bmad)
DTXSID4022521,Tox21,TOX21,TOX21,TOX21_VDR_BLA_Antagonist_ratio,TOX21_VDR_BLA_Antagonist_ratio,human,1,0,0,9.803036155365397e-05,,-0.15815396527862263,nuclear receptor,protein,receptor,regulation of transcription factor activity,HEK293T,CYP24A1;VDR,1591;7421,P11473;Q07973,No median responses above baseline (3*bmad)
