gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score,total_support_count
ABCC4,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^expression;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.9,,0.09975404590720839,3
ADAMTS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,1,1,1,0,1,0,0,0,0,1,1,,,0.055856668597497126,2
AHSG,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0487603582840481,2
AKR1C1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.09116565514266925,2
AKR1C3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.04592312525950439,2
ATF4,1,0,0,1,increases,increases^expression;increases^reaction,5,1,1,1,0,0,0,1,0,1,2,3.6,,0.09664821571226512,3
ATG5,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.9,,0.09473157400059815,3
BECN1,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,11.9,,0.1152964865093506,3
C4BPA,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04674619348206892,2
CA9,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,8.7,,0.1279618791940646,3
CADM3,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03530614326648163,2
CASP14,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.014382816011479645,2
CCL20,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,9.5,,0.11774568876429753,3
CGA,1,0,0,1,affects;decreases;increases,affects^cotreatment;affects^expression;affects^reaction;decreases^expression;decreases^reaction;increases^abundance;increases^expression,40,1,2,0,1,0,0,0,0,1,1,,,0.06529705498061417,2
CPS1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.06823957019963267,2
CRP,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,23.6,,0.12079916991625102,3
CXCL13,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.10954225230494494,2
CXCR4,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,1,0,1,2,16.6,,0.44561460410197107,3
CYP11A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.011974462134809771,2
CYP2A6,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,1,0,1,2,4.0,,0.04283795817501075,3
DDIT4,1,0,0,1,increases,increases^expression;increases^reaction,7,1,1,1,0,0,0,0,0,1,1,,,0.090344312055115,2
DKK1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,12.5,,0.13900514415904197,3
DPT,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04492784597638618,2
DUSP1,1,0,0,1,affects;increases,affects^cotreatment;increases^expression;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.05777968984593972,2
ESR1,1,0,0,1,decreases;increases,decreases^reaction;increases^activity,1,1,1,1,0,0,0,1,0,1,2,15.1,,0.44359283745283135,3
